County,Peddy,%,Mayfield,%,Total,Winner
Haskell,372,26.65%,1024,73.35%,1396,2
Hays,204,17.35%,972,82.65%,1176,2
Hemphill,129,30.64%,292,69.36%,421,2
Henderson,758,36.04%,1345,63.96%,2103,2
Hidalgo,591,19.21%,2485,80.79%,3076,2
Hill,1017,24.48%,3138,75.52%,4155,2
Hockley,23,31.08%,51,68.92%,74,2
Hood,181,25.00%,543,75.00%,724,2
Hopkins,288,8.43%,3127,91.57%,3415,2
Houston,360,21.00%,1354,79.00%,1714,2
Howard,149,15.87%,790,84.13%,939,2
Hudspeth,28,28.28%,71,71.72%,99,2
Hunt,362,6.36%,5330,93.64%,5692,2
Hutchinson,42,17.72%,195,82.28%,237,2
Irion,58,33.53%,115,66.47%,173,2
Jack,445,35.46%,810,64.54%,1255,2
Jackson,431,40.02%,646,59.98%,1077,2
Jasper,140,13.74%,879,86.26%,1019,2
Jeff Davis,8,4.68%,163,95.32%,171,2
Jefferson,931,21.15%,3471,78.85%,4402,2
Jim Hogg,17,29.82%,40,70.18%,57,2
Jim Wells,121,24.15%,380,75.85%,501,2
Johnson,0,#DIV/0!,0,#DIV/0!,0,#N/A
Jones,520,27.34%,1382,72.66%,1902,2
Karnes,918,42.90%,1222,57.10%,2140,2
Kaufman,700,23.20%,2317,76.80%,3017,2
Kendall,755,74.83%,254,25.17%,1009,1
Kenedy,42,82.35%,9,17.65%,51,1
Kent,41,21.35%,151,78.65%,192,2
Kerr,252,37.06%,428,62.94%,680,2
Kimble,81,17.80%,374,82.20%,455,2
King,69,56.56%,53,43.44%,122,1
Kinney,100,34.60%,189,65.40%,289,2
Kleberg,230,24.78%,698,75.22%,928,2
Knox,252,24.35%,783,75.65%,1035,2
Lamar,491,13.96%,3025,86.04%,3516,2
Lamb,0,#DIV/0!,0,#DIV/0!,0,#N/A
Lampasas,328,34.31%,628,65.69%,956,2
La Salle,30,15.79%,160,84.21%,190,2
Lavaca,2283,73.03%,843,26.97%,3126,1
Lee,1269,59.97%,847,40.03%,2116,1
Leon,334,30.06%,777,69.94%,1111,2
Liberty,319,27.88%,825,72.12%,1144,2
Limestone,506,21.40%,1859,78.60%,2365,2
Lipscomb,277,56.76%,211,43.24%,488,1
Live Oak,227,35.03%,421,64.97%,648,2
Llano,267,42.72%,358,57.28%,625,2
Loving,0,#DIV/0!,0,#DIV/0!,0,#N/A
Lubbock,246,20.87%,933,79.13%,1179,2
Lynn,168,32.62%,347,67.38%,515,2
Madison,140,21.88%,500,78.13%,640,2
Marion,317,48.32%,339,51.68%,656,2
Martin,89,45.18%,108,54.82%,197,2
Mason,180,47.12%,202,52.88%,382,2
Matagorda,584,33.33%,1168,66.67%,1752,2
Maverick,121,47.27%,135,52.73%,256,2
McCulloch,244,25.03%,731,74.97%,975,2
McLennan,2143,32.09%,4535,67.91%,6678,2
McMullen,34,29.31%,82,70.69%,116,2
Medina,1324,65.19%,707,34.81%,2031,1
Menard,103,40.08%,154,59.92%,257,2
Midland,57,25.79%,164,74.21%,221,2
Milam,1522,45.77%,1803,54.23%,3325,2
Mills,0,#DIV/0!,0,#DIV/0!,0,#N/A
Mitchell,284,32.91%,579,67.09%,863,2
Montague,454,23.29%,1495,76.71%,1949,2
Montgomery,117,13.70%,737,86.30%,854,2
Moore,6,19.35%,25,80.65%,31,2
Morris,141,22.82%,477,77.18%,618,2
Motley,50,17.06%,243,82.94%,293,2
Nacogdoches,834,39.56%,1274,60.44%,2108,2
Navarro,1191,28.60%,2974,71.40%,4165,2
Newton,64,17.63%,299,82.37%,363,2
Nolan,323,27.80%,839,72.20%,1162,2
Nueces,914,38.98%,1431,61.02%,2345,2
Ochiltree,46,16.61%,231,83.39%,277,2
Oldham,43,23.63%,139,76.37%,182,2
Orange,200,17.84%,921,82.16%,1121,2
Palo Pinto,556,24.81%,1685,75.19%,2241,2
Panola,295,29.04%,721,70.96%,1016,2
Parker,473,23.90%,1506,76.10%,1979,2
Parmer,48,20.34%,188,79.66%,236,2
Pecos,176,50.29%,174,49.71%,350,1
Polk,119,13.39%,770,86.61%,889,2
Potter,0,#DIV/0!,0,#DIV/0!,0,#N/A
Presidio,111,42.53%,150,57.47%,261,2
Rains,133,15.29%,737,84.71%,870,2
Randall,229,44.47%,286,55.53%,515,2
Reagan,28,9.49%,267,90.51%,295,2
Real,20,21.98%,71,78.02%,91,2
Red River,770,32.27%,1616,67.73%,2386,2
Reeves,116,28.86%,286,71.14%,402,2
Refugio,371,49.80%,374,50.20%,745,2
Roberts,30,13.57%,191,86.43%,221,2
Robertson,318,24.22%,995,75.78%,1313,2
Rockwall,301,31.45%,656,68.55%,957,2
Runnels,844,41.82%,1174,58.18%,2018,2
Rusk,368,18.97%,1572,81.03%,1940,2
Sabine,202,31.37%,442,68.63%,644,2
San Augustine,409,46.06%,479,53.94%,888,2
San Jacinto,67,20.06%,267,79.94%,334,2
San Patricio,380,26.97%,1029,73.03%,1409,2
San Saba,402,45.48%,482,54.52%,884,2
Schleicher,78,37.50%,130,62.50%,208,2
Scurry,146,14.73%,845,85.27%,991,2
Shackelford,395,58.26%,283,41.74%,678,1
Shelby,1134,38.34%,1824,61.66%,2958,2
Sherman,15,11.03%,121,88.97%,136,2
Smith,634,17.64%,2960,82.36%,3594,2
Somervell,107,38.91%,168,61.09%,275,2
Starr,31,8.24%,345,91.76%,376,2
Stephens,471,39.18%,731,60.82%,1202,2
Sterling,35,15.63%,189,84.38%,224,2
Stonewall,173,38.79%,273,61.21%,446,2
Sutton,84,50.60%,82,49.40%,166,1
Swisher,166,29.91%,389,70.09%,555,2
Tarrant,3620,25.86%,10379,74.14%,13999,2
Taylor,403,17.75%,1868,82.25%,2271,2
Terrell,55,40.15%,82,59.85%,137,2
Terry,69,24.73%,210,75.27%,279,2
Throckmorton,77,18.51%,339,81.49%,416,2
Titus,344,35.10%,636,64.90%,980,2
Tom Green,575,33.10%,1162,66.90%,1737,2
Travis,1531,81.65%,344,18.35%,1875,1
Trinity,237,29.66%,562,70.34%,799,2
Tyler,118,28.03%,303,71.97%,421,2
Upshur,465,33.89%,907,66.11%,1372,2
Upton,15,55.56%,12,44.44%,27,1
Uvalde,132,20.06%,526,79.94%,658,2
Val Verde,130,32.26%,273,67.74%,403,2
Van Zandt,508,20.27%,1998,79.73%,2506,2
Victoria,1033,71.24%,417,28.76%,1450,1
Walker,171,23.49%,557,76.51%,728,2
Waller,386,39.67%,587,60.33%,973,2
Ward,138,61.88%,85,38.12%,223,1
Washington,864,32.68%,1780,67.32%,2644,2
Webb,394,41.17%,563,58.83%,957,2
Wharton,884,42.81%,1181,57.19%,2065,2
Wheeler,321,39.63%,489,60.37%,810,2
Wichita,1105,30.90%,2471,69.10%,3576,2
Wilbarger,273,18.78%,1181,81.22%,1454,2
Willacy,164,59.64%,111,40.36%,275,1
Williamson,1848,42.67%,2483,57.33%,4331,2
Wilson,861,70.17%,366,29.83%,1227,1
Winkler,14,70.00%,6,30.00%,20,1
Wise,623,20.75%,2379,79.25%,3002,2
Wood,321,15.16%,1796,84.84%,2117,2
Yoakum,22,20.18%,87,79.82%,109,2
Young,617,31.26%,1357,68.74%,1974,2
Zapata,91,26.92%,247,73.08%,338,2
Zavala,66,26.19%,186,73.81%,252,2
Total,130731,33.37%,261063,66.63%,391794,
