County,Stevenson,%,Johnson,%,Total,Winner
Freestone,2294,55.21%,1861,44.79%,4155,1
Frio,953,49.66%,966,50.34%,1919,2
Gaines,1034,55.09%,843,44.91%,1877,1
Galveston,7985,57.13%,5992,42.87%,13977,1
Garza,690,50.96%,664,49.04%,1354,1
Gillespie,1014,80.22%,250,19.78%,1264,1
Glasscock,155,56.16%,121,43.84%,276,1
Goliad,443,64.77%,241,35.23%,684,1
Gonzales,2169,55.60%,1732,44.40%,3901,1
Gray,2233,67.28%,1086,32.72%,3319,1
Grayson,3378,47.08%,3797,52.92%,7175,2
Gregg,4221,68.09%,1978,31.91%,6199,1
Grimes,778,49.24%,802,50.76%,1580,2
Guadalupe,1237,67.41%,598,32.59%,1835,1
Hale,2052,56.97%,1550,43.03%,3602,1
Hall,772,48.49%,820,51.51%,1592,2
Hamilton,1202,59.42%,821,40.58%,2023,1
Hansford,0,#DIV/0!,0,#DIV/0!,0,#N/A
Hardeman,513,45.60%,612,54.40%,1125,2
Hardin,1038,56.11%,812,43.89%,1850,1
Harris,51495,57.94%,37377,42.06%,88872,1
Harrison,2619,48.69%,2760,51.31%,5379,2
Hartley,122,65.59%,64,34.41%,186,1
Haskell,1159,38.59%,1844,61.41%,3003,2
Hays,634,22.25%,2215,77.75%,2849,2
Hemphill,185,63.14%,108,36.86%,293,1
Henderson,3441,46.84%,3905,53.16%,7346,2
Hidalgo,6851,39.69%,10412,60.31%,17263,2
Hill,3283,50.47%,3222,49.53%,6505,1
Hockley,1371,41.01%,1972,58.99%,3343,2
Hood,1306,55.08%,1065,44.92%,2371,1
Hopkins,3436,54.51%,2868,45.49%,6304,1
Houston,2564,50.14%,2550,49.86%,5114,1
Howard,2411,47.78%,2635,52.22%,5046,2
Hudspeth,87,42.65%,117,57.35%,204,2
Hunt,3215,60.07%,2137,39.93%,5352,1
Hutchinson,2076,58.81%,1454,41.19%,3530,1
Irion,215,48.64%,227,51.36%,442,2
Jack,894,50.42%,879,49.58%,1773,1
Jackson,757,39.20%,1174,60.80%,1931,2
Jasper,2333,58.56%,1651,41.44%,3984,1
Jeff Davis,154,60.63%,100,39.37%,254,1
Jefferson,11801,42.96%,15670,57.04%,27471,2
Jim Hogg,211,20.95%,796,79.05%,1007,2
Jim Wells,770,27.92%,1988,72.08%,2758,2
Johnson,2112,53.81%,1813,46.19%,3925,1
Jones,1415,39.67%,2152,60.33%,3567,2
Karnes,1133,43.16%,1492,56.84%,2625,2
Kaufman,3039,52.64%,2734,47.36%,5773,1
Kendall,290,67.60%,139,32.40%,429,1
Kenedy,52,86.67%,8,13.33%,60,1
Kent,147,38.48%,235,61.52%,382,2
Kerr,1218,58.76%,855,41.24%,2073,1
Kimble,1115,69.34%,493,30.66%,1608,1
King,135,45.76%,160,54.24%,295,2
Kinney,0,#DIV/0!,0,#DIV/0!,0,#N/A
Kleberg,1289,43.46%,1677,56.54%,2966,2
Knox,592,40.52%,869,59.48%,1461,2
Lamar,5010,54.66%,4155,45.34%,9165,1
Lamb,807,47.28%,900,52.72%,1707,2
Lampasas,677,45.81%,801,54.19%,1478,2
La Salle,302,33.30%,605,66.70%,907,2
Lavaca,1225,48.06%,1324,51.94%,2549,2
Lee,956,40.77%,1389,59.23%,2345,2
Leon,803,45.63%,957,54.38%,1760,2
Liberty,2160,57.86%,1573,42.14%,3733,1
Limestone,1940,48.35%,2072,51.65%,4012,2
Lipscomb,134,63.21%,78,36.79%,212,1
Live Oak,860,54.29%,724,45.71%,1584,1
Llano,736,40.60%,1077,59.40%,1813,2
Loving,22,59.46%,15,40.54%,37,1
Lubbock,3218,33.30%,6445,66.70%,9663,2
Lynn,726,42.91%,966,57.09%,1692,2
McCulloch,1245,46.01%,1461,53.99%,2706,2
McLennan,8663,45.98%,10178,54.02%,18841,2
McMullen,166,53.55%,144,46.45%,310,1
Madison,764,47.93%,830,52.07%,1594,2
Marion,208,25.27%,615,74.73%,823,2
Martin,677,48.43%,721,51.57%,1398,2
Mason,846,67.79%,402,32.21%,1248,1
Matagorda,928,59.76%,625,40.24%,1553,1
Maverick,425,38.78%,671,61.22%,1096,2
Medina,798,52.26%,729,47.74%,1527,1
Menard,916,58.42%,652,41.58%,1568,1
Midland,1233,60.77%,796,39.23%,2029,1
Milam,2271,53.82%,1949,46.18%,4220,1
Mills,652,55.68%,519,44.32%,1171,1
Mitchell,603,46.17%,703,53.83%,1306,2
Montague,1917,47.71%,2101,52.29%,4018,2
Montgomery,2407,55.18%,1955,44.82%,4362,1
Moore,872,68.55%,400,31.45%,1272,1
Morris,671,44.12%,850,55.88%,1521,2
Motley,366,55.37%,295,44.63%,661,1
Nacogdoches,3525,50.29%,3485,49.71%,7010,1
Navarro,2713,59.20%,1870,40.80%,4583,1
Newton,1155,50.66%,1125,49.34%,2280,1
Nolan,1508,41.35%,2139,58.65%,3647,2
Nueces,4118,35.15%,7598,64.85%,11716,2
Ochiltree,996,69.41%,439,30.59%,1435,1
Oldham,163,48.51%,173,51.49%,336,2
Orange,3636,59.22%,2504,40.78%,6140,1
Palo Pinto,1426,56.77%,1086,43.23%,2512,1
Panola,874,35.11%,1615,64.89%,2489,2
Parker,2060,53.65%,1780,46.35%,3840,1
Parmer,390,63.73%,222,36.27%,612,1
Pecos,1265,60.35%,831,39.65%,2096,1
Polk,1726,55.91%,1361,44.09%,3087,1
Potter,6418,61.85%,3959,38.15%,10377,1
Presidio,556,55.99%,437,44.01%,993,1
Rains,563,46.22%,655,53.78%,1218,2
Randall,1415,67.03%,696,32.97%,2111,1
Reagan,179,51.88%,166,48.12%,345,1
Real,401,56.56%,308,43.44%,709,1
Red River,2870,52.53%,2594,47.47%,5464,1
Reeves,889,50.11%,885,49.89%,1774,1
Refugio,294,48.51%,312,51.49%,606,2
Roberts,181,93.78%,12,6.22%,193,1
Robertson,1386,43.12%,1828,56.88%,3214,2
Rockwall,802,60.99%,513,39.01%,1315,1
Runnels,1959,46.79%,2228,53.21%,4187,2
Rusk,6573,66.16%,3362,33.84%,9935,1
Sabine,1332,48.16%,1434,51.84%,2766,2
San Augustine,784,33.46%,1559,66.54%,2343,2
San Jacinto,446,50.62%,435,49.38%,881,1
San Patricio,1743,44.23%,2198,55.77%,3941,2
San Saba,868,41.41%,1228,58.59%,2096,2
Schleicher,339,53.90%,290,46.10%,629,1
Scurry,983,45.24%,1190,54.76%,2173,2
Shackelford,349,54.53%,291,45.47%,640,1
Shelby,1639,42.05%,2259,57.95%,3898,2
Sherman,104,72.22%,40,27.78%,144,1
Smith,6135,60.08%,4077,39.92%,10212,1
Somervell,358,53.12%,316,46.88%,674,1
Starr,170,5.30%,3038,94.70%,3208,2
Stephens,1285,55.75%,1020,44.25%,2305,1
Sterling,70,36.08%,124,63.92%,194,2
Stonewall,442,36.23%,778,63.77%,1220,2
Sutton,281,64.16%,157,35.84%,438,1
Swisher,788,65.23%,420,34.77%,1208,1
Tarrant,22741,55.69%,18092,44.31%,40833,1
Taylor,3078,39.82%,4651,60.18%,7729,2
Terrell,116,71.17%,47,28.83%,163,1
Terry,740,39.91%,1114,60.09%,1854,2
Throckmorton,287,34.75%,539,65.25%,826,2
Titus,1926,49.02%,2003,50.98%,3929,2
Tom Green,3510,47.29%,3913,52.71%,7423,2
Travis,8525,32.16%,17981,67.84%,26506,2
Trinity,943,54.63%,783,45.37%,1726,1
Tyler,1238,62.15%,754,37.85%,1992,1
Upshur,1594,56.07%,1249,43.93%,2843,1
Upton,374,51.66%,350,48.34%,724,1
Uvalde,898,65.45%,474,34.55%,1372,1
Val Verde,515,58.79%,361,41.21%,876,1
Van Zandt,2616,45.48%,3136,54.52%,5752,2
Victoria,1017,59.89%,681,40.11%,1698,1
Walker,1453,49.68%,1472,50.32%,2925,2
Waller,867,51.67%,811,48.33%,1678,1
Ward,1293,57.04%,974,42.96%,2267,1
Washington,1540,47.14%,1727,52.86%,3267,2
Webb,1179,17.51%,5554,82.49%,6733,2
Wharton,1424,54.62%,1183,45.38%,2607,1
Wheeler,854,56.18%,666,43.82%,1520,1
Wichita,4188,41.46%,5913,58.54%,10101,2
Wilbarger,1907,54.27%,1607,45.73%,3514,1
Willacy,1467,53.52%,1274,46.48%,2741,1
Williamson,2531,33.84%,4949,66.16%,7480,2
Wilson,1784,48.41%,1901,51.59%,3685,2
Winkler,1030,57.77%,753,42.23%,1783,1
Wise,1101,40.39%,1625,59.61%,2726,2
Wood,2424,54.00%,2065,46.00%,4489,1
Yoakum,592,50.77%,574,49.23%,1166,1
Young,972,38.03%,1584,61.97%,2556,2
Zapata,71,9.59%,669,90.41%,740,2
Zavala,395,48.17%,425,51.83%,820,2
Total,494104,50.00%,494194,50.00%,988298,
