County,Porter,%,Johnson,%,Morris,%,Total,Winner
Coke,109,10.89%,884,88.31%,8,0.80%,1001,2
Coleman,819,24.18%,2516,74.28%,52,1.54%,3387,2
Collin,1673,23.82%,5314,75.65%,37,0.53%,7024,2
Collingsworth,287,13.88%,1753,84.77%,28,1.35%,2068,2
Colorado,1578,51.98%,1448,47.69%,10,0.33%,3036,1
Comal,1892,60.82%,1213,38.99%,6,0.19%,3111,1
Comanche,706,20.25%,2738,78.52%,43,1.23%,3487,2
Concho,211,16.02%,1090,82.76%,16,1.21%,1317,2
Cooke,1810,37.44%,2992,61.89%,32,0.66%,4834,2
Coryell,478,17.55%,2221,81.56%,24,0.88%,2723,2
Cottle,142,9.94%,1274,89.15%,13,0.91%,1429,2
Crane,146,16.10%,736,81.15%,25,2.76%,907,2
Crockett,134,24.95%,402,74.86%,1,0.19%,537,2
Crosby,280,14.16%,1697,85.84%,0,0.00%,1977,2
Culberson,49,16.90%,239,82.41%,2,0.69%,290,2
Dallam,463,24.67%,1400,74.59%,14,0.75%,1877,2
Dallas,43951,48.29%,46464,51.05%,606,0.67%,91021,2
Dawson,550,17.94%,2480,80.89%,36,1.17%,3066,2
Deaf Smith,599,29.33%,1422,69.64%,21,1.03%,2042,2
Delta,278,14.85%,1546,82.59%,48,2.56%,1872,2
Denton,2399,35.57%,4315,63.98%,30,0.44%,6744,2
DeWitt,1977,54.15%,1674,45.85%,0,0.00%,3651,1
Dickens,176,10.62%,1453,87.64%,29,1.75%,1658,2
Dimmit,367,29.50%,877,70.50%,0,0.00%,1244,2
Donley,342,20.77%,1285,78.02%,20,1.21%,1647,2
Duval,126,3.42%,3545,96.33%,9,0.24%,3680,2
Eastland,1833,28.15%,4593,70.53%,86,1.32%,6512,2
Ector,213,4.98%,4054,94.85%,7,0.16%,4274,2
Edwards,213,40.11%,314,59.13%,4,0.75%,531,2
Ellis,1857,24.86%,5572,74.59%,41,0.55%,7470,2
El Paso,4130,19.80%,16708,80.10%,20,0.10%,20858,2
Erath,0,0.00%,2986,100.00%,0,0.00%,2986,2
Falls,909,21.83%,3228,77.52%,27,0.65%,4164,2
Fannin,836,11.91%,6143,87.51%,41,0.58%,7020,2
Fayette,2198,42.13%,3007,57.64%,12,0.23%,5217,2
Fisher,219,9.88%,1988,89.71%,9,0.41%,2216,2
Floyd,629,24.42%,1899,73.72%,48,1.86%,2576,2
Foard,133,15.45%,728,84.55%,0,0.00%,861,2
Fort Bend,1417,39.24%,2180,60.37%,14,0.39%,3611,2
Franklin,253,17.33%,1207,82.67%,0,0.00%,1460,2
Freestone,863,27.86%,2205,71.17%,30,0.97%,3098,2
Frio,409,31.10%,892,67.83%,14,1.06%,1315,2
Gaines,355,20.59%,1346,78.07%,23,1.33%,1724,2
Galveston,5170,28.32%,13024,71.33%,64,0.35%,18258,2
Garza,188,17.85%,844,80.15%,21,1.99%,1053,2
Gillespie,2941,85.79%,484,14.12%,3,0.09%,3428,1
Glasscock,98,35.64%,169,61.45%,8,2.91%,275,2
Goliad,575,62.36%,347,37.64%,0,0.00%,922,1
Gonzales,983,28.40%,2442,70.56%,36,1.04%,3461,2
Gray,2046,38.44%,3224,60.58%,52,0.98%,5322,2
Grayson,2843,20.86%,10762,78.96%,25,0.18%,13630,2
Gregg,5063,51.18%,4732,47.84%,97,0.98%,9892,1
Grimes,587,34.37%,1107,64.81%,14,0.82%,1708,2
Guadalupe,2974,59.36%,2019,40.30%,17,0.34%,5010,1
Hale,1405,27.09%,3730,71.92%,51,0.98%,5186,2
Hall,217,9.33%,2109,90.67%,0,0.00%,2326,2
Hamilton,711,31.35%,1557,68.65%,0,0.00%,2268,2
Hansford,264,24.35%,820,75.65%,0,0.00%,1084,2
Hardeman,339,17.61%,1572,81.66%,14,0.73%,1925,2
Hardin,465,16.05%,2374,81.95%,58,2.00%,2897,2
Harris,57454,48.68%,60180,50.99%,378,0.32%,118012,2
Harrison,1834,35.93%,3197,62.64%,73,1.43%,5104,2
Hartley,21,11.67%,159,88.33%,0,0.00%,180,2
Haskell,259,8.78%,2675,90.71%,15,0.51%,2949,2
Hays,547,18.45%,2395,80.80%,22,0.74%,2964,2
Hemphill,227,20.30%,891,79.70%,0,0.00%,1118,2
Henderson,861,19.29%,3594,80.51%,9,0.20%,4464,2
Hidalgo,6173,38.09%,9927,61.25%,107,0.66%,16207,2
Hill,688,19.12%,2910,80.88%,0,0.00%,3598,2
Hockley,621,17.70%,2855,81.36%,33,0.94%,3509,2
Hood,242,16.63%,1193,81.99%,20,1.37%,1455,2
Hopkins,727,15.78%,3843,83.43%,36,0.78%,4606,2
Houston,862,28.06%,2134,69.47%,76,2.47%,3072,2
Howard,1175,23.63%,3769,75.79%,29,0.58%,4973,2
Hudspeth,57,11.88%,422,87.92%,1,0.21%,480,2
Hunt,1950,28.45%,4866,71.01%,37,0.54%,6853,2
Hutchinson,1539,26.12%,4327,73.44%,26,0.44%,5892,2
Irion,65,15.37%,358,84.63%,0,0.00%,423,2
Jack,382,21.89%,1305,74.79%,58,3.32%,1745,2
Jackson,587,30.53%,1305,67.86%,31,1.61%,1923,2
Jasper,497,20.94%,1836,77.37%,40,1.69%,2373,2
Jeff Davis,83,21.50%,303,78.50%,0,0.00%,386,2
Jefferson,7916,24.15%,24707,75.38%,154,0.47%,32777,2
Jim Hogg,111,13.42%,716,86.58%,0,0.00%,827,2
Jim Wells,1840,34.77%,3423,64.68%,29,0.55%,5292,2
Johnson,1235,24.41%,3783,74.78%,41,0.81%,5059,2
Jones,356,9.02%,3519,89.18%,71,1.80%,3946,2
Karnes,812,28.15%,2073,71.85%,0,0.00%,2885,2
Kaufman,1324,27.92%,3391,71.51%,27,0.57%,4742,2
Kendall,1304,71.65%,505,27.75%,11,0.60%,1820,1
Kenedy,63,81.82%,14,18.18%,0,0.00%,77,1
Kent,46,9.33%,441,89.45%,6,1.22%,493,2
Kerr,1633,52.69%,1437,46.37%,29,0.94%,3099,1
Kimble,514,41.92%,706,57.59%,6,0.49%,1226,2
King,8,3.43%,225,96.57%,0,0.00%,233,2
Kinney,199,39.48%,305,60.52%,0,0.00%,504,2
Kleberg,770,27.29%,2016,71.44%,36,1.28%,2822,2
Knox,237,11.81%,1753,87.39%,16,0.80%,2006,2
Lamar,1739,21.75%,6180,77.28%,78,0.98%,7997,2
Lamb,679,18.18%,3013,80.69%,42,1.12%,3734,2
Lampasas,363,20.63%,1397,79.38%,0,0.00%,1760,2
La Salle,189,22.55%,637,76.01%,12,1.43%,838,2
Lavaca,1526,34.38%,2886,65.03%,26,0.59%,4438,2
Lee,592,28.16%,1501,71.41%,9,0.43%,2102,2
Leon,343,20.88%,1283,78.09%,17,1.03%,1643,2
Liberty,1339,36.92%,2194,60.49%,94,2.59%,3627,2
Limestone,1100,25.05%,3251,74.02%,41,0.93%,4392,2
Lipscomb,370,35.54%,644,61.86%,27,2.59%,1041,2
Live Oak,586,38.89%,893,59.26%,28,1.86%,1507,2
Llano,350,20.00%,1389,79.37%,11,0.63%,1750,2
Loving,21,27.63%,55,72.37%,0,0.00%,76,2
Lubbock,3332,23.54%,10824,76.46%,0,0.00%,14156,2
Lynn,398,16.22%,2011,81.95%,45,1.83%,2454,2
Madison,260,23.49%,817,73.80%,30,2.71%,1107,2
Marion,280,21.82%,982,76.54%,21,1.64%,1283,2
Martin,129,12.49%,873,84.51%,31,3.00%,1033,2
Mason,536,40.67%,762,57.81%,20,1.52%,1318,2
Matagorda,1523,48.35%,1611,51.14%,16,0.51%,3150,2
Maverick,272,27.81%,697,71.27%,9,0.92%,978,2
McCulloch,501,19.33%,2080,80.25%,11,0.42%,2592,2
McLennan,3625,18.34%,15873,80.30%,269,1.36%,19767,2
McMullen,101,34.24%,189,64.07%,5,1.69%,295,2
Medina,1032,28.90%,2509,70.26%,30,0.84%,3571,2
Menard,328,32.09%,679,66.44%,15,1.47%,1022,2
Midland,1900,51.32%,1760,47.54%,42,1.13%,3702,1
Milam,936,22.83%,3126,76.24%,38,0.93%,4100,2
Mills,275,22.50%,947,77.50%,0,0.00%,1222,2
Mitchell,337,13.91%,2057,84.89%,29,1.20%,2423,2
Montague,226,19.64%,925,80.36%,0,0.00%,1151,2
Montgomery,1014,32.51%,2055,65.89%,50,1.60%,3119,2
Moore,430,20.94%,1611,78.47%,12,0.58%,2053,2
Morris,282,18.89%,1195,80.04%,16,1.07%,1493,2
Motley,132,14.83%,744,83.60%,14,1.57%,890,2
Nacogdoches,1060,23.88%,3321,74.83%,57,1.28%,4438,2
Navarro,1972,30.67%,4359,67.79%,99,1.54%,6430,2
Newton,183,16.68%,914,83.32%,0,0.00%,1097,2
Nolan,698,17.33%,3312,82.24%,17,0.42%,4027,2
Nueces,6003,28.71%,14906,71.29%,0,0.00%,20909,2
Ochiltree,401,29.49%,959,70.51%,0,0.00%,1360,2
Oldham,120,22.94%,403,77.06%,0,0.00%,523,2
Orange,1443,22.22%,5051,77.78%,0,0.00%,6494,2
Palo Pinto,1532,31.10%,3310,67.19%,84,1.71%,4926,2
Panola,491,18.22%,2162,80.22%,42,1.56%,2695,2
Parker,1297,32.34%,2632,65.64%,81,2.02%,4010,2
Parmer,392,27.92%,979,69.73%,33,2.35%,1404,2
Pecos,402,22.96%,1331,76.01%,18,1.03%,1751,2
Polk,512,25.59%,1489,74.41%,0,0.00%,2001,2
Potter,2282,34.23%,4385,65.77%,0,0.00%,6667,2
Presidio,259,22.82%,868,76.48%,8,0.70%,1135,2
Rains,148,16.55%,742,83.00%,4,0.45%,894,2
Randall,791,28.80%,1932,70.33%,24,0.87%,2747,2
Reagan,137,24.20%,429,75.80%,0,0.00%,566,2
Real,186,30.95%,406,67.55%,9,1.50%,601,2
Red River,727,18.94%,3062,79.78%,49,1.28%,3838,2
Reeves,390,27.45%,1031,72.55%,0,0.00%,1421,2
Refugio,173,44.70%,214,55.30%,0,0.00%,387,2
Roberts,173,44.59%,214,55.15%,1,0.26%,388,2
Robertson,559,19.94%,2244,80.06%,0,0.00%,2803,2
Rockwall,268,22.00%,918,75.37%,32,2.63%,1218,2
Runnels,733,20.67%,2786,78.57%,27,0.76%,3546,2
Rusk,2834,38.58%,4419,60.16%,93,1.27%,7346,2
Sabine,178,12.91%,1147,83.18%,54,3.92%,1379,2
San Augustine,173,14.33%,996,82.52%,38,3.15%,1207,2
San Jacinto,171,22.83%,542,72.36%,36,4.81%,749,2
San Patricio,1171,32.77%,2336,65.38%,66,1.85%,3573,2
San Saba,249,11.05%,1972,87.49%,33,1.46%,2254,2
Schleicher,149,23.54%,478,75.51%,6,0.95%,633,2
Scurry,292,12.76%,1973,86.19%,24,1.05%,2289,2
Shackelford,294,25.83%,825,72.50%,19,1.67%,1138,2
Shelby,550,14.14%,3277,84.22%,64,1.64%,3891,2
Sherman,102,17.77%,466,81.18%,6,1.05%,574,2
Smith,5487,49.61%,5480,49.55%,93,0.84%,11060,1
Somervell,139,26.23%,380,71.70%,11,2.08%,530,2
Starr,96,6.87%,1301,93.13%,0,0.00%,1397,2
Stephens,838,29.97%,1958,70.03%,0,0.00%,2796,2
Sterling,27,10.19%,238,89.81%,0,0.00%,265,2
Stonewall,82,7.88%,958,92.12%,0,0.00%,1040,2
Sutton,195,32.45%,406,67.55%,0,0.00%,601,2
Swisher,455,23.03%,1509,76.37%,12,0.61%,1976,2
Tarrant,23214,40.91%,33083,58.30%,446,0.79%,56743,2
Taylor,2352,23.01%,7670,75.05%,198,1.94%,10220,2
Terrell,92,35.66%,165,63.95%,1,0.39%,258,2
Terry,407,15.65%,2166,83.28%,28,1.08%,2601,2
Throckmorton,112,10.04%,1001,89.78%,2,0.18%,1115,2
Titus,646,21.96%,2273,77.26%,23,0.78%,2942,2
Tom Green,2253,25.32%,6606,74.23%,40,0.45%,8899,2
Travis,5876,22.03%,20714,77.66%,83,0.31%,26673,2
Trinity,328,24.50%,1011,75.50%,0,0.00%,1339,2
Tyler,278,20.90%,978,73.53%,74,5.56%,1330,2
Upshur,954,31.46%,2043,67.38%,35,1.15%,3032,2
Upton,220,21.93%,771,76.87%,12,1.20%,1003,2
Uvalde,1025,42.41%,1367,56.56%,25,1.03%,2417,2
Val Verde,722,37.18%,1200,61.79%,20,1.03%,1942,2
Van Zandt,996,23.41%,3198,75.18%,60,1.41%,4254,2
Victoria,1777,43.93%,2247,55.55%,21,0.52%,4045,2
Walker,657,33.27%,1318,66.73%,0,0.00%,1975,2
Waller,673,43.36%,868,55.93%,11,0.71%,1552,2
Ward,600,23.26%,1964,76.15%,15,0.58%,2579,2
Washington,1964,52.05%,1807,47.89%,2,0.05%,3773,1
Webb,905,16.09%,4708,83.73%,10,0.18%,5623,2
Wharton,1760,38.42%,2799,61.10%,22,0.48%,4581,2
Wheeler,459,19.38%,1865,78.73%,45,1.90%,2369,2
Wichita,513,22.13%,1805,77.87%,0,0.00%,2318,2
Wilbarger,837,22.64%,2832,76.60%,28,0.76%,3697,2
Willacy,735,38.93%,1119,59.27%,34,1.80%,1888,2
Williamson,1344,19.29%,5596,80.30%,29,0.42%,6969,2
Wilson,767,25.58%,2224,74.16%,8,0.27%,2999,2
Winkler,465,23.71%,1449,73.89%,47,2.40%,1961,2
Wise,660,18.03%,2957,80.77%,44,1.20%,3661,2
Wood,1196,31.92%,2523,67.33%,28,0.75%,3747,2
Yoakum,164,16.63%,809,82.05%,13,1.32%,986,2
Young,714,18.63%,3082,80.43%,36,0.94%,3832,2
Zapata,417,39.87%,629,60.13%,0,0.00%,1046,2
Zavala,250,28.60%,617,70.59%,7,0.80%,874,2
Total,381110,32.43%,785325,66.82%,8914,0.76%,1175349,
