County,Allred,%,O'Daniel,%,Total,Winner
Cottle,580,39.70%,881,60.30%,1461,2
Crane,472,63.61%,270,36.39%,742,1
Crockett,320,54.98%,262,45.02%,582,1
Crosby,851,37.87%,1396,62.13%,2247,2
Culberson,149,81.42%,34,18.58%,183,1
Dallam,694,57.88%,505,42.12%,1199,1
Dallas,21450,58.53%,15201,41.47%,36651,1
Dawson,1125,40.18%,1675,59.82%,2800,2
Deaf Smith,700,52.24%,640,47.76%,1340,1
Delta,928,37.79%,1528,62.21%,2456,2
Denton,3145,48.16%,3385,51.84%,6530,2
DeWitt,1202,36.02%,2135,63.98%,3337,2
Dickens,811,39.74%,1230,60.26%,2041,2
Dimmit,364,47.89%,396,52.11%,760,2
Donley,759,46.17%,885,53.83%,1644,2
Duval,2770,96.01%,115,3.99%,2885,1
Eastland,2514,42.00%,3472,58.00%,5986,2
Ector,991,57.38%,736,42.62%,1727,1
Edwards,289,56.56%,222,43.44%,511,1
Ellis,4103,54.01%,3494,45.99%,7597,1
El Paso,6183,81.43%,1410,18.57%,7593,1
Erath,2405,42.85%,3207,57.15%,5612,2
Falls,2147,48.59%,2272,51.41%,4419,2
Fannin,3129,36.30%,5492,63.70%,8621,2
Fayette,2307,43.60%,2984,56.40%,5291,2
Fisher,1081,44.27%,1361,55.73%,2442,2
Floyd,934,35.33%,1710,64.67%,2644,2
Foard,493,37.98%,805,62.02%,1298,2
Fort Bend,1391,46.90%,1575,53.10%,2966,2
Franklin,682,33.06%,1381,66.94%,2063,2
Freestone,1765,47.99%,1913,52.01%,3678,2
Frio,537,49.22%,554,50.78%,1091,2
Gaines,617,44.23%,778,55.77%,1395,2
Galveston,5700,64.58%,3126,35.42%,8826,1
Garza,504,36.13%,891,63.87%,1395,2
Gillespie,274,19.97%,1098,80.03%,1372,2
Glasscock,107,52.97%,95,47.03%,202,1
Goliad,158,33.91%,308,66.09%,466,2
Gonzales,1670,41.00%,2403,59.00%,4073,2
Gray,1712,43.61%,2214,56.39%,3926,2
Grayson,6335,50.18%,6289,49.82%,12624,1
Gregg,3204,44.40%,4013,55.60%,7217,2
Grimes,1007,49.03%,1047,50.97%,2054,2
Guadalupe,604,27.95%,1557,72.05%,2161,2
Hale,1858,48.37%,1983,51.63%,3841,2
Hall,975,40.17%,1452,59.83%,2427,2
Hamilton,1112,37.68%,1839,62.32%,2951,2
Hansford,288,57.60%,212,42.40%,500,1
Hardeman,890,45.11%,1083,54.89%,1973,2
Hardin,827,37.40%,1384,62.60%,2211,2
Harris,32100,57.84%,23401,42.16%,55501,1
Harrison,2198,54.41%,1842,45.59%,4040,1
Hartley,207,54.62%,172,45.38%,379,1
Haskell,1700,42.55%,2295,57.45%,3995,2
Hays,1116,48.23%,1198,51.77%,2314,2
Hemphill,413,47.53%,456,52.47%,869,2
Henderson,1826,38.65%,2899,61.35%,4725,2
Hidalgo,4037,47.81%,4406,52.19%,8443,2
Hill,3236,49.66%,3280,50.34%,6516,2
Hockley,1281,41.02%,1842,58.98%,3123,2
Hood,558,42.50%,755,57.50%,1313,2
Hopkins,2344,41.46%,3310,58.54%,5654,2
Houston,1782,37.99%,2909,62.01%,4691,2
Howard,2230,57.36%,1658,42.64%,3888,1
Hudspeth,0,#DIV/0!,0,#DIV/0!,0,#N/A
Hunt,3863,48.89%,4039,51.11%,7902,2
Hutchinson,1165,62.00%,714,38.00%,1879,1
Irion,226,44.05%,287,55.95%,513,2
Jack,977,40.74%,1421,59.26%,2398,2
Jackson,920,42.18%,1261,57.82%,2181,2
Jasper,924,39.09%,1440,60.91%,2364,2
Jeff Davis,144,82.29%,31,17.71%,175,1
Jefferson,8105,60.96%,5191,39.04%,13296,1
Jim Hogg,578,87.05%,86,12.95%,664,1
Jim Wells,1348,44.37%,1690,55.63%,3038,2
Johnson,3112,55.11%,2535,44.89%,5647,1
Jones,1965,50.26%,1945,49.74%,3910,1
Karnes,1201,42.10%,1652,57.90%,2853,2
Kaufman,2522,46.45%,2908,53.55%,5430,2
Kendall,139,23.36%,456,76.64%,595,2
Kenedy,27,30.68%,61,69.32%,88,2
Kent,402,37.61%,667,62.39%,1069,2
Kerr,761,45.38%,916,54.62%,1677,2
Kimble,513,49.19%,530,50.81%,1043,2
King,77,35.32%,141,64.68%,218,2
Kinney,123,69.89%,53,30.11%,176,1
Kleberg,672,57.93%,488,42.07%,1160,1
Knox,907,42.68%,1218,57.32%,2125,2
Lamar,3158,39.28%,4882,60.72%,8040,2
Lamb,1360,36.91%,2325,63.09%,3685,2
Lampasas,915,47.26%,1021,52.74%,1936,2
La Salle,418,62.95%,246,37.05%,664,1
Lavaca,1987,43.41%,2590,56.59%,4577,2
Lee,623,30.66%,1409,69.34%,2032,2
Leon,1168,51.98%,1079,48.02%,2247,1
Liberty,1252,41.32%,1778,58.68%,3030,2
Limestone,2847,49.96%,2852,50.04%,5699,2
Lipscomb,245,46.85%,278,53.15%,523,2
Live Oak,485,36.88%,830,63.12%,1315,2
Llano,783,47.43%,868,52.57%,1651,2
Loving,37,48.68%,39,51.32%,76,2
Lubbock,4455,61.74%,2761,38.26%,7216,1
Lynn,1203,45.12%,1463,54.88%,2666,2
McCulloch,1048,44.20%,1323,55.80%,2371,2
McLennan,7961,57.87%,5795,42.13%,13756,1
McMullen,121,36.01%,215,63.99%,336,2
Madison,939,47.69%,1030,52.31%,1969,2
Marion,400,44.20%,505,55.80%,905,2
Martin,363,37.77%,598,62.23%,961,2
Mason,444,37.19%,750,62.81%,1194,2
Matagorda,963,37.75%,1588,62.25%,2551,2
Maverick,428,71.57%,170,28.43%,598,1
Medina,601,32.82%,1230,67.18%,1831,2
Menard,454,40.54%,666,59.46%,1120,2
Midland,864,50.91%,833,49.09%,1697,1
Milam,2124,40.81%,3080,59.19%,5204,2
Mills,830,38.59%,1321,61.41%,2151,2
Mitchell,1276,46.05%,1495,53.95%,2771,2
Montague,1832,38.96%,2870,61.04%,4702,2
Montgomery,1670,38.39%,2680,61.61%,4350,2
Moore,394,60.43%,258,39.57%,652,1
Morris,662,39.71%,1005,60.29%,1667,2
Motley,435,43.81%,558,56.19%,993,2
Nacogdoches,2361,42.31%,3219,57.69%,5580,2
Navarro,3552,47.29%,3959,52.71%,7511,2
Newton,571,43.42%,744,56.58%,1315,2
Nolan,2013,54.69%,1668,45.31%,3681,1
Nueces,5836,57.42%,4327,42.58%,10163,1
Ochiltree,381,48.54%,404,51.46%,785,2
Oldham,121,41.02%,174,58.98%,295,2
Orange,1417,48.36%,1513,51.64%,2930,2
Palo Pinto,2144,47.10%,2408,52.90%,4552,2
Panola,1667,43.95%,2126,56.05%,3793,2
Parker,2141,41.38%,3033,58.62%,5174,2
Parmer,384,33.68%,756,66.32%,1140,2
Pecos,1120,50.86%,1082,49.14%,2202,1
Polk,748,33.95%,1455,66.05%,2203,2
Potter,3320,63.08%,1943,36.92%,5263,1
Presidio,238,56.94%,180,43.06%,418,1
Rains,522,29.91%,1223,70.09%,1745,2
Randall,950,63.72%,541,36.28%,1491,1
Reagan,360,64.40%,199,35.60%,559,1
Real,209,27.79%,543,72.21%,752,2
Red River,1539,34.05%,2981,65.95%,4520,2
Reeves,542,67.92%,256,32.08%,798,1
Refugio,474,49.12%,491,50.88%,965,2
Roberts,173,51.34%,164,48.66%,337,1
Robertson,1210,48.28%,1296,51.72%,2506,2
Rockwall,764,45.97%,898,54.03%,1662,2
Runnels,1588,45.38%,1911,54.62%,3499,2
Rusk,3890,46.84%,4414,53.16%,8304,2
Sabine,535,37.86%,878,62.14%,1413,2
San Augustine,750,35.92%,1338,64.08%,2088,2
San Jacinto,275,28.50%,690,71.50%,965,2
San Patricio,1537,51.44%,1451,48.56%,2988,1
San Saba,1159,42.41%,1574,57.59%,2733,2
Schleicher,322,55.81%,255,44.19%,577,1
Scurry,1380,45.63%,1644,54.37%,3024,2
Shackelford,596,38.58%,949,61.42%,1545,2
Shelby,1820,35.89%,3251,64.11%,5071,2
Sherman,339,62.43%,204,37.57%,543,1
Smith,3934,44.78%,4852,55.22%,8786,2
Somervell,241,31.10%,534,68.90%,775,2
Starr,982,96.84%,32,3.16%,1014,1
Stephens,1111,41.75%,1550,58.25%,2661,2
Sterling,220,71.66%,87,28.34%,307,1
Stonewall,540,41.51%,761,58.49%,1301,2
Sutton,278,63.62%,159,36.38%,437,1
Swisher,752,47.06%,846,52.94%,1598,2
Tarrant,17640,63.40%,10184,36.60%,27824,1
Taylor,4543,59.50%,3092,40.50%,7635,1
Terrell,122,67.03%,60,32.97%,182,1
Terry,887,43.21%,1166,56.79%,2053,2
Throckmorton,331,28.81%,818,71.19%,1149,2
Titus,1760,46.76%,2004,53.24%,3764,2
Tom Green,3700,56.16%,2888,43.84%,6588,1
Travis,10800,65.50%,5688,34.50%,16488,1
Trinity,578,35.16%,1066,64.84%,1644,2
Tyler,665,31.10%,1473,68.90%,2138,2
Upshur,1776,34.56%,3363,65.44%,5139,2
Upton,481,56.86%,365,43.14%,846,1
Uvalde,813,41.44%,1149,58.56%,1962,2
Val Verde,825,71.61%,327,28.39%,1152,1
Van Zandt,2481,39.40%,3816,60.60%,6297,2
Victoria,1423,50.39%,1401,49.61%,2824,1
Walker,1036,46.35%,1199,53.65%,2235,2
Waller,579,43.80%,743,56.20%,1322,2
Ward,719,59.18%,496,40.82%,1215,1
Washington,726,21.97%,2579,78.03%,3305,2
Webb,4254,93.60%,291,6.40%,4545,1
Wharton,2135,54.56%,1778,45.44%,3913,1
Wheeler,932,36.84%,1598,63.16%,2530,2
Wichita,5225,52.44%,4739,47.56%,9964,1
Wilbarger,1677,40.39%,2475,59.61%,4152,2
Willacy,461,27.47%,1217,72.53%,1678,2
Williamson,3322,48.85%,3478,51.15%,6800,2
Wilson,1092,37.71%,1804,62.29%,2896,2
Winkler,582,54.60%,484,45.40%,1066,1
Wise,1742,40.40%,2570,59.60%,4312,2
Wood,2025,39.73%,3072,60.27%,5097,2
Yoakum,292,48.18%,314,51.82%,606,2
Young,1729,40.36%,2555,59.64%,4284,2
Zapata,615,96.39%,23,3.61%,638,1
Zavala,284,39.89%,428,60.11%,712,2
Total,432238,48.86%,452324,51.14%,884562,
