County,Dies,%,Johnson,%,Mann,%,O'Daniel,%,Total,Winner
Harris,6945,20.10%,14037,40.62%,5411,15.66%,8162,23.62%,34555,2
Harrison,470,15.07%,1312,42.06%,643,20.62%,694,22.25%,3119,2
Hartley,20,8.66%,47,20.35%,75,32.47%,89,38.53%,231,4
Haskell,92,4.73%,518,26.61%,644,33.08%,693,35.59%,1947,4
Hays,183,8.77%,1153,55.25%,326,15.62%,425,20.36%,2087,2
Hemphill,18,3.05%,210,35.59%,142,24.07%,220,37.29%,590,4
Henderson,339,13.38%,407,16.07%,654,25.82%,1133,44.73%,2533,4
Hidalgo,1457,26.51%,1213,22.07%,1352,24.60%,1475,26.83%,5497,4
Hill,396,9.57%,1568,37.87%,928,22.42%,1248,30.14%,4140,2
Hockley,146,10.77%,286,21.09%,344,25.37%,580,42.77%,1356,4
Hood,91,9.53%,211,22.09%,277,29.01%,376,39.37%,955,4
Hopkins,293,7.95%,498,13.52%,1628,44.19%,1265,34.34%,3684,3
Houston,530,21.07%,465,18.48%,421,16.73%,1100,43.72%,2516,4
Howard,261,11.40%,933,40.76%,641,28.00%,454,19.83%,2289,2
Hudspeth,19,10.05%,106,56.08%,28,14.81%,36,19.05%,189,2
Hunt,1587,27.03%,929,15.82%,1727,29.42%,1628,27.73%,5871,3
Hutchinson,155,13.50%,266,23.17%,351,30.57%,376,32.75%,1148,4
Irion,38,12.10%,127,40.45%,49,15.61%,100,31.85%,314,2
Jack,69,5.10%,373,27.55%,446,32.94%,466,34.42%,1354,4
Jackson,135,11.28%,289,24.14%,343,28.65%,430,35.92%,1197,4
Jasper,895,50.54%,169,9.54%,129,7.28%,578,32.64%,1771,1
Jeff Davis,14,9.03%,95,61.29%,23,14.84%,23,14.84%,155,2
Jefferson,6825,62.18%,2066,18.82%,824,7.51%,1262,11.50%,10977,1
Jim Hogg,9,4.89%,119,64.67%,35,19.02%,21,11.41%,184,2
Jim Wells,257,22.48%,322,28.17%,220,19.25%,344,30.10%,1143,4
Johnson,546,14.55%,1035,27.58%,1109,29.55%,1063,28.32%,3753,3
Jones,181,7.14%,842,33.20%,736,29.02%,777,30.64%,2536,2
Karnes,374,20.87%,530,29.58%,321,17.91%,567,31.64%,1792,4
Kaufman,387,10.42%,621,16.73%,1510,40.67%,1195,32.18%,3713,3
Kendall,74,11.18%,97,14.65%,161,24.32%,330,49.85%,662,4
Kenedy,5,5.49%,10,10.99%,35,38.46%,41,45.05%,91,4
Kent,23,6.35%,66,18.23%,123,33.98%,150,41.44%,362,4
Kerr,179,14.23%,414,32.91%,205,16.30%,460,36.57%,1258,4
Kimble,83,9.47%,278,31.74%,100,11.42%,415,47.37%,876,4
King,15,9.87%,23,15.13%,42,27.63%,72,47.37%,152,4
Kinney,20,13.33%,78,52.00%,24,16.00%,28,18.67%,150,2
Kleberg,138,15.28%,317,35.11%,189,20.93%,259,28.68%,903,2
Knox,64,5.07%,307,24.31%,422,33.41%,470,37.21%,1263,4
Lamar,449,8.37%,1251,23.32%,1272,23.71%,2393,44.60%,5365,4
Lamb,100,5.41%,396,21.41%,480,25.95%,874,47.24%,1850,4
Lampasas,50,3.39%,523,35.46%,377,25.56%,525,35.59%,1475,4
La Salle,26,6.90%,216,57.29%,27,7.16%,108,28.65%,377,2
Lavaca,268,9.33%,649,22.59%,810,28.19%,1146,39.89%,2873,4
Lee,27,1.56%,566,32.66%,309,17.83%,831,47.95%,1733,4
Leon,101,6.74%,480,32.04%,298,19.89%,619,41.32%,1498,4
Liberty,1926,63.54%,281,9.27%,242,7.98%,582,19.20%,3031,1
Limestone,265,8.85%,943,31.49%,869,29.02%,918,30.65%,2995,2
Lipscomb,27,7.56%,80,22.41%,101,28.29%,149,41.74%,357,4
Live Oak,109,13.59%,182,22.69%,178,22.19%,333,41.52%,802,4
Llano,116,9.30%,622,49.88%,143,11.47%,366,29.35%,1247,2
Loving,2,4.08%,28,57.14%,10,20.41%,9,18.37%,49,2
Lubbock,428,13.42%,825,25.87%,1153,36.16%,783,24.55%,3189,3
Lynn,139,9.75%,259,18.16%,531,37.24%,497,34.85%,1426,3
McCulloch,154,8.70%,666,37.63%,377,21.30%,573,32.37%,1770,2
McLennan,411,4.21%,4341,44.45%,2417,24.75%,2597,26.59%,9766,2
McMullen,37,14.62%,83,32.81%,31,12.25%,102,40.32%,253,4
Madison,71,7.33%,293,30.27%,249,25.72%,355,36.67%,968,4
Marion,50,5.23%,335,35.04%,256,26.78%,315,32.95%,956,2
Martin,45,7.01%,188,29.28%,171,26.64%,238,37.07%,642,4
Mason,23,2.75%,174,20.79%,295,35.24%,345,41.22%,837,4
Matagorda,483,27.35%,391,22.14%,271,15.35%,621,35.16%,1766,4
Maverick,45,12.47%,62,17.17%,151,41.83%,103,28.53%,361,3
Medina,180,13.46%,224,16.75%,298,22.29%,635,47.49%,1337,4
Menard,33,5.69%,238,41.03%,108,18.62%,201,34.66%,580,2
Midland,236,21.38%,284,25.72%,322,29.17%,262,23.73%,1104,3
Milam,415,11.23%,975,26.38%,709,19.18%,1597,43.21%,3696,4
Mills,43,3.94%,299,27.43%,292,26.79%,456,41.83%,1090,4
Mitchell,152,10.76%,504,35.69%,381,26.98%,375,26.56%,1412,2
Montague,154,6.64%,518,22.34%,672,28.98%,975,42.04%,2319,4
Montgomery,400,20.01%,638,31.92%,270,13.51%,691,34.57%,1999,4
Moore,35,11.08%,60,18.99%,121,38.29%,100,31.65%,316,3
Morris,52,5.30%,130,13.24%,420,42.77%,380,38.70%,982,3
Motley,57,9.61%,91,15.35%,223,37.61%,222,37.44%,593,3
Nacogdoches,861,33.62%,425,16.60%,445,17.38%,830,32.41%,2561,1
Navarro,723,15.19%,1175,24.68%,1355,28.47%,1507,31.66%,4760,4
Newton,795,66.19%,67,5.58%,52,4.33%,287,23.90%,1201,1
Nolan,260,12.49%,746,35.85%,538,25.85%,537,25.80%,2081,2
Nueces,597,7.77%,4217,54.86%,1495,19.45%,1378,17.93%,7687,2
Ochiltree,21,3.66%,132,23.00%,120,20.91%,301,52.44%,574,4
Oldham,24,11.65%,66,32.04%,48,23.30%,68,33.01%,206,4
Orange,1458,76.98%,102,5.39%,62,3.27%,272,14.36%,1894,1
Palo Pinto,227,8.61%,750,28.46%,768,29.15%,890,33.78%,2635,4
Panola,445,27.93%,347,21.78%,304,19.08%,497,31.20%,1593,4
Parker,316,11.68%,595,22.00%,708,26.17%,1086,40.15%,2705,4
Parmer,44,6.13%,115,16.02%,164,22.84%,395,55.01%,718,4
Pecos,61,9.21%,318,48.04%,163,24.62%,120,18.13%,662,2
Polk,620,36.49%,266,15.66%,186,10.95%,627,36.90%,1699,4
Potter,533,15.00%,1077,30.31%,794,22.35%,1149,32.34%,3553,4
Presidio,36,12.37%,164,56.36%,49,16.84%,42,14.43%,291,2
Rains,64,8.16%,103,13.14%,298,38.01%,319,40.69%,784,4
Randall,82,9.27%,190,21.47%,347,39.21%,266,30.06%,885,3
Reagan,48,14.86%,178,55.11%,57,17.65%,40,12.38%,323,2
Real,13,4.11%,70,22.15%,78,24.68%,155,49.05%,316,4
Red River,201,7.00%,389,13.55%,1069,37.25%,1211,42.20%,2870,4
Reeves,43,7.85%,230,41.97%,216,39.42%,59,10.77%,548,2
Refugio,100,14.01%,244,34.17%,157,21.99%,213,29.83%,714,2
Roberts,33,15.64%,36,17.06%,84,39.81%,58,27.49%,211,3
Robertson,65,2.93%,991,44.74%,397,17.92%,762,34.40%,2215,2
Rockwall,79,7.89%,123,12.29%,516,51.55%,283,28.27%,1001,3
Runnels,138,6.07%,701,30.84%,574,25.25%,860,37.84%,2273,4
Rusk,926,24.00%,684,17.73%,1173,30.40%,1075,27.86%,3858,3
Sabine,488,50.62%,125,12.97%,82,8.51%,269,27.90%,964,1
San Augustine,683,55.76%,112,9.14%,83,6.78%,347,28.33%,1225,1
San Jacinto,77,14.64%,136,25.86%,73,13.88%,240,45.63%,526,4
San Patricio,241,11.30%,634,29.72%,723,33.90%,535,25.08%,2133,3
San Saba,84,5.22%,661,41.08%,277,17.22%,587,36.48%,1609,2
Schleicher,34,6.98%,266,54.62%,54,11.09%,133,27.31%,487,2
Scurry,180,12.52%,329,22.88%,442,30.74%,487,33.87%,1438,4
Shackelford,72,8.70%,196,23.67%,253,30.56%,307,37.08%,828,4
Shelby,1144,44.36%,249,9.65%,229,8.88%,957,37.11%,2579,1
Sherman,11,5.50%,62,31.00%,62,31.00%,65,32.50%,200,4
Smith,443,8.31%,957,17.95%,2093,39.26%,1838,34.48%,5331,3
Somervell,41,7.92%,92,17.76%,151,29.15%,234,45.17%,518,4
Starr,7,1.09%,615,95.50%,10,1.55%,12,1.86%,644,2
Stephens,224,14.20%,295,18.71%,508,32.21%,550,34.88%,1577,4
Sterling,39,13.22%,140,47.46%,70,23.73%,46,15.59%,295,2
Stonewall,57,8.82%,168,26.01%,154,23.84%,267,41.33%,646,4
Sutton,32,8.47%,225,59.52%,40,10.58%,81,21.43%,378,2
Swisher,59,8.19%,127,17.64%,235,32.64%,299,41.53%,720,4
Tarrant,2690,14.96%,8155,45.37%,3626,20.17%,3505,19.50%,17976,2
Taylor,427,8.56%,2451,49.12%,967,19.38%,1145,22.95%,4990,2
Terrell,15,8.11%,90,48.65%,49,26.49%,31,16.76%,185,2
Terry,101,8.24%,313,25.53%,341,27.81%,471,38.42%,1226,4
Throckmorton,89,13.40%,103,15.51%,129,19.43%,343,51.66%,664,4
Titus,224,10.91%,572,27.85%,621,30.23%,637,31.01%,2054,4
Tom Green,448,10.89%,1832,44.52%,732,17.79%,1103,26.80%,4115,2
Travis,500,3.73%,7477,55.74%,2720,20.28%,2716,20.25%,13413,2
Trinity,196,15.79%,234,18.86%,208,16.76%,603,48.59%,1241,4
Tyler,657,55.96%,61,5.20%,116,9.88%,340,28.96%,1174,1
Upshur,204,10.05%,313,15.43%,614,30.26%,898,44.26%,2029,4
Upton,48,10.96%,230,52.51%,74,16.89%,86,19.63%,438,2
Uvalde,201,17.19%,258,22.07%,331,28.31%,379,32.42%,1169,4
Val Verde,219,29.01%,230,30.46%,165,21.85%,141,18.68%,755,2
Van Zandt,259,7.75%,531,15.89%,1285,38.46%,1266,37.89%,3341,3
Victoria,293,15.68%,376,20.12%,646,34.56%,554,29.64%,1869,3
Walker,259,20.25%,336,26.27%,265,20.72%,419,32.76%,1279,4
Waller,93,10.16%,308,33.66%,146,15.96%,368,40.22%,915,4
Ward,70,9.41%,254,34.14%,302,40.59%,118,15.86%,744,3
Washington,57,1.72%,1128,34.10%,377,11.40%,1746,52.78%,3308,4
Webb,77,5.53%,978,70.21%,81,5.81%,257,18.45%,1393,2
Wharton,572,17.33%,1185,35.91%,716,21.70%,827,25.06%,3300,2
Wheeler,105,7.48%,299,21.31%,429,30.58%,570,40.63%,1403,4
Wichita,403,7.21%,2277,40.73%,1259,22.52%,1652,29.55%,5591,2
Wilbarger,201,10.45%,349,18.14%,627,32.59%,747,38.83%,1924,4
Willacy,347,40.87%,66,7.77%,110,12.96%,326,38.40%,849,1
Williamson,115,2.05%,2863,51.11%,875,15.62%,1749,31.22%,5602,2
Wilson,76,3.17%,1003,41.79%,324,13.50%,997,41.54%,2400,2
Winkler,81,21.54%,108,28.72%,130,34.57%,57,15.16%,376,3
Wise,182,7.40%,662,26.90%,635,25.80%,982,39.90%,2461,4
Wood,174,6.45%,390,14.46%,1194,44.26%,940,34.84%,2698,3
Yoakum,42,9.79%,78,18.18%,159,37.06%,150,34.97%,429,3
Young,149,6.53%,593,25.97%,726,31.80%,815,35.70%,2283,4
Zapata,1,0.33%,273,91.00%,5,1.67%,21,7.00%,300,2
Zavala,61,13.32%,84,18.34%,161,35.15%,152,33.19%,458,3
Total,79501,13.95%,174279,30.57%,140707,24.68%,175602,30.80%,570089,
