County,Atcheson,%,Culberson,%,Combeau,%,Hickley,%,Total,Winner
Cass,683,28.76%,1541,64.88%,0,0.00%,151,6.36%,2375,2
Castro,46,18.70%,189,76.83%,6,2.44%,5,2.03%,246,2
Chambers,105,26.45%,247,62.22%,21,5.29%,24,6.05%,397,2
Cherokee,224,8.90%,2041,81.06%,3,0.12%,250,9.93%,2518,2
Childress,28,2.63%,957,89.94%,3,0.28%,76,7.14%,1064,2
Clay,156,9.94%,1354,86.30%,5,0.32%,54,3.44%,1569,2
Cochran,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Coke,25,4.46%,489,87.17%,4,0.71%,43,7.66%,561,2
Coleman,81,4.03%,1722,85.71%,6,0.30%,200,9.96%,2009,2
Collin,584,11.93%,4109,83.96%,16,0.33%,185,3.78%,4894,2
Collingsworth,31,3.77%,712,86.51%,5,0.61%,75,9.11%,823,2
Colorado,207,13.97%,1200,80.97%,9,0.61%,66,4.45%,1482,2
Comal,348,29.17%,817,68.48%,0,0.00%,28,2.35%,1193,2
Comanche,103,5.27%,1515,77.45%,27,1.38%,311,15.90%,1956,2
Concho,27,5.50%,425,86.56%,2,0.41%,37,7.54%,491,2
Cooke,270,9.68%,2405,86.26%,5,0.18%,108,3.87%,2788,2
Coryell,111,5.35%,1882,90.74%,5,0.24%,76,3.66%,2074,2
Cottle,9,1.69%,451,84.62%,4,0.75%,69,12.95%,533,2
Crane,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Crockett,11,13.41%,64,78.05%,0,0.00%,7,8.54%,82,2
Crosby,22,4.12%,467,87.45%,0,0.00%,45,8.43%,534,2
Culberson,1,0.83%,118,98.33%,0,0.00%,1,0.83%,120,2
Dallam,63,12.70%,387,78.02%,7,1.41%,39,7.86%,496,2
Dallas,2128,13.21%,13663,84.82%,134,0.83%,183,1.14%,16108,2
Dawson,8,2.53%,292,92.41%,2,0.63%,14,4.43%,316,2
Deaf Smith,75,16.67%,355,78.89%,5,1.11%,15,3.33%,450,2
Delta,74,5.05%,1272,86.83%,10,0.68%,109,7.44%,1465,2
Denton,387,11.29%,2864,83.57%,13,0.38%,163,4.76%,3427,2
DeWitt,381,17.69%,1747,81.10%,4,0.19%,22,1.02%,2154,2
Dickens,9,2.04%,393,88.91%,0,0.00%,40,9.05%,442,2
Dimmit,68,24.29%,201,71.79%,5,1.79%,6,2.14%,280,2
Donley,35,4.77%,637,86.78%,7,0.95%,55,7.49%,734,2
Duval,30,4.71%,604,94.82%,0,0.00%,3,0.47%,637,2
Eastland,122,6.31%,1492,77.19%,14,0.72%,305,15.78%,1933,2
Ector,1,0.82%,121,99.18%,0,0.00%,0,0.00%,122,2
Edwards,67,17.49%,309,80.68%,2,0.52%,5,1.31%,383,2
Ellis,417,7.93%,4753,90.36%,7,0.13%,83,1.58%,5260,2
El Paso,95,2.14%,4208,94.88%,30,0.68%,102,2.30%,4435,2
Erath,138,5.63%,1984,80.95%,31,1.26%,298,12.16%,2451,2
Falls,488,15.76%,2352,75.97%,12,0.39%,244,7.88%,3096,2
Fannin,456,10.85%,3501,83.34%,10,0.24%,234,5.57%,4201,2
Fayette,684,21.40%,2465,77.10%,6,0.19%,42,1.31%,3197,2
Fisher,31,2.54%,949,77.72%,7,0.57%,234,19.16%,1221,2
Floyd,42,5.71%,611,83.02%,6,0.82%,77,10.46%,736,2
Foard,41,6.71%,479,78.40%,2,0.33%,89,14.57%,611,2
Fort Bend,318,24.92%,937,73.43%,6,0.47%,15,1.18%,1276,2
Franklin,63,8.12%,671,86.47%,0,0.00%,42,5.41%,776,2
Freestone,636,27.54%,1575,68.21%,1,0.04%,97,4.20%,2309,2
Frio,28,5.89%,440,92.63%,3,0.63%,4,0.84%,475,2
Gaines,0,0.00%,81,95.29%,0,0.00%,4,4.71%,85,2
Galveston,1006,20.35%,3824,77.36%,46,0.93%,67,1.36%,4943,2
Garza,12,3.36%,331,92.72%,0,0.00%,14,3.92%,357,2
Gillespie,1297,68.08%,593,31.13%,3,0.16%,12,0.63%,1905,1
Glasscock,5,4.63%,99,91.67%,0,0.00%,4,3.70%,108,2
Goliad,500,40.85%,659,53.84%,5,0.41%,60,4.90%,1224,2
Gonzales,534,22.29%,1798,75.04%,13,0.54%,51,2.13%,2396,2
Gray,35,5.95%,511,86.90%,7,1.19%,35,5.95%,588,2
Grayson,945,14.71%,5177,80.56%,33,0.51%,271,4.22%,6426,2
Gregg,0,0.00%,831,100.00%,0,0.00%,0,0.00%,831,2
Grimes,63,5.06%,1152,92.60%,1,0.08%,28,2.25%,1244,2
Guadalupe,1328,49.89%,1324,49.74%,4,0.15%,6,0.23%,2662,1
Hale,69,6.62%,922,88.48%,8,0.77%,43,4.13%,1042,2
Hall,42,3.95%,924,87.01%,5,0.47%,91,8.57%,1062,2
Hamilton,141,9.31%,1343,88.65%,1,0.07%,30,1.98%,1515,2
Hansford,44,18.97%,169,72.84%,5,2.16%,14,6.03%,232,2
Hardeman,77,6.70%,942,81.98%,5,0.44%,125,10.88%,1149,2
Hardin,128,8.30%,1324,85.81%,6,0.39%,85,5.51%,1543,2
Harris,1815,13.31%,11353,83.23%,63,0.46%,409,3.00%,13640,2
Harrison,135,8.78%,1341,87.19%,7,0.46%,55,3.58%,1538,2
Hartley,24,12.63%,159,83.68%,0,0.00%,7,3.68%,190,2
Haskell,65,4.00%,1220,75.08%,338,20.80%,2,0.12%,1625,2
Hays,99,8.71%,1026,90.24%,4,0.35%,8,0.70%,1137,2
Hemphill,128,18.93%,508,75.15%,15,2.22%,25,3.70%,676,2
Henderson,262,10.84%,1794,74.22%,3,0.12%,358,14.81%,2417,2
Hidalgo,231,13.84%,1399,83.82%,6,0.36%,33,1.98%,1669,2
Hill,280,6.37%,4021,91.53%,15,0.34%,77,1.75%,4393,2
Hockley,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hood,59,7.02%,699,83.12%,1,0.12%,82,9.75%,841,2
Hopkins,208,6.89%,2572,85.22%,12,0.40%,226,7.49%,3018,2
Houston,373,16.32%,1750,76.59%,0,0.00%,162,7.09%,2285,2
Howard,28,3.17%,748,84.62%,2,0.23%,106,11.99%,884,2
Hudspeth,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hunt,417,8.64%,4241,87.82%,16,0.33%,155,3.21%,4829,2
Hutchinson,23,12.04%,159,83.25%,3,1.57%,6,3.14%,191,2
Irion,1,0.60%,153,92.17%,11,6.63%,1,0.60%,166,2
Jack,107,9.85%,871,80.20%,4,0.37%,104,9.58%,1086,2
Jackson,116,19.37%,412,68.78%,6,1.00%,65,10.85%,599,2
Jasper,65,6.35%,917,89.64%,3,0.29%,38,3.71%,1023,2
Jeff Davis,65,21.31%,237,77.70%,2,0.66%,1,0.33%,305,2
Jefferson,357,9.57%,3200,85.81%,23,0.62%,149,4.00%,3729,2
Jim Hogg,10,5.08%,187,94.92%,0,0.00%,0,0.00%,197,2
Jim Wells,43,8.96%,400,83.33%,3,0.63%,34,7.08%,480,2
Johnson,235,6.68%,3116,88.57%,8,0.23%,159,4.52%,3518,2
Jones,101,4.75%,1802,84.76%,7,0.33%,216,10.16%,2126,2
Karnes,116,11.10%,917,87.75%,4,0.38%,8,0.77%,1045,2
Kaufman,409,12.11%,2790,82.59%,2,0.06%,177,5.24%,3378,2
Kendall,440,52.51%,391,46.66%,1,0.12%,6,0.72%,838,1
Kenedy,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Kent,2,0.80%,222,88.80%,0,0.00%,26,10.40%,250,2
Kerr,238,23.26%,751,73.41%,5,0.49%,29,2.83%,1023,2
Kimble,14,6.22%,199,88.44%,0,0.00%,12,5.33%,225,2
King,3,6.00%,47,94.00%,0,0.00%,0,0.00%,50,2
Kinney,59,19.47%,236,77.89%,1,0.33%,7,2.31%,303,2
Kleberg,78,12.91%,472,78.15%,2,0.33%,52,8.61%,604,2
Knox,36,3.41%,918,86.93%,3,0.28%,99,9.38%,1056,2
Lamar,294,7.69%,3425,89.64%,6,0.16%,96,2.51%,3821,2
Lamb,9,5.20%,156,90.17%,5,2.89%,3,1.73%,173,2
Lampasas,95,9.55%,865,86.93%,4,0.40%,31,3.12%,995,2
La Salle,35,9.07%,346,89.64%,2,0.52%,3,0.78%,386,2
Lavaca,509,17.23%,2182,73.84%,9,0.30%,255,8.63%,2955,2
Lee,312,21.05%,1089,73.48%,0,0.00%,81,5.47%,1482,2
Leon,311,21.06%,997,67.50%,0,0.00%,169,11.44%,1477,2
Liberty,200,19.94%,721,71.88%,4,0.40%,78,7.78%,1003,2
Limestone,192,7.62%,2219,88.06%,6,0.24%,103,4.09%,2520,2
Lipscomb,114,21.84%,343,65.71%,16,3.07%,49,9.39%,522,2
Live Oak,90,15.82%,425,74.69%,6,1.05%,48,8.44%,569,2
Llano,31,3.83%,755,93.33%,2,0.25%,21,2.60%,809,2
Loving,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Lubbock,27,3.84%,644,91.61%,5,0.71%,27,3.84%,703,2
Lynn,11,3.12%,333,94.33%,0,0.00%,9,2.55%,353,2
Madison,112,12.63%,725,81.74%,5,0.56%,45,5.07%,887,2
Marion,162,26.43%,448,73.08%,2,0.33%,1,0.16%,613,2
Martin,13,8.13%,124,77.50%,0,0.00%,23,14.38%,160,2
Mason,102,17.23%,456,77.03%,1,0.17%,33,5.57%,592,2
Matagorda,225,20.55%,776,70.87%,14,1.28%,80,7.31%,1095,2
Maverick,135,39.36%,205,59.77%,1,0.29%,2,0.58%,343,2
McCulloch,48,4.68%,856,83.43%,2,0.19%,120,11.70%,1026,2
McLennan,657,10.93%,5221,86.84%,15,0.25%,119,1.98%,6012,2
McMullen,18,12.95%,121,87.05%,0,0.00%,0,0.00%,139,2
Medina,556,38.77%,841,58.65%,11,0.77%,26,1.81%,1434,2
Menard,25,7.25%,285,82.61%,1,0.29%,34,9.86%,345,2
Midland,19,5.14%,344,92.97%,0,0.00%,7,1.89%,370,2
Milam,361,12.36%,2311,79.14%,4,0.14%,244,8.36%,2920,2
Mills,79,8.34%,756,79.83%,4,0.42%,108,11.40%,947,2
Mitchell,35,3.80%,804,87.39%,1,0.11%,80,8.70%,920,2
Montague,231,9.69%,1904,79.83%,8,0.34%,242,10.15%,2385,2
Montgomery,177,14.60%,893,73.68%,3,0.25%,139,11.47%,1212,2
Moore,3,2.78%,104,96.30%,1,0.93%,0,0.00%,108,2
Morris,81,10.29%,704,89.45%,0,0.00%,2,0.25%,787,2
Motley,3,0.72%,388,93.05%,25,6.00%,1,0.24%,417,2
Nacogdoches,81,4.02%,1783,88.49%,4,0.20%,147,7.30%,2015,2
Navarro,293,7.43%,3539,89.80%,7,0.18%,102,2.59%,3941,2
Newton,20,3.58%,497,89.07%,8,1.43%,33,5.91%,558,2
Nolan,73,5.95%,1073,87.52%,3,0.24%,77,6.28%,1226,2
Nueces,306,13.05%,1893,80.72%,20,0.85%,126,5.37%,2345,2
Ochiltree,32,11.23%,246,86.32%,0,0.00%,7,2.46%,285,2
Oldham,39,22.67%,129,75.00%,4,2.33%,0,0.00%,172,2
Orange,66,7.41%,775,86.98%,7,0.79%,43,4.83%,891,2
Palo Pinto,102,5.51%,1454,78.51%,11,0.59%,285,15.39%,1852,2
Panola,114,8.05%,1230,86.80%,0,0.00%,73,5.15%,1417,2
Parker,140,6.26%,1840,82.25%,14,0.63%,243,10.86%,2237,2
Parmer,58,21.72%,190,71.16%,9,3.37%,10,3.75%,267,2
Pecos,89,17.69%,411,81.71%,2,0.40%,1,0.20%,503,2
Polk,84,7.30%,955,83.04%,0,0.00%,111,9.65%,1150,2
Potter,117,7.58%,1321,85.61%,8,0.52%,97,6.29%,1543,2
Presidio,14,5.00%,265,94.64%,1,0.36%,0,0.00%,280,2
Rains,65,7.21%,542,60.09%,1,0.11%,294,32.59%,902,2
Randall,40,9.76%,354,86.34%,11,2.68%,5,1.22%,410,2
Reagan,1,1.61%,61,98.39%,0,0.00%,0,0.00%,62,2
Real,14,4.98%,242,86.12%,1,0.36%,24,8.54%,281,2
Red River,331,13.14%,2037,80.87%,8,0.32%,143,5.68%,2519,2
Reeves,31,7.87%,358,90.86%,2,0.51%,3,0.76%,394,2
Refugio,220,31.47%,412,58.94%,16,2.29%,51,7.30%,699,2
Roberts,17,7.11%,218,91.21%,1,0.42%,3,1.26%,239,2
Robertson,183,11.65%,1342,85.42%,1,0.06%,45,2.86%,1571,2
Rockwall,26,2.94%,837,94.58%,12,1.36%,10,1.13%,885,2
Runnels,129,7.08%,1547,84.95%,8,0.44%,137,7.52%,1821,2
Rusk,514,19.98%,1857,72.17%,4,0.16%,198,7.70%,2573,2
Sabine,16,2.10%,684,89.76%,9,1.18%,53,6.96%,762,2
San Augustine,12,1.61%,682,91.30%,3,0.40%,50,6.69%,747,2
San Jacinto,258,36.13%,444,62.18%,1,0.14%,11,1.54%,714,2
San Patricio,110,13.63%,620,76.83%,10,1.24%,67,8.30%,807,2
San Saba,45,4.53%,840,84.51%,8,0.80%,101,10.16%,994,2
Schleicher,7,4.07%,164,95.35%,0,0.00%,1,0.58%,172,2
Scurry,28,2.50%,1008,90.00%,6,0.54%,78,6.96%,1120,2
Shackelford,41,8.67%,393,83.09%,1,0.21%,38,8.03%,473,2
Shelby,138,6.64%,1737,83.55%,5,0.24%,199,9.57%,2079,2
Sherman,29,14.36%,159,78.71%,4,1.98%,10,4.95%,202,2
Smith,741,21.23%,2450,70.20%,16,0.46%,283,8.11%,3490,2
Somervell,17,4.23%,298,74.13%,0,0.00%,87,21.64%,402,2
Starr,108,17.06%,525,82.94%,0,0.00%,0,0.00%,633,2
Stephens,11,1.63%,561,83.11%,1,0.15%,102,15.11%,675,2
Sterling,3,1.42%,208,98.58%,0,0.00%,0,0.00%,211,2
Stonewall,21,3.14%,519,77.69%,9,1.35%,119,17.81%,668,2
Sutton,5,3.65%,132,96.35%,0,0.00%,0,0.00%,137,2
Swisher,46,9.98%,401,86.98%,3,0.65%,11,2.39%,461,2
Tarrant,1189,9.71%,10667,87.08%,76,0.62%,318,2.60%,12250,2
Taylor,101,4.25%,2149,90.48%,120,5.05%,5,0.21%,2375,2
Terrell,57,23.75%,181,75.42%,0,0.00%,2,0.83%,240,2
Terry,0,0.00%,146,100.00%,0,0.00%,0,0.00%,146,2
Throckmorton,9,2.05%,360,82.00%,1,0.23%,69,15.72%,439,2
Titus,178,12.27%,1176,81.05%,20,1.38%,77,5.31%,1451,2
Tom Green,71,5.35%,1184,89.22%,10,0.75%,62,4.67%,1327,2
Travis,631,13.20%,4052,84.73%,29,0.61%,70,1.46%,4782,2
Trinity,135,11.44%,948,80.34%,94,7.97%,3,0.25%,1180,2
Tyler,32,4.60%,642,92.37%,0,0.00%,21,3.02%,695,2
Upshur,179,10.69%,1365,81.54%,9,0.54%,121,7.23%,1674,2
Upton,2,4.00%,47,94.00%,0,0.00%,1,2.00%,50,2
Uvalde,75,8.91%,742,88.12%,1,0.12%,24,2.85%,842,2
Val Verde,109,18.54%,472,80.27%,2,0.34%,5,0.85%,588,2
Van Zandt,184,6.29%,2085,71.28%,11,0.38%,645,22.05%,2925,2
Victoria,281,19.94%,1088,77.22%,7,0.50%,33,2.34%,1409,2
Walker,306,27.87%,766,69.76%,1,0.09%,25,2.28%,1098,2
Waller,136,16.33%,693,83.19%,0,0.00%,4,0.48%,833,2
Ward,14,6.70%,186,89.00%,1,0.48%,8,3.83%,209,2
Washington,410,17.15%,1977,82.69%,1,0.04%,3,0.13%,2391,2
Webb,430,37.52%,716,62.48%,0,0.00%,0,0.00%,1146,2
Wharton,321,22.12%,1018,70.16%,24,1.65%,88,6.06%,1451,2
Wheeler,49,6.90%,569,80.14%,9,1.27%,83,11.69%,710,2
Wichita,300,11.48%,2168,82.97%,11,0.42%,134,5.13%,2613,2
Wilbarger,60,3.92%,1361,89.01%,1,0.07%,107,7.00%,1529,2
Willacy,6,5.00%,114,95.00%,0,0.00%,0,0.00%,120,2
Williamson,372,9.72%,3367,87.93%,17,0.44%,73,1.91%,3829,2
Wilson,248,20.06%,961,77.75%,5,0.40%,22,1.78%,1236,2
Winkler,0,0.00%,21,100.00%,0,0.00%,0,0.00%,21,2
Wise,214,7.96%,2304,85.75%,18,0.67%,151,5.62%,2687,2
Wood,219,9.23%,1720,72.48%,13,0.55%,421,17.74%,2373,2
Yoakum,1,1.15%,85,97.70%,0,0.00%,1,1.15%,87,2
Young,55,3.99%,1187,86.01%,11,0.80%,127,9.20%,1380,2
Zapata,214,87.35%,31,12.65%,0,0.00%,0,0.00%,245,1
Zavala,34,11.93%,233,81.75%,2,0.70%,16,5.61%,285,2
Total,47598,12.81%,303035,81.56%,2319,0.62%,18612,5.01%,371564,
