County,Shannon,%,Connally,%,Brooks,%,Total,Winner
Morris,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Motley,24,2.25%,1041,97.75%,0,0.00%,1065,2
Nacogdoches,121,2.26%,5239,97.72%,1,0.02%,5361,2
Navarro,231,2.75%,8171,97.25%,0,0.00%,8402,2
Newton,42,2.14%,1920,97.86%,0,0.00%,1962,2
Nolan,91,2.38%,3729,97.62%,0,0.00%,3820,2
Nueces,595,4.61%,12301,95.35%,5,0.04%,12901,2
Ochiltree,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Oldham,9,1.81%,489,98.19%,0,0.00%,498,2
Orange,69,2.03%,3329,97.94%,1,0.03%,3399,2
Palo Pinto,135,3.30%,3959,96.70%,0,0.00%,4094,2
Panola,35,1.13%,3065,98.87%,0,0.00%,3100,2
Parker,203,4.77%,4053,95.19%,2,0.05%,4258,2
Parmer,117,7.50%,1443,92.50%,0,0.00%,1560,2
Pecos,79,4.05%,1869,95.85%,2,0.10%,1950,2
Polk,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Potter,827,8.71%,8661,91.25%,3,0.03%,9491,2
Presidio,41,3.67%,1073,96.15%,2,0.18%,1116,2
Rains,83,6.34%,1226,93.66%,0,0.00%,1309,2
Randall,81,3.74%,2083,96.21%,1,0.05%,2165,2
Reagan,14,2.31%,593,97.69%,0,0.00%,607,2
Real,37,6.35%,546,93.65%,0,0.00%,583,2
Red River,169,3.89%,4181,96.11%,0,0.00%,4350,2
Reeves,49,3.12%,1521,96.88%,0,0.00%,1570,2
Refugio,136,6.48%,1959,93.37%,3,0.14%,2098,2
Roberts,13,2.76%,458,97.24%,0,0.00%,471,2
Robertson,50,1.47%,3342,98.53%,0,0.00%,3392,2
Rockwall,14,0.87%,1597,99.13%,0,0.00%,1611,2
Runnels,126,3.20%,3787,96.14%,26,0.66%,3939,2
Rusk,242,2.79%,8446,97.21%,0,0.00%,8688,2
Sabine,38,2.23%,1665,97.77%,0,0.00%,1703,2
San Augustine,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
San Jacinto,30,3.39%,856,96.61%,0,0.00%,886,2
San Patricio,136,26.05%,385,73.75%,1,0.19%,522,2
San Saba,32,1.27%,2491,98.73%,0,0.00%,2523,2
Schleicher,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Scurry,0,0.00%,2523,100.00%,0,0.00%,2523,2
Shackelford,44,2.52%,1699,97.48%,0,0.00%,1743,2
Shelby,92,1.81%,4986,98.19%,0,0.00%,5078,2
Sherman,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Smith,363,3.30%,10622,96.69%,1,0.01%,10986,2
Somervell,23,3.80%,583,96.20%,0,0.00%,606,2
Starr,16,1.26%,1253,98.74%,0,0.00%,1269,2
Stephens,95,2.92%,3153,97.02%,2,0.06%,3250,2
Sterling,8,1.79%,438,98.21%,0,0.00%,446,2
Stonewall,43,3.22%,1294,96.78%,0,0.00%,1337,2
Sutton,26,3.89%,642,96.11%,0,0.00%,668,2
Swisher,66,3.82%,1662,96.18%,0,0.00%,1728,2
Tarrant,1902,4.35%,41849,95.64%,7,0.02%,43758,2
Taylor,219,2.50%,8538,97.50%,0,0.00%,8757,2
Terrell,44,8.15%,496,91.85%,0,0.00%,540,2
Terry,42,1.86%,2215,98.14%,0,0.00%,2257,2
Throckmorton,24,2.10%,1118,97.90%,0,0.00%,1142,2
Titus,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Tom Green,341,4.51%,7218,95.49%,0,0.00%,7559,2
Travis,685,3.30%,20040,96.69%,2,0.01%,20727,2
Trinity,56,2.69%,2027,97.31%,0,0.00%,2083,2
Tyler,35,1.85%,1861,98.15%,0,0.00%,1896,2
Upshur,206,4.90%,3996,95.10%,0,0.00%,4202,2
Upton,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Uvalde,109,4.43%,2350,95.49%,2,0.08%,2461,2
Val Verde,262,11.69%,1979,88.31%,0,0.00%,2241,2
Van Zandt,177,3.07%,5583,96.91%,1,0.02%,5761,2
Victoria,296,8.86%,3043,91.11%,1,0.03%,3340,2
Walker,34,1.42%,2355,98.58%,0,0.00%,2389,2
Waller,62,4.28%,1387,95.72%,0,0.00%,1449,2
Ward,77,3.39%,2189,96.47%,3,0.13%,2269,2
Washington,96,2.88%,3235,97.12%,0,0.00%,3331,2
Webb,237,4.77%,4727,95.19%,2,0.04%,4966,2
Wharton,168,3.53%,4586,96.47%,0,0.00%,4754,2
Wheeler,181,6.10%,2786,93.87%,1,0.03%,2968,2
Wichita,709,5.13%,13116,94.87%,0,0.00%,13825,2
Wilbarger,128,3.22%,3852,96.78%,0,0.00%,3980,2
Willacy,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Williamson,277,3.59%,7439,96.37%,3,0.04%,7719,2
Wilson,90,2.68%,3268,97.26%,2,0.06%,3360,2
Winkler,52,3.40%,1477,96.54%,1,0.07%,1530,2
Wise,132,3.11%,4112,96.87%,1,0.02%,4245,2
Wood,128,3.00%,4130,96.95%,2,0.05%,4260,2
Yoakum,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Young,116,2.79%,4046,97.21%,0,0.00%,4162,2
Zapata,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Zavala,55,5.31%,980,94.69%,0,0.00%,1035,2
Total,60052,5.69%,995455,94.27%,406,0.04%,1055913,
