County,Hutchison,%,Kelly,%,Ruwart,%,Sandage,%,Total,Winner
Gray,6868,84.40%,1195,14.69%,49,0.60%,25,0.31%,8137,1
Grayson,28251,71.69%,10491,26.62%,384,0.97%,281,0.71%,39407,1
Gregg,28034,73.91%,9409,24.80%,255,0.67%,234,0.62%,37932,1
Grimes,4505,67.43%,2013,30.13%,80,1.20%,83,1.24%,6681,1
Guadalupe,22729,75.73%,6551,21.83%,383,1.28%,351,1.17%,30014,1
Hale,6958,77.20%,1932,21.44%,73,0.81%,50,0.55%,9013,1
Hall,891,69.56%,384,29.98%,4,0.31%,2,0.16%,1281,1
Hamilton,2493,74.82%,796,23.89%,31,0.93%,12,0.36%,3332,1
Hansford,1854,90.97%,165,8.10%,12,0.59%,7,0.34%,2038,1
Hardeman,967,66.97%,462,31.99%,11,0.76%,4,0.28%,1444,1
Hardin,11982,68.27%,5260,29.97%,172,0.98%,138,0.79%,17552,1
Harris,564027,59.86%,355253,37.70%,9063,0.96%,13914,1.48%,942257,1
Harrison,14692,65.04%,7612,33.70%,138,0.61%,147,0.65%,22589,1
Hartley,1668,83.99%,298,15.01%,6,0.30%,14,0.70%,1986,1
Haskell,1533,62.52%,899,36.66%,15,0.61%,5,0.20%,2452,1
Hays,22508,66.13%,9328,27.41%,674,1.98%,1526,4.48%,34036,1
Hemphill,1213,85.12%,197,13.82%,9,0.63%,6,0.42%,1425,1
Henderson,17430,68.71%,7581,29.88%,208,0.82%,149,0.59%,25368,1
Hidalgo,41436,44.88%,49159,53.24%,784,0.85%,954,1.03%,92333,2
Hill,7514,70.78%,2942,27.71%,96,0.90%,64,0.60%,10616,1
Hockley,5336,80.22%,1220,18.34%,71,1.07%,25,0.38%,6652,1
Hood,12944,75.08%,3974,23.05%,190,1.10%,133,0.77%,17241,1
Hopkins,7418,69.59%,3076,28.86%,86,0.81%,80,0.75%,10660,1
Houston,5428,68.29%,2412,30.34%,51,0.64%,58,0.73%,7949,1
Howard,6828,72.13%,2485,26.25%,111,1.17%,42,0.44%,9466,1
Hudspeth,473,60.95%,261,33.63%,22,2.84%,20,2.58%,776,1
Hunt,17384,72.01%,6293,26.07%,240,0.99%,224,0.93%,24141,1
Hutchinson,7711,83.31%,1442,15.58%,69,0.75%,34,0.37%,9256,1
Irion,610,81.23%,133,17.71%,3,0.40%,5,0.67%,751,1
Jack,2060,71.70%,771,26.84%,26,0.90%,16,0.56%,2873,1
Jackson,3391,72.80%,1240,26.62%,12,0.26%,15,0.32%,4658,1
Jasper,7011,60.62%,4404,38.08%,91,0.79%,60,0.52%,11566,1
Jeff Davis,718,72.75%,212,21.48%,23,2.33%,34,3.44%,987,1
Jefferson,42217,49.39%,42103,49.26%,691,0.81%,462,0.54%,85473,1
Jim Hogg,647,32.03%,1337,66.19%,27,1.34%,9,0.45%,2020,2
Jim Wells,4914,41.99%,6619,56.55%,97,0.83%,74,0.63%,11704,2
Johnson,28086,73.24%,9498,24.77%,429,1.12%,337,0.88%,38350,1
Jones,4029,70.47%,1580,27.64%,62,1.08%,46,0.80%,5717,1
Karnes,2856,68.37%,1255,30.05%,45,1.08%,21,0.50%,4177,1
Kaufman,16389,71.95%,6074,26.67%,186,0.82%,128,0.56%,22777,1
Kendall,9255,84.47%,1359,12.40%,161,1.47%,181,1.65%,10956,1
Kenedy,100,53.19%,83,44.15%,3,1.60%,2,1.06%,188,1
Kent,315,64.29%,167,34.08%,5,1.02%,3,0.61%,490,1
Kerr,15224,79.99%,3243,17.04%,271,1.42%,294,1.54%,19032,1
Kimble,1331,81.66%,270,16.56%,21,1.29%,8,0.49%,1630,1
King,103,81.10%,21,16.54%,2,1.57%,1,0.79%,127,1
Kinney,957,74.82%,300,23.46%,11,0.86%,11,0.86%,1279,1
Kleberg,4986,55.55%,3793,42.26%,102,1.14%,94,1.05%,8975,1
Knox,964,64.18%,522,34.75%,9,0.60%,7,0.47%,1502,1
Lamar,10303,67.88%,4768,31.41%,108,0.71%,0,0.00%,15179,1
Lamb,3428,77.31%,966,21.79%,28,0.63%,12,0.27%,4434,1
Lampasas,4747,77.34%,1261,20.54%,79,1.29%,51,0.83%,6138,1
La Salle,732,39.33%,1091,58.62%,21,1.13%,17,0.91%,1861,2
Lavaca,5454,73.42%,1882,25.34%,58,0.78%,34,0.46%,7428,1
Lee,3752,69.78%,1528,28.42%,38,0.71%,59,1.10%,5377,1
Leon,4406,71.27%,1697,27.45%,46,0.74%,33,0.53%,6182,1
Liberty,13058,65.87%,6453,32.55%,185,0.93%,129,0.65%,19825,1
Limestone,4382,62.69%,2504,35.82%,56,0.80%,48,0.69%,6990,1
Lipscomb,1073,86.05%,158,12.67%,8,0.64%,8,0.64%,1247,1
Live Oak,2871,74.09%,960,24.77%,25,0.65%,19,0.49%,3875,1
Llano,6526,76.30%,1852,21.65%,89,1.04%,86,1.01%,8553,1
Loving,116,82.86%,20,14.29%,2,1.43%,2,1.43%,140,1
Lubbock,58484,77.97%,14725,19.63%,1118,1.49%,680,0.91%,75007,1
Lynn,1519,75.65%,470,23.41%,9,0.45%,10,0.50%,2008,1
Madison,2427,67.70%,1105,30.82%,27,0.75%,26,0.73%,3585,1
Marion,2089,56.32%,1581,42.63%,16,0.43%,23,0.62%,3709,1
Martin,1454,80.07%,308,16.96%,15,0.83%,39,2.15%,1816,1
Mason,1357,76.88%,373,21.13%,26,1.47%,9,0.51%,1765,1
Matagorda,8034,65.86%,3967,32.52%,100,0.82%,98,0.80%,12199,1
Maverick,3095,37.79%,4838,59.07%,170,2.08%,87,1.06%,8190,2
McCulloch,2128,77.13%,589,21.35%,17,0.62%,25,0.91%,2759,1
McLennan,47216,69.42%,19400,28.52%,539,0.79%,858,1.26%,68013,1
McMullen,334,84.99%,55,13.99%,3,0.76%,1,0.25%,393,1
Medina,9204,70.21%,3620,27.61%,168,1.28%,118,0.90%,13110,1
Menard,658,70.75%,262,28.17%,4,0.43%,6,0.65%,930,1
Midland,32191,82.06%,6317,16.10%,412,1.05%,310,0.79%,39230,1
Milam,4923,60.61%,3072,37.82%,68,0.84%,60,0.74%,8123,1
Mills,1712,77.12%,489,22.03%,10,0.45%,9,0.41%,2220,1
Mitchell,1697,70.53%,676,28.10%,21,0.87%,12,0.50%,2406,1
Montague,5238,72.43%,1869,25.84%,85,1.18%,40,0.55%,7232,1
Montgomery,83611,79.62%,19236,18.32%,1016,0.97%,1146,1.09%,105009,1
Moore,4264,81.62%,894,17.11%,39,0.75%,27,0.52%,5224,1
Morris,2535,52.57%,2237,46.39%,23,0.48%,27,0.56%,4822,1
Motley,512,82.18%,106,17.01%,3,0.48%,2,0.32%,623,1
Nacogdoches,13930,71.39%,5176,26.53%,180,0.92%,226,1.16%,19512,1
Navarro,8770,63.88%,4782,34.83%,99,0.72%,78,0.57%,13729,1
Newton,2342,48.42%,2423,50.09%,51,1.05%,21,0.43%,4837,2
Nolan,3555,67.83%,1584,30.22%,63,1.20%,39,0.74%,5241,1
Nueces,55925,58.63%,37403,39.21%,1036,1.09%,1020,1.07%,95384,1
Ochiltree,2636,90.90%,231,7.97%,18,0.62%,15,0.52%,2900,1
Oldham,646,85.79%,98,13.01%,5,0.66%,4,0.53%,753,1
Orange,17495,59.75%,11268,38.48%,314,1.07%,202,0.69%,29279,1
Palo Pinto,6047,67.14%,2781,30.88%,114,1.27%,64,0.71%,9006,1
Panola,6118,68.35%,2737,30.58%,58,0.65%,38,0.42%,8951,1
Parker,25092,76.22%,7169,21.78%,374,1.14%,284,0.86%,32919,1
Parmer,2272,84.49%,396,14.73%,11,0.41%,10,0.37%,2689,1
Pecos,2727,65.58%,1339,32.20%,60,1.44%,32,0.77%,4158,1
Polk,12225,65.88%,5985,32.25%,158,0.85%,189,1.02%,18557,1
Potter,16646,71.72%,6022,25.94%,300,1.29%,243,1.05%,23211,1
Presidio,573,37.97%,859,56.93%,19,1.26%,58,3.84%,1509,2
Rains,2195,68.40%,973,30.32%,17,0.53%,24,0.75%,3209,1
Randall,34932,84.20%,5930,14.29%,311,0.75%,314,0.76%,41487,1
Reagan,937,82.27%,178,15.63%,15,1.32%,9,0.79%,1139,1
Real,1136,80.57%,250,17.73%,15,1.06%,9,0.64%,1410,1
Red River,2895,59.46%,1931,39.66%,30,0.62%,13,0.27%,4869,1
Reeves,1366,45.08%,1602,52.87%,32,1.06%,30,0.99%,3030,2
Refugio,1879,65.65%,951,33.23%,18,0.63%,14,0.49%,2862,1
Roberts,475,87.80%,60,11.09%,5,0.92%,1,0.18%,541,1
Robertson,3172,50.48%,3018,48.03%,57,0.91%,37,0.59%,6284,1
Rockwall,14496,83.20%,2592,14.88%,202,1.16%,133,0.76%,17423,1
Runnels,3134,80.30%,719,18.42%,32,0.82%,18,0.46%,3903,1
Rusk,11823,72.93%,4149,25.59%,137,0.85%,103,0.64%,16212,1
Sabine,2693,60.30%,1694,37.93%,43,0.96%,36,0.81%,4466,1
San Augustine,2086,56.73%,1540,41.88%,31,0.84%,20,0.54%,3677,1
San Jacinto,4856,64.18%,2604,34.42%,55,0.73%,51,0.67%,7566,1
San Patricio,11254,61.36%,6823,37.20%,149,0.81%,115,0.63%,18341,1
San Saba,1764,77.03%,492,21.48%,18,0.79%,16,0.70%,2290,1
Schleicher,854,77.99%,230,21.00%,6,0.55%,5,0.46%,1095,1
Scurry,4040,77.95%,1059,20.43%,62,1.20%,22,0.42%,5183,1
Shackelford,1063,82.72%,207,16.11%,10,0.78%,5,0.39%,1285,1
Shelby,5870,66.26%,2886,32.58%,62,0.70%,41,0.46%,8859,1
Sherman,895,86.72%,124,12.02%,7,0.68%,6,0.58%,1032,1
Smith,44744,74.21%,14734,24.44%,450,0.75%,369,0.61%,60297,1
Somervell,2087,75.10%,660,23.75%,10,0.36%,22,0.79%,2779,1
Starr,1957,25.50%,5583,72.75%,90,1.17%,44,0.57%,7674,2
Stephens,2487,76.45%,712,21.89%,38,1.17%,16,0.49%,3253,1
Sterling,517,85.17%,80,13.18%,5,0.82%,5,0.82%,607,1
Stonewall,478,63.31%,270,35.76%,5,0.66%,2,0.26%,755,1
Sutton,1063,75.18%,345,24.40%,5,0.35%,1,0.07%,1414,1
Swisher,1620,65.96%,808,32.90%,15,0.61%,13,0.53%,2456,1
Tarrant,313435,67.10%,143191,30.66%,5234,1.12%,5239,1.12%,467099,1
Taylor,34052,79.45%,8023,18.72%,446,1.04%,341,0.80%,42862,1
Terrell,235,54.52%,187,43.39%,5,1.16%,4,0.93%,431,1
Terry,3016,77.04%,837,21.38%,39,1.00%,23,0.59%,3915,1
Throckmorton,602,74.78%,201,24.97%,0,0.00%,2,0.25%,805,1
Titus,5181,65.26%,2670,33.63%,51,0.64%,37,0.47%,7939,1
Tom Green,26362,77.20%,7148,20.93%,358,1.05%,278,0.81%,34146,1
Travis,164748,55.82%,100895,34.19%,7034,2.38%,22442,7.60%,295119,1
Trinity,3232,62.43%,1871,36.14%,34,0.66%,40,0.77%,5177,1
Tyler,4204,60.26%,2659,38.11%,77,1.10%,37,0.53%,6977,1
Upshur,8625,68.57%,3764,29.92%,98,0.78%,92,0.73%,12579,1
Upton,919,77.23%,251,21.09%,6,0.50%,14,1.18%,1190,1
Uvalde,5149,63.05%,2853,34.93%,100,1.22%,65,0.80%,8167,1
Val Verde,6576,59.03%,4324,38.81%,148,1.33%,93,0.83%,11141,1
Van Zandt,12838,72.90%,4508,25.60%,170,0.97%,95,0.54%,17611,1
Victoria,19030,72.24%,6923,26.28%,227,0.86%,161,0.61%,26341,1
Walker,9915,69.87%,3950,27.84%,139,0.98%,186,1.31%,14190,1
Waller,6190,57.54%,4430,41.18%,74,0.69%,64,0.59%,10758,1
Ward,2622,69.35%,1063,28.11%,58,1.53%,38,1.01%,3781,1
Washington,9000,77.02%,2531,21.66%,77,0.66%,77,0.66%,11685,1
Webb,15147,49.17%,14837,48.16%,506,1.64%,318,1.03%,30808,1
Wharton,8964,67.46%,4182,31.47%,77,0.58%,64,0.48%,13287,1
Wheeler,1817,78.69%,480,20.79%,8,0.35%,4,0.17%,2309,1
Wichita,29912,70.65%,11671,27.56%,463,1.09%,295,0.70%,42341,1
Wilbarger,3248,73.09%,1142,25.70%,35,0.79%,19,0.43%,4444,1
Willacy,2218,45.63%,2525,51.94%,82,1.69%,36,0.74%,4861,2
Williamson,70036,73.94%,20829,21.99%,1698,1.79%,2158,2.28%,94721,1
Wilson,8086,70.20%,3187,27.67%,151,1.31%,94,0.82%,11518,1
Winkler,1514,75.17%,477,23.68%,18,0.89%,5,0.25%,2014,1
Wise,11807,73.13%,4016,24.87%,208,1.29%,114,0.71%,16145,1
Wood,10215,74.38%,3308,24.09%,116,0.84%,95,0.69%,13734,1
Yoakum,1988,80.98%,435,17.72%,20,0.81%,12,0.49%,2455,1
Young,5056,74.82%,1623,24.02%,45,0.67%,34,0.50%,6758,1
Zapata,1012,41.36%,1384,56.56%,27,1.10%,24,0.98%,2447,2
Zavala,581,18.17%,2568,80.30%,32,1.00%,17,0.53%,3198,2
Total,4082091,65.04%,2030315,32.35%,72798,1.16%,91448,1.46%,6276652,1
