County,Stevenson,%,Johnson,%,Peddy,%,Myers,%,Clark,%,Collier,%,Davis,%,Cortez,%,Saunders,%,Sledge,%,Alford,%,Total,Winner
Bexar,23471,46.89%,11994,23.96%,6348,12.68%,420,0.84%,592,1.18%,801,1.60%,911,1.82%,3891,7.77%,577,1.15%,730,1.46%,325,0.65%,50060,1
Blanco,194,20.79%,698,74.81%,38,4.07%,1,0.11%,0,0.00%,2,0.21%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,933,2
Borden,99,49.01%,62,30.69%,17,8.42%,2,0.99%,1,0.50%,2,0.99%,0,0.00%,1,0.50%,17,8.42%,1,0.50%,0,0.00%,202,1
Bosque,1685,43.63%,1255,32.50%,663,17.17%,82,2.12%,42,1.09%,40,1.04%,33,0.85%,6,0.16%,18,0.47%,3,0.08%,35,0.91%,3862,1
Bowie,4458,48.57%,2197,23.94%,1837,20.02%,209,2.28%,72,0.78%,102,1.11%,124,1.35%,15,0.16%,125,1.36%,23,0.25%,16,0.17%,9178,1
Brazoria,2054,39.24%,962,18.38%,2037,38.91%,20,0.38%,70,1.34%,2,0.04%,41,0.78%,6,0.11%,10,0.19%,14,0.27%,19,0.36%,5235,1
Brazos,1695,29.13%,1894,32.55%,1621,27.86%,19,0.33%,356,6.12%,78,1.34%,76,1.31%,20,0.34%,11,0.19%,21,0.36%,28,0.48%,5819,2
Brewster,782,47.00%,552,33.17%,160,9.62%,29,1.74%,6,0.36%,17,1.02%,6,0.36%,66,3.97%,31,1.86%,3,0.18%,12,0.72%,1664,1
Briscoe,491,58.38%,212,25.21%,102,12.13%,9,1.07%,1,0.12%,8,0.95%,9,1.07%,2,0.24%,1,0.12%,2,0.24%,4,0.48%,841,1
Brooks,275,23.65%,566,48.67%,118,10.15%,21,1.81%,6,0.52%,0,0.00%,5,0.43%,142,12.21%,5,0.43%,14,1.20%,11,0.95%,1163,2
Brown,3248,48.28%,2154,32.02%,1087,16.16%,52,0.77%,26,0.39%,49,0.73%,54,0.80%,3,0.04%,18,0.27%,12,0.18%,25,0.37%,6728,1
Burleson,679,21.13%,1761,54.81%,623,19.39%,33,1.03%,46,1.43%,15,0.47%,15,0.47%,7,0.22%,8,0.25%,5,0.16%,21,0.65%,3213,2
Burnet,460,17.90%,1970,76.65%,114,4.44%,3,0.12%,2,0.08%,10,0.39%,3,0.12%,0,0.00%,3,0.12%,2,0.08%,3,0.12%,2570,2
Caldwell,901,23.02%,2571,65.69%,320,8.18%,16,0.41%,11,0.28%,6,0.15%,15,0.38%,15,0.38%,10,0.26%,28,0.72%,21,0.54%,3914,2
Calhoun,312,48.45%,106,16.46%,193,29.97%,11,1.71%,5,0.78%,2,0.31%,6,0.93%,1,0.16%,1,0.16%,1,0.16%,6,0.93%,644,1
Callahan,978,39.37%,1048,42.19%,348,14.01%,11,0.44%,8,0.32%,37,1.49%,20,0.81%,10,0.40%,12,0.48%,4,0.16%,8,0.32%,2484,2
Cameron,3424,30.18%,4706,41.48%,1842,16.23%,34,0.30%,47,0.41%,42,0.37%,78,0.69%,1008,8.88%,52,0.46%,45,0.40%,68,0.60%,11346,2
Camp,766,37.22%,543,26.38%,589,28.62%,37,1.80%,4,0.19%,23,1.12%,35,1.70%,13,0.63%,16,0.78%,4,0.19%,28,1.36%,2058,1
Carson,697,56.16%,290,23.37%,180,14.50%,18,1.45%,4,0.32%,9,0.73%,11,0.89%,1,0.08%,9,0.73%,19,1.53%,3,0.24%,1241,1
Cass,1746,44.01%,1131,28.51%,706,17.80%,112,2.82%,68,1.71%,45,1.13%,51,1.29%,5,0.13%,16,0.40%,14,0.35%,73,1.84%,3967,1
Castro,811,54.98%,486,32.95%,110,7.46%,25,1.69%,2,0.14%,14,0.95%,9,0.61%,1,0.07%,4,0.27%,2,0.14%,11,0.75%,1475,1
Chambers,802,43.40%,370,20.02%,521,28.19%,38,2.06%,17,0.92%,19,1.03%,10,0.54%,9,0.49%,23,1.24%,1,0.05%,38,2.06%,1848,1
Cherokee,2614,45.95%,1301,22.87%,1415,24.87%,135,2.37%,27,0.47%,34,0.60%,62,1.09%,11,0.19%,22,0.39%,11,0.19%,57,1.00%,5689,1
Childress,1229,41.70%,1122,38.07%,378,12.83%,27,0.92%,33,1.12%,44,1.49%,43,1.46%,11,0.37%,7,0.24%,37,1.26%,16,0.54%,2947,1
Clay,976,34.89%,1285,45.94%,410,14.66%,28,1.00%,7,0.25%,28,1.00%,13,0.46%,1,0.04%,5,0.18%,13,0.46%,31,1.11%,2797,2
Cochran,644,44.69%,458,31.78%,160,11.10%,58,4.02%,12,0.83%,26,1.80%,28,1.94%,8,0.56%,9,0.62%,7,0.49%,31,2.15%,1441,1
Coke,593,48.49%,511,41.78%,75,6.13%,16,1.31%,5,0.41%,4,0.33%,7,0.57%,2,0.16%,2,0.16%,3,0.25%,5,0.41%,1223,1
Coleman,1818,47.33%,1456,37.91%,388,10.10%,51,1.33%,18,0.47%,27,0.70%,49,1.28%,2,0.05%,11,0.29%,5,0.13%,16,0.42%,3841,1
Collin,2978,42.37%,2063,29.35%,1468,20.89%,58,0.83%,14,0.20%,69,0.98%,162,2.31%,4,0.06%,186,2.65%,11,0.16%,15,0.21%,7028,1
Collingsworth,955,45.15%,781,36.93%,304,14.37%,34,1.61%,3,0.14%,11,0.52%,13,0.61%,0,0.00%,5,0.24%,2,0.09%,7,0.33%,2115,1
Colorado,1106,33.65%,864,26.29%,1162,35.35%,33,1.00%,26,0.79%,27,0.82%,22,0.67%,7,0.21%,9,0.27%,9,0.27%,22,0.67%,3287,3
Comal,1572,53.36%,887,30.11%,373,12.66%,19,0.64%,23,0.78%,5,0.17%,4,0.14%,24,0.81%,5,0.17%,22,0.75%,12,0.41%,2946,1
Comanche,1548,40.67%,1052,27.64%,1093,28.72%,41,1.08%,15,0.39%,23,0.60%,15,0.39%,4,0.11%,7,0.18%,1,0.03%,7,0.18%,3806,1
Concho,578,43.04%,663,49.37%,68,5.06%,8,0.60%,5,0.37%,3,0.22%,8,0.60%,4,0.30%,2,0.15%,2,0.15%,2,0.15%,1343,2
Cooke,2633,54.48%,1041,21.54%,852,17.63%,111,2.30%,19,0.39%,42,0.87%,57,1.18%,10,0.21%,17,0.35%,11,0.23%,40,0.83%,4833,1
Coryell,1198,36.75%,1467,45.00%,499,15.31%,14,0.43%,10,0.31%,28,0.86%,17,0.52%,1,0.03%,3,0.09%,8,0.25%,15,0.46%,3260,2
Cottle,721,43.75%,622,37.74%,185,11.23%,36,2.18%,10,0.61%,16,0.97%,21,1.27%,4,0.24%,9,0.55%,7,0.42%,17,1.03%,1648,1
Crane,596,49.30%,412,34.08%,100,8.27%,42,3.47%,14,1.16%,10,0.83%,11,0.91%,1,0.08%,4,0.33%,5,0.41%,14,1.16%,1209,1
Crockett,391,63.06%,176,28.39%,27,4.35%,1,0.16%,1,0.16%,6,0.97%,7,1.13%,7,1.13%,2,0.32%,1,0.16%,1,0.16%,620,1
Crosby,686,30.30%,1211,53.49%,282,12.46%,27,1.19%,9,0.40%,8,0.35%,15,0.66%,1,0.04%,4,0.18%,5,0.22%,16,0.71%,2264,2
Culberson,208,52.66%,121,30.63%,25,6.33%,13,3.29%,5,1.27%,2,0.51%,2,0.51%,13,3.29%,3,0.76%,2,0.51%,1,0.25%,395,1
Dallam,935,62.67%,341,22.86%,84,5.63%,19,1.27%,7,0.47%,71,4.76%,13,0.87%,5,0.34%,6,0.40%,4,0.27%,7,0.47%,1492,1
Dallas,29928,42.20%,21682,30.57%,14436,20.35%,978,1.38%,274,0.39%,769,1.08%,637,0.90%,128,0.18%,350,0.49%,1559,2.20%,184,0.26%,70925,1
Dawson,1425,39.00%,1502,41.11%,442,12.10%,27,0.74%,8,0.22%,118,3.23%,60,1.64%,12,0.33%,11,0.30%,5,0.14%,44,1.20%,3654,2
Deaf Smith,1187,62.74%,416,21.99%,234,12.37%,14,0.74%,4,0.21%,13,0.69%,4,0.21%,3,0.16%,3,0.16%,5,0.26%,9,0.48%,1892,1
Delta,1159,39.97%,917,31.62%,595,20.52%,64,2.21%,15,0.52%,36,1.24%,33,1.14%,21,0.72%,28,0.97%,18,0.62%,14,0.48%,2900,1
Denton,3582,48.77%,1897,25.83%,1442,19.64%,68,0.93%,32,0.44%,84,1.14%,123,1.67%,2,0.03%,19,0.26%,20,0.27%,75,1.02%,7344,1
DeWitt,1869,48.97%,1052,27.56%,697,18.26%,69,1.81%,9,0.24%,10,0.26%,13,0.34%,21,0.55%,13,0.34%,41,1.07%,23,0.60%,3817,1
Dickens,544,37.11%,664,45.29%,171,11.66%,30,2.05%,7,0.48%,10,0.68%,17,1.16%,3,0.20%,6,0.41%,3,0.20%,11,0.75%,1466,2
Dimmit,565,42.10%,445,33.16%,206,15.35%,5,0.37%,8,0.60%,5,0.37%,8,0.60%,77,5.74%,10,0.75%,8,0.60%,5,0.37%,1342,1
Donley,897,50.68%,498,28.14%,300,16.95%,22,1.24%,3,0.17%,15,0.85%,13,0.73%,0,0.00%,2,0.11%,8,0.45%,12,0.68%,1770,1
Duval,66,1.73%,3707,97.30%,20,0.52%,1,0.03%,0,0.00%,0,0.00%,12,0.31%,1,0.03%,1,0.03%,0,0.00%,2,0.05%,3810,2
Eastland,2624,39.98%,2271,34.60%,1321,20.12%,59,0.90%,28,0.43%,92,1.40%,62,0.94%,13,0.20%,29,0.44%,41,0.62%,24,0.37%,6564,1
Ector,2556,49.47%,1915,37.06%,347,6.72%,118,2.28%,40,0.77%,55,1.06%,40,0.77%,19,0.37%,13,0.25%,19,0.37%,45,0.87%,5167,1
Edwards,475,57.72%,208,25.27%,114,13.85%,11,1.34%,5,0.61%,2,0.24%,2,0.24%,0,0.00%,1,0.12%,2,0.24%,3,0.36%,823,1
Ellis,2999,40.54%,2214,29.93%,1843,24.91%,74,1.00%,51,0.69%,102,1.38%,51,0.69%,26,0.35%,21,0.28%,6,0.08%,11,0.15%,7398,1
El Paso,6427,39.29%,5729,35.02%,1580,9.66%,347,2.12%,187,1.14%,248,1.52%,140,0.86%,825,5.04%,236,1.44%,111,0.68%,527,3.22%,16357,1
Erath,2149,41.73%,1480,28.74%,1132,21.98%,129,2.50%,39,0.76%,84,1.63%,70,1.36%,9,0.17%,13,0.25%,10,0.19%,35,0.68%,5150,1
Falls,1809,39.48%,1433,31.27%,992,21.65%,114,2.49%,56,1.22%,47,1.03%,49,1.07%,15,0.33%,23,0.50%,11,0.24%,33,0.72%,4582,1
Fannin,3366,37.00%,3589,39.45%,1532,16.84%,97,1.07%,51,0.56%,120,1.32%,122,1.34%,37,0.41%,74,0.81%,17,0.19%,92,1.01%,9097,2
Fayette,1956,34.09%,2102,36.64%,1145,19.96%,117,2.04%,63,1.10%,28,0.49%,29,0.51%,14,0.24%,198,3.45%,20,0.35%,65,1.13%,5737,2
Fisher,939,33.94%,1216,43.95%,444,16.05%,47,1.70%,13,0.47%,37,1.34%,33,1.19%,3,0.11%,10,0.36%,3,0.11%,22,0.80%,2767,2
Floyd,1368,47.52%,1004,34.87%,352,12.23%,33,1.15%,18,0.63%,22,0.76%,38,1.32%,2,0.07%,16,0.56%,6,0.21%,20,0.69%,2879,1
Foard,500,52.08%,280,29.17%,102,10.63%,16,1.67%,5,0.52%,29,3.02%,8,0.83%,4,0.42%,3,0.31%,0,0.00%,13,1.35%,960,1
Fort Bend,720,27.94%,690,26.78%,1021,39.62%,17,0.66%,71,2.76%,10,0.39%,8,0.31%,4,0.16%,11,0.43%,8,0.31%,17,0.66%,2577,3
Franklin,824,36.54%,668,29.62%,528,23.41%,60,2.66%,16,0.71%,45,2.00%,47,2.08%,10,0.44%,27,1.20%,2,0.09%,28,1.24%,2255,1
Freestone,1743,42.38%,1068,25.97%,991,24.09%,103,2.50%,33,0.80%,33,0.80%,49,1.19%,5,0.12%,11,0.27%,22,0.53%,55,1.34%,4113,1
Frio,741,44.50%,587,35.26%,180,10.81%,4,0.24%,1,0.06%,13,0.78%,25,1.50%,99,5.95%,7,0.42%,6,0.36%,2,0.12%,1665,1
Gaines,1063,51.78%,598,29.13%,189,9.21%,55,2.68%,27,1.32%,33,1.61%,28,1.36%,7,0.34%,13,0.63%,10,0.49%,30,1.46%,2053,1
Galveston,8621,57.84%,3149,21.13%,2115,14.19%,71,0.48%,137,0.92%,126,0.85%,219,1.47%,112,0.75%,85,0.57%,101,0.68%,168,1.13%,14904,1
Garza,734,50.27%,384,26.30%,217,14.86%,38,2.60%,11,0.75%,20,1.37%,17,1.16%,13,0.89%,8,0.55%,5,0.34%,13,0.89%,1460,1
Gillespie,762,61.25%,262,21.06%,217,17.44%,2,0.16%,0,0.00%,0,0.00%,1,0.08%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1244,1
Glasscock,198,60.55%,97,29.66%,17,5.20%,5,1.53%,0,0.00%,0,0.00%,5,1.53%,0,0.00%,0,0.00%,3,0.92%,2,0.61%,327,1
Goliad,626,54.72%,221,19.32%,214,18.71%,26,2.27%,8,0.70%,2,0.17%,12,1.05%,6,0.52%,6,0.52%,10,0.87%,13,1.14%,1144,1
Gonzales,2077,48.91%,1364,32.12%,622,14.65%,46,1.08%,21,0.49%,12,0.28%,19,0.45%,25,0.59%,10,0.24%,22,0.52%,29,0.68%,4247,1
Gray,2714,57.29%,1022,21.57%,661,13.95%,102,2.15%,29,0.61%,36,0.76%,52,1.10%,31,0.65%,31,0.65%,20,0.42%,39,0.82%,4737,1
Grayson,5763,45.09%,4153,32.49%,2079,16.27%,340,2.66%,61,0.48%,93,0.73%,127,0.99%,21,0.16%,37,0.29%,29,0.23%,79,0.62%,12782,1
Gregg,3591,37.56%,3958,41.40%,1321,13.82%,203,2.12%,42,0.44%,72,0.75%,205,2.14%,21,0.22%,33,0.35%,76,0.79%,38,0.40%,9560,2
Grimes,650,35.23%,394,21.36%,713,38.64%,13,0.70%,28,1.52%,6,0.33%,14,0.76%,3,0.16%,5,0.27%,8,0.43%,11,0.60%,1845,3
Guadalupe,773,54.59%,488,34.46%,121,8.55%,0,0.00%,4,0.28%,9,0.64%,3,0.21%,7,0.49%,2,0.14%,6,0.42%,3,0.21%,1416,1
Hale,2654,50.98%,1453,27.91%,842,16.17%,70,1.34%,17,0.33%,49,0.94%,40,0.77%,7,0.13%,20,0.38%,7,0.13%,47,0.90%,5206,1
Hall,1090,42.36%,959,37.27%,384,14.92%,44,1.71%,18,0.70%,18,0.70%,22,0.86%,4,0.16%,8,0.31%,4,0.16%,22,0.86%,2573,1
Hamilton,1362,47.64%,768,26.86%,554,19.38%,63,2.20%,19,0.66%,35,1.22%,18,0.63%,3,0.10%,13,0.45%,8,0.28%,16,0.56%,2859,1
Hansford,425,58.06%,97,13.25%,175,23.91%,11,1.50%,2,0.27%,4,0.55%,7,0.96%,1,0.14%,2,0.27%,3,0.41%,5,0.68%,732,1
Hardeman,677,39.04%,633,36.51%,308,17.76%,40,2.31%,7,0.40%,36,2.08%,13,0.75%,2,0.12%,8,0.46%,3,0.17%,7,0.40%,1734,1
Hardin,1368,36.53%,1118,29.85%,857,22.88%,71,1.90%,28,0.75%,90,2.40%,38,1.01%,11,0.29%,55,1.47%,20,0.53%,89,2.38%,3745,1
Harris,31477,31.28%,21400,21.26%,44289,44.01%,454,0.45%,234,0.23%,418,0.42%,402,0.40%,199,0.20%,267,0.27%,303,0.30%,1198,1.19%,100641,3
Harrison,2593,38.43%,2640,39.13%,1162,17.22%,173,2.56%,26,0.39%,16,0.24%,39,0.58%,18,0.27%,18,0.27%,7,0.10%,55,0.82%,6747,2
Hartley,277,68.56%,84,20.79%,15,3.71%,11,2.72%,2,0.50%,10,2.48%,2,0.50%,0,0.00%,0,0.00%,0,0.00%,3,0.74%,404,1
Haskell,1264,35.19%,1406,39.14%,651,18.12%,58,1.61%,18,0.50%,30,0.84%,56,1.56%,27,0.75%,38,1.06%,11,0.31%,33,0.92%,3592,2
Hays,578,17.08%,2583,76.31%,158,4.67%,7,0.21%,0,0.00%,10,0.30%,3,0.09%,11,0.32%,6,0.18%,27,0.80%,2,0.06%,3385,2
Hemphill,492,46.72%,369,35.04%,88,8.36%,5,0.47%,5,0.47%,9,0.85%,64,6.08%,2,0.19%,9,0.85%,2,0.19%,8,0.76%,1053,1
Henderson,2531,37.38%,2001,29.55%,1822,26.91%,51,0.75%,46,0.68%,45,0.66%,142,2.10%,13,0.19%,36,0.53%,53,0.78%,31,0.46%,6771,1
Hidalgo,4378,32.94%,5392,40.57%,1710,12.87%,354,2.66%,80,0.60%,62,0.47%,89,0.67%,1010,7.60%,37,0.28%,38,0.29%,139,1.05%,13289,2
Hill,2470,36.05%,2453,35.80%,1573,22.96%,110,1.61%,44,0.64%,40,0.58%,65,0.95%,20,0.29%,15,0.22%,19,0.28%,42,0.61%,6851,1
Hockley,1310,36.95%,1689,47.64%,280,7.90%,84,2.37%,35,0.99%,36,1.02%,52,1.47%,11,0.31%,15,0.42%,10,0.28%,23,0.65%,3545,2
Hood,1018,46.55%,487,22.27%,465,21.26%,86,3.93%,20,0.91%,35,1.60%,24,1.10%,4,0.18%,14,0.64%,16,0.73%,18,0.82%,2187,1
Hopkins,2779,44.67%,1792,28.81%,1287,20.69%,28,0.45%,25,0.40%,51,0.82%,121,1.95%,10,0.16%,58,0.93%,33,0.53%,37,0.59%,6221,1
Houston,1740,38.37%,904,19.93%,1604,35.37%,70,1.54%,27,0.60%,34,0.75%,55,1.21%,11,0.24%,27,0.60%,6,0.13%,57,1.26%,4535,1
Howard,2439,62.84%,1048,27.00%,144,3.71%,84,2.16%,22,0.57%,37,0.95%,31,0.80%,23,0.59%,10,0.26%,14,0.36%,29,0.75%,3881,1
Hudspeth,223,43.64%,186,36.40%,44,8.61%,21,4.11%,2,0.39%,3,0.59%,5,0.98%,11,2.15%,7,1.37%,2,0.39%,7,1.37%,511,1
Hunt,3184,46.68%,1703,24.97%,1437,21.07%,152,2.23%,42,0.62%,65,0.95%,70,1.03%,13,0.19%,92,1.35%,14,0.21%,49,0.72%,6821,1
Hutchinson,2339,47.07%,1389,27.95%,420,8.45%,72,1.45%,23,0.46%,39,0.78%,34,0.68%,14,0.28%,13,0.26%,591,11.89%,35,0.70%,4969,1
Irion,289,50.88%,214,37.68%,39,6.87%,5,0.88%,4,0.70%,3,0.53%,3,0.53%,0,0.00%,8,1.41%,0,0.00%,3,0.53%,568,1
Jack,841,36.42%,902,39.06%,428,18.54%,64,2.77%,9,0.39%,14,0.61%,10,0.43%,3,0.13%,11,0.48%,1,0.04%,26,1.13%,2309,2
Jackson,437,23.62%,547,29.57%,815,44.05%,3,0.16%,11,0.59%,2,0.11%,6,0.32%,6,0.32%,4,0.22%,0,0.00%,19,1.03%,1850,3
Jasper,1361,38.59%,608,17.24%,1163,32.97%,122,3.46%,26,0.74%,25,0.71%,37,1.05%,14,0.40%,125,3.54%,4,0.11%,42,1.19%,3527,1
Jeff Davis,197,50.00%,97,24.62%,67,17.01%,1,0.25%,3,0.76%,4,1.02%,2,0.51%,16,4.06%,1,0.25%,1,0.25%,5,1.27%,394,1
Jefferson,9075,34.20%,9701,36.56%,3794,14.30%,237,0.89%,119,0.45%,2431,9.16%,182,0.69%,81,0.31%,457,1.72%,240,0.90%,221,0.83%,26538,2
Jim Hogg,266,39.12%,312,45.88%,43,6.32%,10,1.47%,3,0.44%,0,0.00%,1,0.15%,36,5.29%,0,0.00%,2,0.29%,7,1.03%,680,2
Jim Wells,1357,32.72%,1881,45.36%,543,13.09%,21,0.51%,22,0.53%,20,0.48%,14,0.34%,245,5.91%,11,0.27%,7,0.17%,26,0.63%,4147,2
Johnson,2457,47.53%,1565,30.28%,842,16.29%,59,1.14%,31,0.60%,86,1.66%,57,1.10%,26,0.50%,13,0.25%,18,0.35%,15,0.29%,5169,1
Jones,1614,36.90%,2078,47.51%,484,11.07%,60,1.37%,13,0.30%,32,0.73%,43,0.98%,5,0.11%,9,0.21%,11,0.25%,25,0.57%,4374,2
Karnes,1240,34.96%,1578,44.49%,456,12.86%,69,1.95%,22,0.62%,31,0.87%,14,0.39%,94,2.65%,9,0.25%,13,0.37%,21,0.59%,3547,2
Kaufman,2738,44.80%,1796,29.38%,1168,19.11%,47,0.77%,27,0.44%,74,1.21%,148,2.42%,13,0.21%,35,0.57%,45,0.74%,21,0.34%,6112,1
Kendall,213,51.82%,131,31.87%,62,15.09%,1,0.24%,1,0.24%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.24%,2,0.49%,411,1
Kenedy,46,68.66%,7,10.45%,7,10.45%,6,8.96%,0,0.00%,1,1.49%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,67,1
Kent,213,35.74%,278,46.64%,51,8.56%,18,3.02%,5,0.84%,6,1.01%,8,1.34%,4,0.67%,3,0.50%,0,0.00%,10,1.68%,596,2
Kerr,1824,52.11%,1224,34.97%,335,9.57%,32,0.91%,6,0.17%,6,0.17%,16,0.46%,25,0.71%,3,0.09%,6,0.17%,23,0.66%,3500,1
Kimble,1201,69.99%,418,24.36%,69,4.02%,7,0.41%,4,0.23%,0,0.00%,5,0.29%,6,0.35%,1,0.06%,2,0.12%,3,0.17%,1716,1
King,101,35.44%,119,41.75%,28,9.82%,11,3.86%,1,0.35%,5,1.75%,10,3.51%,0,0.00%,2,0.70%,2,0.70%,6,2.11%,285,2
Kinney,131,57.71%,61,26.87%,3,1.32%,1,0.44%,0,0.00%,1,0.44%,3,1.32%,23,10.13%,1,0.44%,1,0.44%,2,0.88%,227,1
Kleberg,1380,40.68%,1039,30.63%,560,16.51%,29,0.85%,12,0.35%,26,0.77%,13,0.38%,281,8.28%,18,0.53%,18,0.53%,16,0.47%,3392,1
Knox,873,38.02%,923,40.20%,322,14.02%,43,1.87%,12,0.52%,84,3.66%,9,0.39%,5,0.22%,7,0.30%,5,0.22%,13,0.57%,2296,2
Lamar,3900,45.62%,2795,32.70%,979,11.45%,379,4.43%,65,0.76%,99,1.16%,101,1.18%,39,0.46%,87,1.02%,15,0.18%,89,1.04%,8548,1
Lamb,1531,42.25%,1462,40.34%,345,9.52%,79,2.18%,13,0.36%,27,0.75%,40,1.10%,14,0.39%,68,1.88%,11,0.30%,34,0.94%,3624,1
Lampasas,823,38.86%,946,44.66%,287,13.55%,27,1.27%,3,0.14%,14,0.66%,7,0.33%,0,0.00%,6,0.28%,3,0.14%,2,0.09%,2118,2
La Salle,358,36.02%,514,51.71%,86,8.65%,3,0.30%,3,0.30%,0,0.00%,1,0.10%,24,2.41%,2,0.20%,1,0.10%,2,0.20%,994,2
Lavaca,1863,38.38%,1293,26.64%,1189,24.50%,30,0.62%,272,5.60%,5,0.10%,106,2.18%,7,0.14%,10,0.21%,32,0.66%,47,0.97%,4854,1
Lee,800,28.07%,1730,60.70%,259,9.09%,3,0.11%,14,0.49%,3,0.11%,6,0.21%,2,0.07%,5,0.18%,17,0.60%,11,0.39%,2850,2
Leon,875,38.41%,649,28.49%,655,28.75%,26,1.14%,21,0.92%,24,1.05%,11,0.48%,1,0.04%,7,0.31%,2,0.09%,7,0.31%,2278,1
Liberty,1799,34.79%,671,12.98%,2318,44.83%,84,1.62%,45,0.87%,27,0.52%,62,1.20%,11,0.21%,28,0.54%,17,0.33%,109,2.11%,5171,3
Limestone,1991,35.66%,1993,35.69%,1266,22.67%,89,1.59%,24,0.43%,59,1.06%,52,0.93%,11,0.20%,14,0.25%,21,0.38%,64,1.15%,5584,2
Lipscomb,372,60.59%,178,28.99%,25,4.07%,2,0.33%,4,0.65%,5,0.81%,9,1.47%,9,1.47%,1,0.16%,5,0.81%,4,0.65%,614,1
Live Oak,861,45.56%,539,28.52%,339,17.94%,43,2.28%,11,0.58%,7,0.37%,14,0.74%,41,2.17%,9,0.48%,6,0.32%,20,1.06%,1890,1
Llano,657,33.55%,1090,55.67%,183,9.35%,3,0.15%,7,0.36%,2,0.10%,8,0.41%,0,0.00%,3,0.15%,4,0.20%,1,0.05%,1958,2
Loving,49,63.64%,14,18.18%,4,5.19%,6,7.79%,2,2.60%,0,0.00%,1,1.30%,0,0.00%,0,0.00%,0,0.00%,1,1.30%,77,1
Lubbock,4193,34.07%,6285,51.07%,1375,11.17%,141,1.15%,37,0.30%,77,0.63%,77,0.63%,18,0.15%,17,0.14%,14,0.11%,73,0.59%,12307,2
Lynn,1173,41.88%,1069,38.16%,378,13.50%,69,2.46%,13,0.46%,24,0.86%,34,1.21%,6,0.21%,19,0.68%,4,0.14%,12,0.43%,2801,1
Madison,626,36.95%,356,21.02%,564,33.29%,25,1.48%,36,2.13%,14,0.83%,27,1.59%,4,0.24%,10,0.59%,6,0.35%,26,1.53%,1694,1
Marion,529,32.78%,790,48.95%,155,9.60%,57,3.53%,12,0.74%,1,0.06%,9,0.56%,11,0.68%,9,0.56%,13,0.81%,28,1.73%,1614,2
Martin,587,45.33%,441,34.05%,156,12.05%,45,3.47%,8,0.62%,19,1.47%,17,1.31%,1,0.08%,8,0.62%,4,0.31%,9,0.69%,1295,1
