County,Daniel (R),%,Daniel (D),%,Total,Winner
Throckmorton,100,8.42%,1087,91.58%,1187,2
Titus,470,10.60%,3964,89.40%,4434,2
Tom Green,3015,20.54%,11665,79.46%,14680,2
Travis,8463,23.48%,27587,76.52%,36050,2
Trinity,194,7.41%,2425,92.59%,2619,2
Tyler,261,9.85%,2389,90.15%,2650,2
Upshur,625,12.63%,4325,87.37%,4950,2
Upton,234,14.16%,1418,85.84%,1652,2
Uvalde,1357,35.37%,2480,64.63%,3837,2
Val Verde,691,22.15%,2429,77.85%,3120,2
Van Zandt,504,9.56%,4770,90.44%,5274,2
Victoria,1162,16.39%,5929,83.61%,7091,2
Walker,341,8.96%,3463,91.04%,3804,2
Waller,416,16.12%,2165,83.88%,2581,2
Ward,286,9.06%,2872,90.94%,3158,2
Washington,559,11.34%,4372,88.66%,4931,2
Webb,518,5.71%,8551,94.29%,9069,2
Wharton,1650,18.73%,7158,81.27%,8808,2
Wheeler,506,17.19%,2438,82.81%,2944,2
Wichita,3432,16.31%,17609,83.69%,21041,2
Wilbarger,324,6.41%,4727,93.59%,5051,2
Willacy,512,14.56%,3004,85.44%,3516,2
Williamson,954,12.71%,6550,87.29%,7504,2
Wilson,518,12.62%,3588,87.38%,4106,2
Winkler,276,10.34%,2393,89.66%,2669,2
Wise,598,12.53%,4175,87.47%,4773,2
Wood,770,14.44%,4564,85.56%,5334,2
Yoakum,204,13.57%,1299,86.43%,1503,2
Young,890,20.57%,3436,79.43%,4326,2
Zapata,522,40.56%,765,59.44%,1287,2
Zavala,275,16.32%,1410,83.68%,1685,2
Total,469599,24.71%,1431007,75.29%,1900606,
