County,Bush,%,Bentsen,%,Total,Winner
Fayette,1981,42.94%,2632,57.06%,4613,2
Fisher,325,20.10%,1292,79.90%,1617,2
Floyd,977,37.28%,1644,62.72%,2621,2
Foard,154,21.88%,550,78.13%,704,2
Fort Bend,4384,49.68%,4441,50.32%,8825,2
Franklin,301,20.66%,1156,79.34%,1457,2
Freestone,768,28.52%,1925,71.48%,2693,2
Frio,463,27.22%,1238,72.78%,1701,2
Gaines,881,38.93%,1382,61.07%,2263,2
Galveston,16678,45.80%,19736,54.20%,36414,2
Garza,465,36.02%,826,63.98%,1291,2
Gillespie,1736,60.13%,1151,39.87%,2887,1
Glasscock,120,39.47%,184,60.53%,304,2
Goliad,496,40.46%,730,59.54%,1226,2
Gonzales,1009,33.09%,2040,66.91%,3049,2
Gray,4490,57.25%,3353,42.75%,7843,1
Grayson,5675,35.78%,10188,64.22%,15863,2
Gregg,8545,55.82%,6762,44.18%,15307,1
Grimes,1014,40.53%,1488,59.47%,2502,2
Guadalupe,3430,46.20%,3995,53.80%,7425,2
Hale,3301,47.14%,3701,52.86%,7002,2
Hall,486,29.08%,1185,70.92%,1671,2
Hamilton,776,37.96%,1268,62.04%,2044,2
Hansford,869,58.36%,620,41.64%,1489,1
Hardeman,559,30.01%,1304,69.99%,1863,2
Hardin,1899,32.61%,3924,67.39%,5823,2
Harris,215750,60.24%,142400,39.76%,358150,1
Harrison,4213,41.80%,5866,58.20%,10079,2
Hartley,388,42.92%,516,57.08%,904,2
Haskell,412,17.49%,1943,82.51%,2355,2
Hays,2111,45.26%,2553,54.74%,4664,2
Hemphill,567,55.10%,462,44.90%,1029,1
Henderson,2010,35.42%,3665,64.58%,5675,2
Hidalgo,12486,40.32%,18478,59.68%,30964,2
Hill,1396,28.67%,3474,71.33%,4870,2
Hockley,1573,36.28%,2763,63.72%,4336,2
Hood,435,26.64%,1198,73.36%,1633,2
Hopkins,1294,27.83%,3356,72.17%,4650,2
Houston,1242,28.66%,3091,71.34%,4333,2
Howard,2883,40.39%,4255,59.61%,7138,2
Hudspeth,120,20.80%,457,79.20%,577,2
Hunt,3573,38.14%,5796,61.86%,9369,2
Hutchinson,3688,53.15%,3251,46.85%,6939,1
Irion,161,45.61%,192,54.39%,353,2
Jack,748,36.12%,1323,63.88%,2071,2
Jackson,1344,41.16%,1921,58.84%,3265,2
Jasper,1580,37.18%,2670,62.82%,4250,2
Jeff Davis,157,41.87%,218,58.13%,375,2
Jefferson,23871,45.59%,28491,54.41%,52362,2
Jim Hogg,402,28.01%,1033,71.99%,1435,2
Jim Wells,2184,31.80%,4685,68.20%,6869,2
Johnson,3598,40.13%,5368,59.87%,8966,2
Jones,955,29.46%,2287,70.54%,3242,2
Karnes,874,29.16%,2123,70.84%,2997,2
Kaufman,1838,32.53%,3813,67.47%,5651,2
Kendall,1281,65.63%,671,34.38%,1952,1
Kenedy,27,17.31%,129,82.69%,156,2
Kent,92,18.18%,414,81.82%,506,2
Kerr,2930,55.41%,2358,44.59%,5288,1
Kimble,374,36.42%,653,63.58%,1027,2
King,25,15.34%,138,84.66%,163,2
Kinney,131,21.34%,483,78.66%,614,2
Kleberg,2195,38.21%,3550,61.79%,5745,2
Knox,333,19.17%,1404,80.83%,1737,2
La Salle,265,22.36%,920,77.64%,1185,2
Lamar,2665,35.18%,4910,64.82%,7575,2
Lamb,1774,43.56%,2299,56.44%,4073,2
Lampasas,644,32.64%,1329,67.36%,1973,2
Lavaca,1308,35.42%,2385,64.58%,3693,2
Lee,745,36.43%,1300,63.57%,2045,2
Leon,519,24.15%,1630,75.85%,2149,2
Liberty,2625,43.24%,3446,56.76%,6071,2
Limestone,1095,27.87%,2834,72.13%,3929,2
Lipscomb,785,58.15%,565,41.85%,1350,1
Live Oak,692,35.54%,1255,64.46%,1947,2
Llano,1055,45.30%,1274,54.70%,2329,2
Loving,24,34.78%,45,65.22%,69,2
Lubbock,18043,52.06%,16617,47.94%,34660,1
Lynn,626,32.45%,1303,67.55%,1929,2
Madison,630,38.89%,990,61.11%,1620,2
Marion,632,35.71%,1138,64.29%,1770,2
Martin,333,35.50%,605,64.50%,938,2
Mason,568,49.13%,588,50.87%,1156,2
Matagorda,2591,44.66%,3211,55.34%,5802,2
Maverick,482,26.11%,1364,73.89%,1846,2
McCulloch,624,30.19%,1443,69.81%,2067,2
McLennan,12125,36.61%,20996,63.39%,33121,2
McMullen,135,37.19%,228,62.81%,363,2
Medina,1313,36.75%,2260,63.25%,3573,2
Menard,316,38.87%,497,61.13%,813,2
Midland,10503,64.54%,5770,35.46%,16273,1
Milam,1313,29.36%,3159,70.64%,4472,2
Mills,383,32.85%,783,67.15%,1166,2
Mitchell,596,29.00%,1459,71.00%,2055,2
Montague,1187,31.06%,2635,68.94%,3822,2
Montgomery,5706,51.85%,5298,48.15%,11004,1
Moore,1659,47.25%,1852,52.75%,3511,2
Morris,825,29.07%,2013,70.93%,2838,2
Motley,305,41.78%,425,58.22%,730,2
Nacogdoches,2368,37.04%,4025,62.96%,6393,2
Navarro,2059,28.96%,5051,71.04%,7110,2
Newton,576,24.81%,1746,75.19%,2322,2
Nolan,1221,31.66%,2635,68.34%,3856,2
Nueces,16332,39.90%,24596,60.10%,40928,2
Ochiltree,1351,58.82%,946,41.18%,2297,1
Oldham,278,43.99%,354,56.01%,632,2
Orange,5620,40.82%,8149,59.18%,13769,2
Palo Pinto,1984,33.29%,3976,66.71%,5960,2
Panola,1357,34.43%,2584,65.57%,3941,2
Parker,2716,35.55%,4925,64.45%,7641,2
Parmer,1013,46.70%,1156,53.30%,2169,2
Pecos,1151,39.43%,1768,60.57%,2919,2
Polk,959,32.07%,2031,67.93%,2990,2
Potter,9405,51.28%,8937,48.72%,18342,1
Presidio,346,24.03%,1094,75.97%,1440,2
Rains,248,26.02%,705,73.98%,953,2
Randall,8434,60.28%,5558,39.72%,13992,1
Reagan,304,36.71%,524,63.29%,828,2
Real,188,39.50%,288,60.50%,476,2
Red River,750,19.48%,3100,80.52%,3850,2
Reeves,907,37.45%,1515,62.55%,2422,2
Refugio,771,36.68%,1331,63.32%,2102,2
Roberts,257,54.45%,215,45.55%,472,1
Robertson,796,23.37%,2610,76.63%,3406,2
Rockwall,606,32.77%,1243,67.23%,1849,2
Runnels,995,36.34%,1743,63.66%,2738,2
Rusk,3247,41.86%,4510,58.14%,7757,2
Sabine,400,22.33%,1391,77.67%,1791,2
San Augustine,365,25.83%,1048,74.17%,1413,2
San Jacinto,495,34.83%,926,65.17%,1421,2
San Patricio,2576,31.59%,5579,68.41%,8155,2
San Saba,384,26.32%,1075,73.68%,1459,2
Schleicher,281,40.61%,411,59.39%,692,2
Scurry,1273,35.13%,2351,64.87%,3624,2
Shackelford,370,35.65%,668,64.35%,1038,2
Shelby,947,23.85%,3023,76.15%,3970,2
Sherman,434,53.91%,371,46.09%,805,1
Smith,11536,52.17%,10576,47.83%,22112,1
Somervell,186,29.67%,441,70.33%,627,2
Starr,2215,40.12%,3306,59.88%,5521,2
Stephens,885,40.21%,1316,59.79%,2201,2
Sterling,103,32.39%,215,67.61%,318,2
Stonewall,152,16.81%,752,83.19%,904,2
Sutton,261,44.69%,323,55.31%,584,2
Swisher,695,28.81%,1717,71.19%,2412,2
Tarrant,66698,49.86%,67073,50.14%,133771,2
Taylor,7783,43.24%,10217,56.76%,18000,2
Terrell,211,51.72%,197,48.28%,408,1
Terry,1206,40.76%,1753,59.24%,2959,2
Throckmorton,222,26.00%,632,74.00%,854,2
Titus,1149,29.07%,2804,70.93%,3953,2
Tom Green,6724,49.46%,6872,50.54%,13596,2
Travis,35189,51.79%,32754,48.21%,67943,1
Trinity,579,32.99%,1176,67.01%,1755,2
Tyler,1129,38.04%,1839,61.96%,2968,2
Upshur,1712,33.46%,3404,66.54%,5116,2
Upton,521,42.64%,701,57.36%,1222,2
Uvalde,1372,41.73%,1916,58.27%,3288,2
Val Verde,1161,28.18%,2959,71.82%,4120,2
Van Zandt,1570,33.33%,3140,66.67%,4710,2
Victoria,4810,43.17%,6331,56.83%,11141,2
Walker,1979,48.46%,2105,51.54%,4084,2
Waller,950,40.02%,1424,59.98%,2374,2
Ward,1158,37.00%,1972,63.00%,3130,2
Washington,2097,50.66%,2042,49.34%,4139,1
Webb,2228,24.18%,6985,75.82%,9213,2
Wharton,3179,45.30%,3839,54.70%,7018,2
Wheeler,830,44.50%,1035,55.50%,1865,2
Wichita,10032,36.80%,17227,63.20%,27259,2
Wilbarger,1173,29.32%,2828,70.68%,4001,2
Willacy,974,32.46%,2027,67.54%,3001,2
Williamson,2195,32.32%,4597,67.68%,6792,2
Wilson,779,26.16%,2199,73.84%,2978,2
Winkler,1251,43.60%,1618,56.40%,2869,2
Wise,1474,33.65%,2907,66.35%,4381,2
Wood,1690,36.38%,2956,63.62%,4646,2
Yoakum,807,47.41%,895,52.59%,1702,2
Young,1374,33.35%,2746,66.65%,4120,2
Zapata,433,37.33%,727,62.67%,1160,2
Zavala,504,30.77%,1134,69.23%,1638,2
Total,1036044,46.46%,1193802,53.54%,2229846,
