County,Lawson,%,O'Daniel,%,Somerville,%,Total,Winner
Reagan,6,2.63%,222,97.37%,0,0.00%,228,2
Real,10,5.62%,167,93.82%,1,0.56%,178,2
Red River,11,1.06%,1027,98.85%,1,0.10%,1039,2
Reeves,11,4.68%,224,95.32%,0,0.00%,235,2
Refugio,22,3.66%,574,95.51%,5,0.83%,601,2
Roberts,6,6.00%,92,92.00%,2,2.00%,100,2
Robertson,6,0.77%,770,99.23%,0,0.00%,776,2
Rockwall,7,1.04%,661,98.66%,2,0.30%,670,2
Runnels,26,3.22%,782,96.78%,0,0.00%,808,2
Rusk,53,2.46%,2101,97.49%,1,0.05%,2155,2
Sabine,2,0.46%,433,99.31%,1,0.23%,436,2
San Augustine,6,0.93%,640,98.92%,1,0.15%,647,2
San Jacinto,3,1.20%,247,98.80%,0,0.00%,250,2
San Patricio,42,5.16%,761,93.49%,11,1.35%,814,2
San Saba,12,1.81%,651,98.19%,0,0.00%,663,2
Schleicher,0,0.00%,179,100.00%,0,0.00%,179,2
Scurry,11,1.21%,899,98.79%,0,0.00%,910,2
Shackelford,12,2.79%,414,96.28%,4,0.93%,430,2
Shelby,22,2.10%,1024,97.90%,0,0.00%,1046,2
Sherman,8,7.69%,96,92.31%,0,0.00%,104,2
Smith,82,2.99%,2655,96.76%,7,0.26%,2744,2
Somervell,3,0.60%,493,99.00%,2,0.40%,498,2
Starr,0,0.00%,617,100.00%,0,0.00%,617,2
Stephens,12,1.22%,974,98.78%,0,0.00%,986,2
Sterling,4,3.17%,122,96.83%,0,0.00%,126,2
Stonewall,1,0.30%,327,99.09%,2,0.61%,330,2
Sutton,10,6.71%,139,93.29%,0,0.00%,149,2
Swisher,15,4.09%,350,95.37%,2,0.54%,367,2
Tarrant,873,4.09%,20366,95.48%,92,0.43%,21331,2
Taylor,66,3.27%,1934,95.93%,16,0.79%,2016,2
Terrell,8,9.88%,73,90.12%,0,0.00%,81,2
Terry,4,1.01%,391,98.74%,1,0.25%,396,2
Throckmorton,8,2.20%,356,97.80%,0,0.00%,364,2
Titus,6,0.86%,692,99.00%,1,0.14%,699,2
Tom Green,60,4.46%,1279,95.09%,6,0.45%,1345,2
Travis,167,5.03%,3100,93.46%,50,1.51%,3317,2
Trinity,8,0.81%,981,99.19%,0,0.00%,989,2
Tyler,1,0.23%,427,99.77%,0,0.00%,428,2
Upshur,50,4.74%,1005,95.26%,0,0.00%,1055,2
Upton,5,1.66%,293,97.02%,4,1.32%,302,2
Uvalde,9,1.91%,463,98.09%,0,0.00%,472,2
Val Verde,37,10.39%,319,89.61%,0,0.00%,356,2
Van Zandt,41,2.74%,1453,97.19%,1,0.07%,1495,2
Victoria,35,5.24%,633,94.76%,0,0.00%,668,2
Walker,9,1.56%,568,98.44%,0,0.00%,577,2
Waller,1,0.35%,283,99.65%,0,0.00%,284,2
Ward,15,4.76%,300,95.24%,0,0.00%,315,2
Washington,12,1.52%,777,98.48%,0,0.00%,789,2
Webb,16,1.61%,976,98.39%,0,0.00%,992,2
Wharton,28,3.35%,807,96.42%,2,0.24%,837,2
Wheeler,39,6.13%,594,93.40%,3,0.47%,636,2
Wichita,94,4.78%,1857,94.50%,14,0.71%,1965,2
Wilbarger,6,0.72%,826,99.28%,0,0.00%,832,2
Willacy,15,2.80%,519,96.83%,2,0.37%,536,2
Williamson,47,2.62%,1744,97.38%,0,0.00%,1791,2
Wilson,18,2.36%,742,97.25%,3,0.39%,763,2
Winkler,20,7.94%,231,91.67%,1,0.40%,252,2
Wise,38,3.39%,1081,96.35%,3,0.27%,1122,2
Wood,20,1.67%,1179,98.33%,0,0.00%,1199,2
Yoakum,8,4.65%,162,94.19%,2,1.16%,172,2
Young,11,1.08%,1010,98.83%,1,0.10%,1022,2
Zapata,333,32.21%,701,67.79%,0,0.00%,1034,2
Zavala,11,3.78%,279,95.88%,1,0.34%,291,2
Total,12054,4.39%,260629,94.89%,1975,0.72%,274658,
