County,Haesly,%,Sheppard,%,Smith,%,Berry,%,Total,Winner
Orange,15,1.63%,906,98.16%,1,0.11%,1,0.11%,923,2
Palo Pinto,119,10.96%,959,88.31%,7,0.64%,1,0.09%,1086,2
Panola,21,2.31%,890,97.69%,0,0.00%,0,0.00%,911,2
Parker,111,8.54%,1177,90.54%,12,0.92%,0,0.00%,1300,2
Parmer,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Pecos,30,5.68%,498,94.32%,0,0.00%,0,0.00%,528,2
Polk,51,7.00%,674,92.46%,0,0.00%,4,0.55%,729,2
Potter,157,10.62%,1313,88.78%,7,0.47%,2,0.14%,1479,2
Presidio,6,2.65%,218,96.46%,1,0.44%,1,0.44%,226,2
Rains,54,10.82%,441,88.38%,4,0.80%,0,0.00%,499,2
Randall,32,6.46%,463,93.54%,0,0.00%,0,0.00%,495,2
Reagan,17,3.97%,411,96.03%,0,0.00%,0,0.00%,428,2
Real,69,17.16%,328,81.59%,1,0.25%,4,1.00%,402,2
Red River,94,6.90%,1267,93.02%,1,0.07%,0,0.00%,1362,2
Reeves,31,8.68%,326,91.32%,0,0.00%,0,0.00%,357,2
Refugio,161,18.40%,695,79.43%,8,0.91%,11,1.26%,875,2
Roberts,15,9.32%,145,90.06%,1,0.62%,0,0.00%,161,2
Robertson,76,8.20%,851,91.80%,0,0.00%,0,0.00%,927,2
Rockwall,20,2.95%,659,97.05%,0,0.00%,0,0.00%,679,2
Runnels,126,10.47%,1075,89.29%,3,0.25%,0,0.00%,1204,2
Rusk,87,7.37%,1092,92.46%,2,0.17%,0,0.00%,1181,2
Sabine,14,1.86%,730,97.20%,5,0.67%,2,0.27%,751,2
San Augustine,25,2.84%,852,96.82%,3,0.34%,0,0.00%,880,2
San Jacinto,17,5.25%,307,94.75%,0,0.00%,0,0.00%,324,2
San Patricio,123,12.72%,844,87.28%,0,0.00%,0,0.00%,967,2
San Saba,77,9.81%,707,90.06%,1,0.13%,0,0.00%,785,2
Schleicher,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Scurry,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Shackelford,33,6.83%,446,92.34%,2,0.41%,2,0.41%,483,2
Shelby,49,3.58%,1318,96.20%,2,0.15%,1,0.07%,1370,2
Sherman,16,8.51%,172,91.49%,0,0.00%,0,0.00%,188,2
Smith,314,11.76%,2349,87.94%,7,0.26%,1,0.04%,2671,2
Somervell,24,10.96%,187,85.39%,6,2.74%,2,0.91%,219,2
Starr,7,0.88%,793,99.13%,0,0.00%,0,0.00%,800,2
Stephens,134,13.16%,875,85.95%,4,0.39%,5,0.49%,1018,2
Sterling,3,1.74%,169,98.26%,0,0.00%,0,0.00%,172,2
Stonewall,14,4.00%,336,96.00%,0,0.00%,0,0.00%,350,2
Sutton,12,11.11%,94,87.04%,1,0.93%,1,0.93%,108,2
Swisher,57,11.90%,420,87.68%,1,0.21%,1,0.21%,479,2
Tarrant,559,9.85%,5100,89.84%,17,0.30%,1,0.02%,5677,2
Taylor,166,6.13%,2538,93.72%,2,0.07%,2,0.07%,2708,2
Terrell,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Terry,44,11.46%,340,88.54%,0,0.00%,0,0.00%,384,2
Throckmorton,5,1.38%,357,98.35%,1,0.28%,0,0.00%,363,2
Titus,68,9.13%,676,90.74%,1,0.13%,0,0.00%,745,2
Tom Green,112,5.57%,1894,94.28%,3,0.15%,0,0.00%,2009,2
Travis,252,5.75%,4125,94.05%,8,0.18%,1,0.02%,4386,2
Trinity,19,4.19%,434,95.81%,0,0.00%,0,0.00%,453,2
Tyler,9,1.51%,587,98.32%,1,0.17%,0,0.00%,597,2
Upshur,104,8.23%,1152,91.21%,7,0.55%,0,0.00%,1263,2
Upton,19,4.86%,369,94.37%,1,0.26%,2,0.51%,391,2
Uvalde,51,7.22%,655,92.78%,0,0.00%,0,0.00%,706,2
Val Verde,135,13.85%,837,85.85%,3,0.31%,0,0.00%,975,2
Van Zandt,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Victoria,91,11.88%,674,87.99%,0,0.00%,1,0.13%,766,2
Walker,69,9.58%,650,90.28%,0,0.00%,1,0.14%,720,2
Waller,32,7.21%,411,92.57%,0,0.00%,1,0.23%,444,2
Ward,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Washington,79,7.75%,939,92.15%,1,0.10%,0,0.00%,1019,2
Webb,174,11.82%,1298,88.18%,0,0.00%,0,0.00%,1472,2
Wharton,147,5.21%,2662,94.43%,6,0.21%,4,0.14%,2819,2
Wheeler,122,14.10%,742,85.78%,1,0.12%,0,0.00%,865,2
Wichita,364,12.28%,2591,87.42%,9,0.30%,0,0.00%,2964,2
Wilbarger,49,5.48%,844,94.41%,1,0.11%,0,0.00%,894,2
Willacy,46,10.24%,403,89.76%,0,0.00%,0,0.00%,449,2
Williamson,174,8.00%,1997,91.82%,3,0.14%,1,0.05%,2175,2
Wilson,282,17.34%,1340,82.41%,2,0.12%,2,0.12%,1626,2
Winkler,25,5.83%,401,93.47%,3,0.70%,0,0.00%,429,2
Wise,159,12.29%,1134,87.64%,1,0.08%,0,0.00%,1294,2
Wood,118,8.35%,1287,91.08%,8,0.57%,0,0.00%,1413,2
Yoakum,1,0.52%,192,98.97%,1,0.52%,0,0.00%,194,2
Young,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Zapata,16,7.14%,208,92.86%,0,0.00%,0,0.00%,224,2
Zavala,35,7.19%,452,92.81%,0,0.00%,0,0.00%,487,2
Total,39023,12.72%,266662,86.92%,809,0.26%,293,0.10%,306787,
