County,Kennerly,%,Sheppard,%,Total,Winner
Comanche,282,8.33%,3102,91.67%,3384,2
Concho,50,5.62%,840,94.38%,890,2
Cooke,407,9.99%,3668,90.01%,4075,2
Coryell,259,7.22%,3326,92.78%,3585,2
Cottle,35,5.19%,639,94.81%,674,2
Crane,0,#DIV/0!,0,#DIV/0!,0,#N/A
Crockett,44,23.40%,144,76.60%,188,2
Crosby,203,15.08%,1143,84.92%,1346,2
Culberson,6,4.76%,120,95.24%,126,2
Dallam,223,20.52%,864,79.48%,1087,2
Dallas,6496,16.45%,33000,83.55%,39496,2
Dawson,110,7.07%,1446,92.93%,1556,2
Deaf Smith,173,22.18%,607,77.82%,780,2
Delta,336,12.77%,2295,87.23%,2631,2
Denton,622,10.46%,5324,89.54%,5946,2
DeWitt,635,17.36%,3023,82.64%,3658,2
Dickens,91,8.76%,948,91.24%,1039,2
Dimmit,169,33.14%,341,66.86%,510,2
Donley,211,16.56%,1063,83.44%,1274,2
Duval,81,7.59%,986,92.41%,1067,2
Eastland,796,13.46%,5116,86.54%,5912,2
Ector,3,1.91%,154,98.09%,157,2
Edwards,254,45.60%,303,54.40%,557,2
Ellis,1002,11.03%,8083,88.97%,9085,2
El Paso,0,#DIV/0!,0,#DIV/0!,0,#N/A
Erath,351,8.95%,3571,91.05%,3922,2
Falls,239,6.54%,3414,93.46%,3653,2
Fannin,603,9.45%,5777,90.55%,6380,2
Fayette,1637,24.43%,5064,75.57%,6701,2
Fisher,200,9.76%,1849,90.24%,2049,2
Floyd,148,10.14%,1311,89.86%,1459,2
Foard,58,10.58%,490,89.42%,548,2
Fort Bend,322,11.72%,2425,88.28%,2747,2
Franklin,106,7.58%,1293,92.42%,1399,2
Freestone,573,17.38%,2724,82.62%,3297,2
Frio,120,14.15%,728,85.85%,848,2
Gaines,23,6.99%,306,93.01%,329,2
Galveston,1407,17.30%,6727,82.70%,8134,2
Garza,104,10.11%,925,89.89%,1029,2
Gillespie,890,38.86%,1400,61.14%,2290,2
Glasscock,11,8.27%,122,91.73%,133,2
Goliad,399,26.53%,1105,73.47%,1504,2
Gonzales,468,13.89%,2901,86.11%,3369,2
Gray,220,22.87%,742,77.13%,962,2
Grayson,1772,16.45%,9000,83.55%,10772,2
Gregg,131,7.82%,1544,92.18%,1675,2
Grimes,169,7.09%,2215,92.91%,2384,2
Guadalupe,0,0.00%,1510,100.00%,1510,2
Hale,419,20.69%,1606,79.31%,2025,2
Hall,148,10.86%,1215,89.14%,1363,2
Hamilton,194,7.99%,2235,92.01%,2429,2
Hansford,53,14.44%,314,85.56%,367,2
Hardeman,174,13.14%,1150,86.86%,1324,2
Hardin,465,20.14%,1844,79.86%,2309,2
Harris,5781,16.79%,28648,83.21%,34429,2
Harrison,274,8.45%,2969,91.55%,3243,2
Hartley,45,17.79%,208,82.21%,253,2
Haskell,285,10.41%,2454,89.59%,2739,2
Hays,281,13.02%,1878,86.98%,2159,2
Hemphill,129,20.31%,506,79.69%,635,2
Henderson,383,8.86%,3940,91.14%,4323,2
Hidalgo,911,18.40%,4041,81.60%,4952,2
Hill,569,7.96%,6575,92.04%,7144,2
Hockley,11,5.79%,179,94.21%,190,2
Hood,108,8.25%,1201,91.75%,1309,2
Hopkins,518,10.77%,4293,89.23%,4811,2
Houston,422,11.21%,3341,88.79%,3763,2
Howard,160,10.54%,1358,89.46%,1518,2
Hudspeth,12,8.28%,133,91.72%,145,2
Hunt,756,8.62%,8018,91.38%,8774,2
Hutchinson,67,28.27%,170,71.73%,237,2
Irion,23,7.52%,283,92.48%,306,2
Jack,276,17.12%,1336,82.88%,1612,2
Jackson,366,28.42%,922,71.58%,1288,2
Jasper,161,9.21%,1588,90.79%,1749,2
Jeff Davis,17,8.95%,173,91.05%,190,2
Jefferson,3125,27.92%,8066,72.08%,11191,2
Jim Hogg,17,10.56%,144,89.44%,161,2
Jim Wells,180,17.65%,840,82.35%,1020,2
Johnson,671,12.44%,4724,87.56%,5395,2
Jones,498,12.80%,3393,87.20%,3891,2
Karnes,430,16.14%,2234,83.86%,2664,2
Kaufman,624,9.61%,5866,90.39%,6490,2
Kendall,724,65.40%,383,34.60%,1107,1
Kenedy,3,4.00%,72,96.00%,75,2
Kent,48,10.17%,424,89.83%,472,2
Kerr,629,35.52%,1142,64.48%,1771,2
Kimble,882,57.20%,660,42.80%,1542,1
King,4,5.71%,66,94.29%,70,2
Kinney,151,41.48%,213,58.52%,364,2
Kleberg,165,13.81%,1030,86.19%,1195,2
Knox,338,17.04%,1645,82.96%,1983,2
Lamar,403,6.54%,5755,93.46%,6158,2
Lamb,91,18.53%,400,81.47%,491,2
Lampasas,180,9.69%,1677,90.31%,1857,2
La Salle,51,9.48%,487,90.52%,538,2
Lavaca,684,12.32%,4870,87.68%,5554,2
Lee,283,11.90%,2095,88.10%,2378,2
Leon,392,18.08%,1776,81.92%,2168,2
Liberty,465,19.70%,1896,80.30%,2361,2
Limestone,376,6.93%,5053,93.07%,5429,2
Lipscomb,373,41.26%,531,58.74%,904,2
Live Oak,328,29.79%,773,70.21%,1101,2
Llano,62,5.85%,997,94.15%,1059,2
Loving,2,13.33%,13,86.67%,15,2
Lubbock,385,12.44%,2711,87.56%,3096,2
Lynn,206,13.36%,1336,86.64%,1542,2
Madison,135,7.66%,1627,92.34%,1762,2
Marion,251,24.42%,777,75.58%,1028,2
Martin,56,11.89%,415,88.11%,471,2
Mason,131,18.79%,566,81.21%,697,2
Matagorda,947,38.45%,1516,61.55%,2463,2
Maverick,240,45.11%,292,54.89%,532,2
McCulloch,342,16.98%,1672,83.02%,2014,2
McLennan,1711,15.71%,9178,84.29%,10889,2
McMullen,41,18.89%,176,81.11%,217,2
Medina,651,28.04%,1671,71.96%,2322,2
Menard,78,13.76%,489,86.24%,567,2
Midland,25,5.47%,432,94.53%,457,2
Milam,553,8.72%,5792,91.28%,6345,2
Mills,155,10.50%,1321,89.50%,1476,2
Mitchell,151,9.95%,1367,90.05%,1518,2
Montague,250,8.68%,2629,91.32%,2879,2
Montgomery,160,8.83%,1651,91.17%,1811,2
Moore,5,5.26%,90,94.74%,95,2
Morris,79,7.50%,975,92.50%,1054,2
Motley,23,4.40%,500,95.60%,523,2
Nacogdoches,149,4.18%,3418,95.82%,3567,2
Navarro,770,9.84%,7059,90.16%,7829,2
Newton,114,10.99%,923,89.01%,1037,2
Nolan,234,11.24%,1847,88.76%,2081,2
Nueces,640,14.15%,3882,85.85%,4522,2
Ochiltree,131,23.95%,416,76.05%,547,2
Oldham,49,17.44%,232,82.56%,281,2
Orange,359,17.14%,1736,82.86%,2095,2
Palo Pinto,321,11.61%,2443,88.39%,2764,2
Panola,87,3.90%,2146,96.10%,2233,2
Parker,345,10.51%,2939,89.49%,3284,2
Parmer,68,20.67%,261,79.33%,329,2
Pecos,145,20.19%,573,79.81%,718,2
Polk,133,6.45%,1929,93.55%,2062,2
Potter,480,12.24%,3443,87.76%,3923,2
Presidio,0,#DIV/0!,0,#DIV/0!,0,#N/A
Rains,47,4.44%,1012,95.56%,1059,2
Randall,120,13.70%,756,86.30%,876,2
Reagan,11,6.79%,151,93.21%,162,2
Real,249,48.54%,264,51.46%,513,2
Red River,271,7.41%,3385,92.59%,3656,2
Reeves,76,13.87%,472,86.13%,548,2
Refugio,0,#DIV/0!,0,#DIV/0!,0,#N/A
Roberts,63,18.26%,282,81.74%,345,2
Robertson,194,7.77%,2303,92.23%,2497,2
Rockwall,85,5.56%,1443,94.44%,1528,2
Runnels,352,10.79%,2911,89.21%,3263,2
Rusk,506,13.18%,3334,86.82%,3840,2
Sabine,47,3.22%,1411,96.78%,1458,2
San Augustine,58,3.44%,1630,96.56%,1688,2
San Jacinto,108,13.99%,664,86.01%,772,2
San Patricio,601,27.70%,1569,72.30%,2170,2
San Saba,149,7.59%,1813,92.41%,1962,2
Schleicher,59,15.28%,327,84.72%,386,2
Scurry,197,11.37%,1535,88.63%,1732,2
Shackelford,63,7.46%,781,92.54%,844,2
Shelby,120,3.18%,3657,96.82%,3777,2
Sherman,63,20.39%,246,79.61%,309,2
Smith,943,15.43%,5167,84.57%,6110,2
Somervell,28,5.88%,448,94.12%,476,2
Starr,19,2.43%,762,97.57%,781,2
Stephens,275,10.57%,2326,89.43%,2601,2
Sterling,6,2.07%,284,97.93%,290,2
Stonewall,113,27.76%,294,72.24%,407,2
Sutton,73,24.01%,231,75.99%,304,2
Swisher,149,17.63%,696,82.37%,845,2
Tarrant,3588,15.83%,19073,84.17%,22661,2
Taylor,337,10.10%,2998,89.90%,3335,2
Terrell,80,28.67%,199,71.33%,279,2
Terry,125,12.12%,906,87.88%,1031,2
Throckmorton,77,10.13%,683,89.87%,760,2
Titus,0,0.00%,1770,100.00%,1770,2
Tom Green,398,13.24%,2609,86.76%,3007,2
Travis,1454,13.44%,9365,86.56%,10819,2
Trinity,107,6.18%,1623,93.82%,1730,2
Tyler,51,4.42%,1103,95.58%,1154,2
Upshur,140,14.48%,827,85.52%,967,2
Upton,0,0.00%,44,100.00%,44,2
Uvalde,290,15.79%,1547,84.21%,1837,2
Val Verde,232,22.83%,784,77.17%,1016,2
Van Zandt,0,0.00%,4070,100.00%,4070,2
Victoria,348,14.07%,2126,85.93%,2474,2
Walker,160,7.87%,1872,92.13%,2032,2
Waller,149,10.39%,1285,89.61%,1434,2
Ward,20,7.30%,254,92.70%,274,2
Washington,291,7.07%,3825,92.93%,4116,2
Webb,388,22.00%,1376,78.00%,1764,2
Wharton,821,26.38%,2291,73.62%,3112,2
Wheeler,130,11.25%,1026,88.75%,1156,2
Wichita,1515,16.71%,7552,83.29%,9067,2
Wilbarger,189,10.28%,1649,89.72%,1838,2
Willacy,125,23.95%,397,76.05%,522,2
Williamson,701,8.85%,7221,91.15%,7922,2
Wilson,338,13.61%,2146,86.39%,2484,2
Winkler,0,0.00%,15,100.00%,15,2
Wise,468,12.75%,3202,87.25%,3670,2
Wood,316,8.16%,3558,91.84%,3874,2
Yoakum,5,4.27%,112,95.73%,117,2
Young,228,9.38%,2204,90.63%,2432,2
Zapata,211,39.74%,320,60.26%,531,2
Zavala,64,12.77%,437,87.23%,501,2
Total,98872,14.53%,581568,85.47%,680440,
