County,Bush,%,Yarborough,%,Carswell,%,Total,Winner
Hunt,3887,39.69%,5901,60.25%,6,0.06%,9794,2
Hutchinson,6025,60.21%,3963,39.61%,18,0.18%,10006,1
Irion,233,47.17%,259,52.43%,2,0.40%,494,2
Jack,1023,41.59%,1434,58.29%,3,0.12%,2460,2
Jackson,1459,36.98%,2475,62.74%,11,0.28%,3945,2
Jasper,2064,37.28%,3459,62.48%,13,0.23%,5536,2
Jeff Davis,188,39.17%,291,60.63%,1,0.21%,480,2
Jefferson,31025,43.10%,40667,56.50%,285,0.40%,71977,2
Jim Hogg,187,12.24%,1341,87.76%,,0.00%,1528,2
Jim Wells,2491,28.18%,6342,71.73%,8,0.09%,8841,2
Johnson,3984,41.38%,5642,58.59%,3,0.03%,9629,2
Jones,1633,33.42%,3247,66.46%,6,0.12%,4886,2
Karnes,1220,29.39%,2929,70.56%,2,0.05%,4151,2
Kaufman,2208,33.12%,4453,66.80%,5,0.08%,6666,2
Kendall,1340,61.72%,828,38.14%,3,0.14%,2171,1
Kenedy,49,33.33%,97,65.99%,1,0.68%,147,2
Kent,184,27.46%,486,72.54%,,0.00%,670,2
Kerr,3011,54.12%,2550,45.83%,3,0.05%,5564,1
Kimble,599,43.03%,793,56.97%,,0.00%,1392,2
King,50,23.15%,166,76.85%,,0.00%,216,2
Kinney,180,30.56%,409,69.44%,,0.00%,589,2
Kleberg,2036,32.66%,4192,67.24%,6,0.10%,6234,2
Knox,596,35.80%,1067,64.08%,2,0.12%,1665,2
La Salle,308,25.62%,892,74.21%,2,0.17%,1202,2
Lamar,3010,33.90%,5866,66.07%,3,0.03%,8879,2
Lamb,2780,43.82%,3558,56.08%,6,0.09%,6344,2
Lampasas,847,31.85%,1810,68.07%,2,0.08%,2659,2
Lavaca,1645,29.99%,3838,69.96%,3,0.05%,5486,2
Lee,1041,37.02%,1767,62.84%,4,0.14%,2812,2
Leon,710,23.50%,2307,76.37%,4,0.13%,3021,2
Liberty,3120,38.59%,4949,61.22%,15,0.19%,8084,2
Limestone,1723,32.85%,3520,67.11%,2,0.04%,5245,2
Lipscomb,863,63.97%,485,35.95%,1,0.07%,1349,1
Live Oak,939,41.73%,1307,58.09%,4,0.18%,2250,2
Llano,871,37.27%,1463,62.60%,3,0.13%,2337,2
Loving,39,50.00%,38,48.72%,1,1.28%,78,1
Lubbock,23525,59.92%,15692,39.97%,41,0.10%,39258,1
Lynn,1197,39.58%,1826,60.38%,1,0.03%,3024,2
Madison,666,34.76%,1244,64.93%,6,0.31%,1916,2
Marion,952,40.89%,1375,59.06%,1,0.04%,2328,2
Martin,513,39.74%,777,60.19%,1,0.08%,1291,2
Mason,707,45.82%,835,54.12%,1,0.06%,1543,2
Matagorda,2799,42.22%,3818,57.59%,13,0.20%,6630,2
Maverick,638,23.82%,2037,76.06%,3,0.11%,2678,2
McCulloch,826,29.63%,1962,70.37%,,0.00%,2788,2
McLennan,13655,34.57%,25812,65.34%,38,0.10%,39505,2
McMullen,204,45.84%,239,53.71%,2,0.45%,445,2
Medina,1909,38.13%,3094,61.81%,3,0.06%,5006,2
Menard,439,44.61%,545,55.39%,,0.00%,984,2
Midland,13893,68.16%,6427,31.53%,64,0.31%,20384,1
Milam,1620,28.39%,4082,71.54%,4,0.07%,5706,2
Mills,643,37.45%,1069,62.26%,5,0.29%,1717,2
Mitchell,876,27.76%,2276,72.12%,4,0.13%,3156,2
Montague,1499,30.96%,3338,68.94%,5,0.10%,4842,2
Montgomery,3521,43.11%,4603,56.36%,43,0.53%,8167,2
Moore,2128,51.18%,2024,48.68%,6,0.14%,4158,1
Morris,1317,36.73%,2259,62.99%,10,0.28%,3586,2
Motley,441,45.18%,533,54.61%,2,0.20%,976,2
Nacogdoches,3293,43.99%,4182,55.86%,11,0.15%,7486,2
Navarro,2568,28.74%,6362,71.21%,4,0.04%,8934,2
Newton,754,25.51%,2197,74.32%,5,0.17%,2956,2
Nolan,1993,35.01%,3693,64.88%,6,0.11%,5692,2
Nueces,18076,33.77%,35363,66.06%,91,0.17%,53530,2
Ochiltree,2038,74.71%,690,25.29%,,0.00%,2728,1
Oldham,356,53.94%,300,45.45%,4,0.61%,660,1
Orange,7013,45.08%,8514,54.72%,31,0.20%,15558,2
Palo Pinto,2002,36.32%,3506,63.61%,4,0.07%,5512,2
Panola,2801,51.85%,2592,47.98%,9,0.17%,5402,1
Parker,2586,34.73%,4855,65.19%,6,0.08%,7447,2
Parmer,1507,54.35%,1262,45.51%,4,0.14%,2773,1
Pecos,1654,47.83%,1797,51.97%,7,0.20%,3458,2
Polk,1283,35.31%,2345,64.53%,6,0.17%,3634,2
Potter,13738,56.58%,10470,43.12%,71,0.29%,24279,1
Presidio,460,28.97%,1126,70.91%,2,0.13%,1588,2
Rains,310,27.03%,835,72.80%,2,0.17%,1147,2
Randall,9036,65.64%,4699,34.13%,32,0.23%,13767,1
Reagan,471,46.54%,540,53.36%,1,0.10%,1012,2
Real,287,38.68%,454,61.19%,1,0.13%,742,2
Red River,1373,29.78%,3232,70.09%,6,0.13%,4611,2
Reeves,1584,44.62%,1956,55.10%,10,0.28%,3550,2
Refugio,992,32.01%,2106,67.96%,1,0.03%,3099,2
Roberts,320,65.04%,171,34.76%,1,0.20%,492,1
Robertson,913,22.10%,3218,77.90%,,0.00%,4131,2
Rockwall,541,31.34%,1185,68.66%,,0.00%,1726,2
Runnels,1588,40.94%,2284,58.88%,7,0.18%,3879,2
Rusk,5629,48.61%,5937,51.27%,15,0.13%,11581,2
Sabine,454,20.55%,1752,79.31%,3,0.14%,2209,2
San Augustine,821,42.10%,1122,57.54%,7,0.36%,1950,2
San Jacinto,344,17.05%,1672,82.85%,2,0.10%,2018,2
San Patricio,2711,29.44%,6481,70.38%,17,0.18%,9209,2
San Saba,543,23.93%,1724,75.98%,2,0.09%,2269,2
Schleicher,424,47.06%,477,52.94%,,0.00%,901,2
Scurry,2260,43.83%,2883,55.92%,13,0.25%,5156,2
Shackelford,622,43.65%,803,56.35%,,0.00%,1425,2
Shelby,2287,39.64%,3473,60.19%,10,0.17%,5770,2
Sherman,685,63.02%,401,36.89%,1,0.09%,1087,1
Smith,13879,54.84%,11393,45.02%,37,0.15%,25309,1
Somervell,240,28.24%,607,71.41%,3,0.35%,850,2
Starr,855,18.19%,3835,81.60%,10,0.21%,4700,2
Stephens,1257,43.97%,1597,55.86%,5,0.17%,2859,2
Sterling,174,46.03%,204,53.97%,,0.00%,378,2
Stonewall,290,24.21%,907,75.71%,1,0.08%,1198,2
Sutton,430,41.15%,612,58.56%,3,0.29%,1045,2
Swisher,1024,31.71%,2202,68.19%,3,0.09%,3229,2
Tarrant,69531,45.34%,83457,54.43%,354,0.23%,153342,2
Taylor,11196,49.78%,11252,50.03%,42,0.19%,22490,2
Terrell,312,47.78%,341,52.22%,,0.00%,653,2
Terry,2270,49.12%,2345,50.75%,6,0.13%,4621,2
Throckmorton,292,25.75%,842,74.25%,,0.00%,1134,2
Titus,1804,34.70%,3391,65.22%,4,0.08%,5199,2
Tom Green,7849,47.81%,8553,52.10%,16,0.10%,16418,2
Travis,27216,42.54%,36677,57.33%,82,0.13%,63975,2
Trinity,832,34.48%,1574,65.23%,7,0.29%,2413,2
Tyler,1290,42.76%,1726,57.21%,1,0.03%,3017,2
Upshur,2288,36.88%,3907,62.98%,9,0.15%,6204,2
Upton,800,49.75%,803,49.94%,5,0.31%,1608,2
Uvalde,2165,50.24%,2142,49.71%,2,0.05%,4309,1
Val Verde,1542,31.49%,3352,68.45%,3,0.06%,4897,2
Van Zandt,1914,33.83%,3735,66.02%,8,0.14%,5657,2
Victoria,5482,44.31%,6858,55.43%,32,0.26%,12372,2
Walker,1700,38.40%,2727,61.60%,,0.00%,4427,2
Waller,1044,33.06%,2113,66.91%,1,0.03%,3158,2
Ward,2009,50.95%,1931,48.97%,3,0.08%,3943,1
Washington,2248,45.81%,2657,54.15%,2,0.04%,4907,2
Webb,1407,12.59%,9757,87.33%,9,0.08%,11173,2
Wharton,3265,36.21%,5742,63.67%,11,0.12%,9018,2
Wheeler,1238,48.28%,1325,51.68%,1,0.04%,2564,2
Wichita,10810,38.88%,16974,61.06%,17,0.06%,27801,2
Wilbarger,1872,39.32%,2886,60.62%,3,0.06%,4761,2
Willacy,1335,39.47%,2044,60.44%,3,0.09%,3382,2
Williamson,2383,25.96%,6790,73.97%,7,0.08%,9180,2
Wilson,933,22.06%,3295,77.91%,1,0.02%,4229,2
Winkler,1897,51.62%,1774,48.27%,4,0.11%,3675,1
Wise,1684,31.97%,3580,67.97%,3,0.06%,5267,2
Wood,2251,40.27%,3332,59.61%,7,0.13%,5590,2
Yoakum,1219,53.68%,1048,46.15%,4,0.18%,2271,1
Young,1930,38.57%,3073,61.41%,1,0.02%,5004,2
Zapata,149,13.06%,991,86.85%,1,0.09%,1141,2
Zavala,868,36.86%,1485,63.06%,2,0.08%,2355,2
Total,1134337,43.56%,1463938,56.22%,5541,0.21%,2603816,
