County,Tower,%,Johnson,%,Total,Winner
Dickens,359,22.26%,1254,77.74%,1613,2
Dimmit,536,34.08%,1037,65.92%,1573,2
Donley,705,42.39%,958,57.61%,1663,2
Duval,738,15.98%,3881,84.02%,4619,2
Eastland,2793,42.81%,3731,57.19%,6524,2
Ector,9310,50.29%,9204,49.71%,18514,1
Edwards,407,59.94%,272,40.06%,679,1
Ellis,2794,29.04%,6827,70.96%,9621,2
El Paso,19977,43.32%,26135,56.68%,46112,2
Erath,2007,39.55%,3067,60.45%,5074,2
Falls,1158,24.40%,3588,75.60%,4746,2
Fannin,1285,20.92%,4858,79.08%,6143,2
Fayette,1721,29.97%,4021,70.03%,5742,2
Fisher,959,31.18%,2117,68.82%,3076,2
Floyd,1216,38.94%,1907,61.06%,3123,2
Foard,199,20.04%,794,79.96%,993,2
Fort Bend,3050,38.31%,4911,61.69%,7961,2
Franklin,446,24.57%,1369,75.43%,1815,2
Freestone,1198,33.22%,2408,66.78%,3606,2
Frio,591,32.72%,1215,67.28%,1806,2
Gaines,1129,37.70%,1866,62.30%,2995,2
Galveston,13791,37.91%,22586,62.09%,36377,2
Garza,514,33.46%,1022,66.54%,1536,2
Gillespie,2462,66.72%,1228,33.28%,3690,1
Glasscock,124,32.04%,263,67.96%,387,2
Goliad,716,47.23%,800,52.77%,1516,2
Gonzales,1156,27.80%,3003,72.20%,4159,2
Gray,5044,56.36%,3906,43.64%,8950,1
Grayson,5611,32.77%,11513,67.23%,17124,2
Gregg,8627,50.57%,8431,49.43%,17058,1
Grimes,841,30.73%,1896,69.27%,2737,2
Guadalupe,3280,48.12%,3537,51.88%,6817,2
Hale,3897,45.58%,4652,54.42%,8549,2
Hall,613,28.83%,1513,71.17%,2126,2
Hamilton,1280,45.83%,1513,54.17%,2793,2
Hansford,1044,56.77%,795,43.23%,1839,1
Hardeman,1027,40.02%,1539,59.98%,2566,2
Hardin,1471,23.38%,4820,76.62%,6291,2
Harris,149844,49.85%,150752,50.15%,300596,2
Harrison,2574,29.86%,6047,70.14%,8621,2
Hartley,328,39.38%,505,60.62%,833,2
Haskell,619,17.18%,2985,82.82%,3604,2
Hays,1262,27.80%,3277,72.20%,4539,2
Hemphill,689,58.49%,489,41.51%,1178,1
Henderson,2084,35.11%,3851,64.89%,5935,2
Hidalgo,12718,39.41%,19550,60.59%,32268,2
Hill,1556,23.51%,5063,76.49%,6619,2
Hockley,1642,32.46%,3416,67.54%,5058,2
Hood,543,24.72%,1654,75.28%,2197,2
Hopkins,1649,31.64%,3563,68.36%,5212,2
Houston,1293,29.80%,3046,70.20%,4339,2
Howard,2600,31.52%,5649,68.48%,8249,2
Hudspeth,204,29.69%,483,70.31%,687,2
Hunt,3065,36.43%,5349,63.57%,8414,2
Hutchinson,5221,53.44%,4548,46.56%,9769,1
Irion,200,41.24%,285,58.76%,485,2
Jack,1066,45.34%,1285,54.66%,2351,2
Jackson,1299,33.77%,2548,66.23%,3847,2
Jasper,1591,31.31%,3491,68.69%,5082,2
Jeff Davis,147,36.48%,256,63.52%,403,2
Jefferson,24166,36.69%,41693,63.31%,65859,2
Jim Hogg,181,12.20%,1302,87.80%,1483,2
Jim Wells,2295,29.72%,5428,70.28%,7723,2
Johnson,3567,42.19%,4888,57.81%,8455,2
Jones,1644,32.47%,3419,67.53%,5063,2
Karnes,983,28.27%,2494,71.73%,3477,2
Kaufman,2098,36.73%,3614,63.27%,5712,2
Kendall,720,59.90%,482,40.10%,1202,1
Kenedy,64,41.29%,91,58.71%,155,2
Kent,138,20.85%,524,79.15%,662,2
Kerr,2909,61.44%,1826,38.56%,4735,1
Kimble,648,50.47%,636,49.53%,1284,1
King,32,17.88%,147,82.12%,179,2
Kinney,177,30.52%,403,69.48%,580,2
Kleberg,1752,30.00%,4088,70.00%,5840,2
Knox,496,23.43%,1621,76.57%,2117,2
Lamar,2651,30.07%,6166,69.93%,8817,2
Lamb,2007,34.73%,3772,65.27%,5779,2
Lampasas,830,32.21%,1747,67.79%,2577,2
La Salle,254,23.35%,834,76.65%,1088,2
Lavaca,1193,21.88%,4260,78.12%,5453,2
Lee,717,30.29%,1650,69.71%,2367,2
Leon,625,24.74%,1901,75.26%,2526,2
Liberty,2613,36.25%,4595,63.75%,7208,2
Limestone,1466,27.79%,3810,72.21%,5276,2
Lipscomb,678,57.75%,496,42.25%,1174,1
Live Oak,944,50.89%,911,49.11%,1855,1
Llano,516,28.18%,1315,71.82%,1831,2
Loving,25,32.47%,52,67.53%,77,2
Lubbock,15992,45.75%,18964,54.25%,34956,2
Lynn,656,23.19%,2173,76.81%,2829,2
McCulloch,876,31.65%,1892,68.35%,2768,2
McLennan,11314,32.21%,23814,67.79%,35128,2
McMullen,204,42.50%,276,57.50%,480,2
Madison,454,30.47%,1036,69.53%,1490,2
Marion,502,29.93%,1175,70.07%,1677,2
Martin,236,19.11%,999,80.89%,1235,2
Mason,726,50.73%,705,49.27%,1431,1
Matagorda,2508,41.25%,3572,58.75%,6080,2
Maverick,528,24.24%,1650,75.76%,2178,2
Medina,1550,40.96%,2234,59.04%,3784,2
Menard,523,46.70%,597,53.30%,1120,2
Midland,9238,57.95%,6702,42.05%,15940,1
Milam,1495,26.39%,4171,73.61%,5666,2
Mills,682,37.45%,1139,62.55%,1821,2
Mitchell,837,24.93%,2521,75.07%,3358,2
Montague,1555,33.91%,3030,66.09%,4585,2
Montgomery,2429,38.03%,3958,61.97%,6387,2
Moore,1944,46.98%,2194,53.02%,4138,2
Morris,1095,30.68%,2474,69.32%,3569,2
Motley,273,29.67%,647,70.33%,920,2
Nacogdoches,2454,36.84%,4208,63.16%,6662,2
Navarro,2509,28.45%,6309,71.55%,8818,2
Newton,548,21.01%,2060,78.99%,2608,2
Nolan,1786,32.19%,3762,67.81%,5548,2
Nueces,16868,36.63%,29186,63.37%,46054,2
Ochiltree,1638,69.17%,730,30.83%,2368,1
Oldham,230,35.71%,414,64.29%,644,2
Orange,3959,26.72%,10859,73.28%,14818,2
Palo Pinto,1971,36.76%,3391,63.24%,5362,2
Panola,1685,37.56%,2801,62.44%,4486,2
Parker,2795,38.51%,4463,61.49%,7258,2
Parmer,1227,44.63%,1522,55.37%,2749,2
Pecos,1188,38.27%,1916,61.73%,3104,2
Polk,893,27.94%,2303,72.06%,3196,2
Potter,11124,48.81%,11665,51.19%,22789,2
Presidio,311,22.99%,1042,77.01%,1353,2
Rains,278,27.86%,720,72.14%,998,2
Randall,5663,55.39%,4561,44.61%,10224,1
Reagan,262,26.63%,722,73.37%,984,2
Real,323,48.28%,346,51.72%,669,2
Red River,972,23.19%,3220,76.81%,4192,2
Reeves,1172,32.53%,2431,67.47%,3603,2
Refugio,910,26.13%,2573,73.87%,3483,2
Roberts,294,66.67%,147,33.33%,441,1
Robertson,748,20.47%,2907,79.53%,3655,2
Rockwall,453,29.15%,1101,70.85%,1554,2
Runnels,1582,39.30%,2443,60.70%,4025,2
Rusk,5120,54.64%,4250,45.36%,9370,1
Sabine,474,25.76%,1366,74.24%,1840,2
San Augustine,500,27.95%,1289,72.05%,1789,2
San Jacinto,306,22.58%,1049,77.42%,1355,2
San Patricio,2709,31.38%,5923,68.62%,8632,2
San Saba,633,29.91%,1483,70.09%,2116,2
Schleicher,372,45.20%,451,54.80%,823,2
Scurry,1772,34.64%,3343,65.36%,5115,2
Shackelford,548,39.26%,848,60.74%,1396,2
Shelby,1121,22.83%,3789,77.17%,4910,2
Sherman,511,52.20%,468,47.80%,979,1
Smith,10594,50.80%,10262,49.20%,20856,1
Somervell,329,40.92%,475,59.08%,804,2
Starr,284,6.55%,4051,93.45%,4335,2
Stephens,1377,45.78%,1631,54.22%,3008,2
Sterling,118,32.69%,243,67.31%,361,2
Stonewall,208,17.85%,957,82.15%,1165,2
Sutton,375,39.85%,566,60.15%,941,2
Swisher,808,31.62%,1747,68.38%,2555,2
Tarrant,57718,44.20%,72862,55.80%,130580,2
Taylor,10330,44.95%,12650,55.05%,22980,2
Terrell,258,40.63%,377,59.37%,635,2
Terry,1544,37.95%,2525,62.05%,4069,2
Throckmorton,327,29.84%,769,70.16%,1096,2
Titus,1600,32.43%,3333,67.57%,4933,2
Tom Green,6661,44.22%,8403,55.78%,15064,2
Travis,17261,34.25%,33137,65.75%,50398,2
Trinity,550,25.94%,1570,74.06%,2120,2
Tyler,1147,43.78%,1473,56.22%,2620,2
Upshur,1568,29.16%,3809,70.84%,5377,2
Upton,647,38.35%,1040,61.65%,1687,2
Uvalde,2001,55.58%,1599,44.42%,3600,1
Val Verde,1307,35.88%,2336,64.12%,3643,2
Van Zandt,1664,33.87%,3249,66.13%,4913,2
Victoria,4316,40.75%,6276,59.25%,10592,2
Walker,1360,37.94%,2225,62.06%,3585,2
Waller,1021,44.74%,1261,55.26%,2282,2
Ward,1411,38.05%,2297,61.95%,3708,2
Washington,2133,47.96%,2314,52.04%,4447,2
Webb,1611,13.47%,10346,86.53%,11957,2
Wharton,2284,29.46%,5469,70.54%,7753,2
Wheeler,1076,44.26%,1355,55.74%,2431,2
Wichita,10130,37.92%,16584,62.08%,26714,2
Wilbarger,1931,40.97%,2782,59.03%,4713,2
Willacy,1228,34.17%,2366,65.83%,3594,2
Williamson,1778,22.08%,6275,77.92%,8053,2
Wilson,966,23.83%,3087,76.17%,4053,2
Winkler,1267,39.71%,1924,60.29%,3191,2
Wise,1928,39.53%,2949,60.47%,4877,2
Wood,1955,39.25%,3026,60.75%,4981,2
Yoakum,424,23.85%,1354,76.15%,1778,2
Young,1858,40.11%,2774,59.89%,4632,2
Zapata,240,25.72%,693,74.28%,933,2
Zavala,750,48.54%,795,51.46%,1545,2
Total,926502,41.52%,1305099,58.48%,2231601,
