County,Flanagan,%,Sheppard,%,Smith,%,Total,Winner
Duval,5,1.77%,278,98.23%,0,0.00%,283,2
Eastland,55,6.06%,834,91.95%,18,1.98%,907,2
Ector,0,0.00%,69,100.00%,0,0.00%,69,2
Edwards,16,6.08%,245,93.16%,2,0.76%,263,2
Ellis,298,11.77%,2223,87.83%,10,0.40%,2531,2
El Paso,36,4.96%,689,94.90%,1,0.14%,726,2
Erath,89,7.13%,1146,91.75%,14,1.12%,1249,2
Falls,223,9.62%,2086,90.03%,8,0.35%,2317,2
Fannin,189,8.86%,1928,90.43%,15,0.70%,2132,2
Fayette,640,33.79%,1232,65.05%,22,1.16%,1894,2
Fisher,9,2.36%,370,97.11%,2,0.52%,381,2
Floyd,13,2.83%,435,94.77%,11,2.40%,459,2
Foard,21,6.29%,308,92.22%,5,1.50%,334,2
Fort Bend,80,15.90%,422,83.90%,1,0.20%,503,2
Franklin,48,9.82%,439,89.78%,2,0.41%,489,2
Freestone,521,34.46%,980,64.81%,11,0.73%,1512,2
Frio,4,2.03%,193,97.97%,0,0.00%,197,2
Gaines,1,1.35%,73,98.65%,0,0.00%,74,2
Galveston,357,22.01%,1257,77.50%,8,0.49%,1622,2
Garza,5,3.33%,145,96.67%,0,0.00%,150,2
Gillespie,670,63.09%,296,27.87%,96,9.04%,1062,1
Glasscock,0,0.00%,52,98.11%,1,1.89%,53,2
Goliad,15,6.67%,206,91.56%,4,1.78%,225,2
Gonzales,171,14.06%,1042,85.69%,3,0.25%,1216,2
Gray,23,9.35%,221,89.84%,2,0.81%,246,2
Grayson,466,14.41%,2750,85.06%,17,0.53%,3233,2
Gregg,51,11.78%,379,87.53%,3,0.69%,433,2
Grimes,24,3.85%,596,95.67%,3,0.48%,623,2
Guadalupe,1072,56.87%,798,42.33%,15,0.80%,1885,1
Hale,23,5.60%,387,94.16%,1,0.24%,411,2
Hall,9,1.57%,558,97.38%,6,1.05%,573,2
Hamilton,79,10.65%,662,89.22%,1,0.13%,742,2
Hansford,7,9.33%,67,89.33%,1,1.33%,75,2
Hardeman,27,5.66%,442,92.66%,8,1.68%,477,2
Hardin,29,6.58%,408,92.52%,4,0.91%,441,2
Harris,953,13.81%,5858,84.87%,91,1.32%,6902,2
Harrison,46,7.44%,569,92.07%,3,0.49%,618,2
Hartley,2,7.69%,24,92.31%,0,0.00%,26,2
Haskell,24,3.49%,635,92.43%,28,4.08%,687,2
Hays,14,2.72%,500,97.28%,0,0.00%,514,2
Hemphill,28,12.33%,198,87.22%,1,0.44%,227,2
Henderson,203,13.52%,1269,84.49%,30,2.00%,1502,2
Hidalgo,71,6.25%,1060,93.31%,5,0.44%,1136,2
Hill,208,8.57%,2214,91.19%,6,0.25%,2428,2
Hockley,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Hood,27,5.76%,442,94.24%,0,0.00%,469,2
Hopkins,115,6.07%,1767,93.20%,14,0.74%,1896,2
Houston,183,14.08%,1108,85.23%,9,0.69%,1300,2
Howard,6,1.75%,337,98.25%,0,0.00%,343,2
Hudspeth,0,0.00%,58,100.00%,0,0.00%,58,2
Hunt,184,6.56%,2606,92.97%,13,0.46%,2803,2
Hutchinson,11,11.58%,81,85.26%,3,3.16%,95,2
Irion,0,0.00%,96,98.97%,1,1.03%,97,2
Jack,56,10.73%,451,86.40%,15,2.87%,522,2
Jackson,33,10.86%,259,85.20%,12,3.95%,304,2
Jasper,15,3.60%,400,95.92%,2,0.48%,417,2
Jeff Davis,0,0.00%,78,100.00%,0,0.00%,78,2
Jefferson,129,6.93%,1716,92.21%,16,0.86%,1861,2
Jim Hogg,3,6.82%,41,93.18%,0,0.00%,44,2
Jim Wells,8,3.40%,224,95.32%,3,1.28%,235,2
Johnson,0,0.00%,1630,100.00%,0,0.00%,1630,2
Jones,46,5.12%,847,94.22%,6,0.67%,899,2
Karnes,32,8.47%,345,91.27%,1,0.26%,378,2
Kaufman,250,14.39%,1483,85.38%,4,0.23%,1737,2
Kendall,462,68.65%,206,30.61%,5,0.74%,673,1
Kenedy,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Kent,0,0.00%,94,100.00%,0,0.00%,94,2
Kerr,52,19.26%,216,80.00%,2,0.74%,270,2
Kimble,1,0.70%,140,97.90%,2,1.40%,143,2
King,0,0.00%,13,100.00%,0,0.00%,13,2
Kinney,76,37.44%,127,62.56%,0,0.00%,203,2
Kleberg,19,6.44%,273,92.54%,3,1.02%,295,2
Knox,21,4.62%,429,94.29%,5,1.10%,455,2
Lamar,69,4.82%,1358,94.77%,6,0.42%,1433,2
Lamb,7,7.69%,84,92.31%,0,0.00%,91,2
Lampasas,71,13.40%,457,86.23%,2,0.38%,530,2
La Salle,4,2.33%,168,97.67%,0,0.00%,172,2
Lavaca,301,23.15%,989,76.08%,10,0.77%,1300,2
Lee,285,24.13%,883,74.77%,13,1.10%,1181,2
Leon,248,27.87%,635,71.35%,7,0.79%,890,2
Liberty,122,24.90%,363,74.08%,5,1.02%,490,2
Limestone,208,12.35%,1469,87.23%,7,0.42%,1684,2
Lipscomb,98,23.79%,292,70.87%,22,5.34%,412,2
Live Oak,0,0.00%,267,100.00%,0,0.00%,267,2
Llano,14,3.95%,340,96.05%,0,0.00%,354,2
Loving,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Lubbock,12,2.69%,433,97.09%,1,0.22%,446,2
Lynn,3,1.67%,177,98.33%,0,0.00%,180,2
Madison,122,22.22%,405,73.77%,22,4.01%,549,2
Marion,46,17.49%,217,82.51%,0,0.00%,263,2
Martin,1,1.64%,60,98.36%,0,0.00%,61,2
Mason,13,5.56%,216,92.31%,5,2.14%,234,2
Matagorda,82,16.02%,426,83.20%,4,0.78%,512,2
Maverick,36,23.53%,117,76.47%,0,0.00%,153,2
McCulloch,14,3.06%,441,96.29%,3,0.66%,458,2
McLennan,210,10.17%,1847,89.49%,7,0.34%,2064,2
McMullen,1,0.89%,64,57.14%,47,41.96%,112,2
Medina,383,39.16%,583,59.61%,12,1.23%,978,2
Menard,1,1.41%,70,98.59%,0,0.00%,71,2
Midland,7,5.22%,126,94.03%,1,0.75%,134,2
Milam,109,7.30%,1348,90.23%,37,2.48%,1494,2
Mills,42,7.95%,480,90.91%,6,1.14%,528,2
Mitchell,12,3.88%,295,95.47%,2,0.65%,309,2
Montague,49,4.26%,1078,93.66%,24,2.09%,1151,2
Montgomery,96,14.93%,543,84.45%,4,0.62%,643,2
Moore,0,0.00%,44,100.00%,0,0.00%,44,2
Morris,39,7.85%,457,91.95%,1,0.20%,497,2
Motley,0,0.00%,162,100.00%,0,0.00%,162,2
Nacogdoches,48,4.32%,1055,94.87%,9,0.81%,1112,2
Navarro,315,10.45%,2677,88.82%,22,0.73%,3014,2
Newton,7,2.76%,247,97.24%,0,0.00%,254,2
Nolan,21,5.33%,373,94.67%,0,0.00%,394,2
Nueces,74,8.76%,762,90.18%,9,1.07%,845,2
Ochiltree,6,2.43%,240,97.17%,1,0.40%,247,2
Oldham,21,18.26%,94,81.74%,0,0.00%,115,2
Orange,20,4.81%,392,94.23%,4,0.96%,416,2
Palo Pinto,47,5.48%,796,92.77%,15,1.75%,858,2
Panola,117,10.82%,964,89.18%,0,0.00%,1081,2
Parker,50,4.14%,1125,93.21%,32,2.65%,1207,2
Parmer,12,9.16%,119,90.84%,0,0.00%,131,2
Pecos,13,6.91%,174,92.55%,1,0.53%,188,2
Polk,24,4.26%,536,95.04%,4,0.71%,564,2
Potter,50,9.77%,457,89.26%,5,0.98%,512,2
Presidio,6,2.54%,229,97.03%,1,0.42%,236,2
Rains,30,6.83%,394,89.75%,15,3.42%,439,2
Randall,8,4.15%,185,95.85%,0,0.00%,193,2
Reagan,0,0.00%,40,100.00%,0,0.00%,40,2
Real,12,6.90%,153,87.93%,9,5.17%,174,2
Red River,68,4.86%,1325,94.64%,7,0.50%,1400,2
Reeves,3,1.58%,187,98.42%,0,0.00%,190,2
Refugio,54,18.31%,230,77.97%,11,3.73%,295,2
Roberts,10,10.64%,83,88.30%,1,1.06%,94,2
Robertson,46,7.31%,582,92.53%,1,0.16%,629,2
Rockwall,13,2.81%,446,96.33%,4,0.86%,463,2
Runnels,102,13.16%,663,85.55%,10,1.29%,775,2
Rusk,500,30.28%,1149,69.59%,2,0.12%,1651,2
Sabine,8,2.23%,349,97.49%,1,0.28%,358,2
San Augustine,10,3.88%,246,95.35%,2,0.78%,258,2
San Jacinto,37,16.09%,192,83.48%,1,0.43%,230,2
San Patricio,36,6.21%,538,92.76%,6,1.03%,580,2
San Saba,83,14.09%,505,85.74%,1,0.17%,589,2
Schleicher,3,3.16%,92,96.84%,0,0.00%,95,2
Scurry,3,0.99%,295,97.36%,5,1.65%,303,2
Shackelford,11,6.29%,159,90.86%,5,2.86%,175,2
Shelby,95,5.90%,1510,93.85%,4,0.25%,1609,2
Sherman,5,4.50%,106,95.50%,0,0.00%,111,2
Smith,314,13.94%,1914,84.95%,25,1.11%,2253,2
Somervell,19,11.80%,142,88.20%,0,0.00%,161,2
Starr,0,0.00%,339,100.00%,0,0.00%,339,2
Stephens,10,4.50%,211,95.05%,1,0.45%,222,2
Sterling,6,4.84%,118,95.16%,0,0.00%,124,2
Stonewall,2,1.01%,193,96.98%,4,2.01%,199,2
Sutton,4,2.84%,137,97.16%,0,0.00%,141,2
Swisher,12,4.51%,254,95.49%,0,0.00%,266,2
Tarrant,276,5.70%,4532,93.56%,36,0.74%,4844,2
Taylor,11,1.40%,771,98.22%,3,0.38%,785,2
Terrell,15,12.30%,107,87.70%,0,0.00%,122,2
Terry,1,1.15%,86,98.85%,0,0.00%,87,2
Throckmorton,4,1.69%,233,98.31%,0,0.00%,237,2
Titus,74,10.10%,657,89.63%,2,0.27%,733,2
Tom Green,44,8.07%,496,91.01%,5,0.92%,545,2
Travis,202,10.54%,1702,88.78%,13,0.68%,1917,2
Trinity,31,6.20%,459,91.80%,10,2.00%,500,2
Tyler,16,3.61%,414,93.45%,13,2.93%,443,2
Upshur,46,4.96%,866,93.42%,15,1.62%,927,2
Upton,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Uvalde,13,3.65%,343,96.35%,0,0.00%,356,2
Val Verde,10,4.90%,193,94.61%,1,0.49%,204,2
Van Zandt,91,5.72%,1464,91.96%,37,2.32%,1592,2
Victoria,104,22.41%,358,77.16%,2,0.43%,464,2
Walker,178,25.76%,499,72.21%,14,2.03%,691,2
Waller,83,18.61%,363,81.39%,0,0.00%,446,2
Ward,5,4.42%,107,94.69%,1,0.88%,113,2
Washington,250,30.27%,570,69.01%,6,0.73%,826,2
Webb,47,9.29%,459,90.71%,0,0.00%,506,2
Wharton,158,21.61%,562,76.88%,11,1.50%,731,2
Wheeler,39,10.54%,328,88.65%,3,0.81%,370,2
Wichita,64,7.21%,812,91.44%,12,1.35%,888,2
Wilbarger,12,2.04%,568,96.60%,8,1.36%,588,2
Willacy,0,0.00%,42,100.00%,0,0.00%,42,2
Williamson,248,14.43%,1463,85.11%,8,0.47%,1719,2
Wilson,43,7.72%,512,91.92%,2,0.36%,557,2
Winkler,0,0.00%,7,100.00%,0,0.00%,7,2
Wise,95,7.25%,1207,92.07%,9,0.69%,1311,2
Wood,190,12.38%,1302,84.82%,43,2.80%,1535,2
Yoakum,0,0.00%,22,100.00%,0,0.00%,22,2
Young,18,2.42%,715,96.23%,10,1.35%,743,2
Zapata,12,13.48%,77,86.52%,0,0.00%,89,2
Zavala,6,3.64%,155,93.94%,4,2.42%,165,2
Total,22218,12.40%,155283,86.67%,1660,0.93%,179161,
