County [1],Trump,Trump %,Clinton,Clinton %,Total,
Ochiltree,2628,87.54%,274,9.13%,3002,1
Oldham,850,89.66%,78,8.23%,948,1
Orange,25513,79.73%,5735,17.92%,32000,1
Palo Pinto,8284,80.66%,1708,16.63%,10270,1
Panola,8445,81.08%,1835,17.62%,10416,1
Parker,46473,81.79%,8344,14.69%,56817,1
Parmer,1915,77.66%,485,19.67%,2466,1
Pecos,2468,58.97%,1554,37.13%,4185,1
Polk,15176,76.45%,4187,21.09%,19852,1
Potter,19630,68.51%,7657,26.73%,28651,1
Presidio,652,29.53%,1458,66.03%,2208,2
Rains,3968,84.41%,628,13.36%,4701,1
Randall,43462,80.03%,8367,15.41%,54305,1
Reagan,709,78.43%,167,18.47%,904,1
Real,1382,82.21%,262,15.59%,1681,1
Red River,3926,76.07%,1149,22.26%,5161,1
Reeves,1417,44.50%,1659,52.10%,3184,2
Refugio,1830,62.08%,1034,35.07%,2948,1
Roberts,524,94.58%,20,3.61%,554,1
Robertson,4668,66.35%,2203,31.31%,7035,1
Rockwall,28451,71.22%,9655,24.17%,39948,1
Runnels,3250,85.93%,453,11.98%,3782,1
Rusk,14675,77.26%,3935,20.72%,18994,1
Sabine,3998,85.96%,614,13.20%,4651,1
San Augustine,2622,73.47%,910,25.50%,3569,1
San Jacinto,8059,77.92%,2038,19.70%,10343,1
San Patricio,13030,60.17%,7871,36.35%,21656,1
San Saba,2025,85.91%,293,12.43%,2357,1
Schleicher,821,77.53%,208,19.64%,1059,1
Scurry,4410,83.38%,733,13.86%,5289,1
Shackelford,1378,91.62%,103,6.85%,1504,1
Shelby,7179,79.01%,1758,19.35%,9086,1
Sherman,807,86.31%,96,10.27%,935,1
Smith,58930,69.52%,22300,26.31%,84768,1
Somervell,3206,82.27%,541,13.88%,3897,1
Starr,2224,18.94%,9289,79.12%,11740,2
Stephens,3034,87.66%,348,10.05%,3461,1
Sterling,549,86.73%,70,11.06%,633,1
Stonewall,555,79.17%,135,19.26%,701,1
Sutton,1075,75.92%,313,22.10%,1416,1
Swisher,1671,75.82%,462,20.96%,2204,1
Tarrant,345921,51.74%,288392,43.14%,668514,1
Taylor,33250,72.66%,10085,22.04%,45759,1
Terrell,288,65.75%,140,31.96%,438,1
Terry,2459,73.29%,753,22.44%,3355,1
Throckmorton,715,88.49%,84,10.40%,808,1
Titus,6511,69.13%,2597,27.57%,9419,1
Tom Green,27494,71.45%,9173,23.84%,38479,1
Travis,127209,27.14%,308260,65.77%,468720,2
Trinity,4737,79.15%,1154,19.28%,5985,1
Tyler,6624,82.63%,1248,15.57%,8016,1
Upshur,13209,82.49%,2380,14.86%,16013,1
Upton,1007,74.76%,286,21.23%,1347,1
Uvalde,4835,53.94%,3867,43.14%,8964,1
Val Verde,5890,43.25%,6964,51.14%,13617,2
Van Zandt,18473,84.39%,2799,12.79%,21890,1
Victoria,21275,68.36%,8866,28.49%,31123,1
Walker,12884,65.08%,6091,30.77%,19796,1
Waller,10531,62.74%,5748,34.25%,16784,1
Ward,2547,73.93%,783,22.73%,3445,1
Washington,10945,73.81%,3382,22.81%,14828,1
Webb,12947,22.75%,42307,74.35%,56905,2
Wharton,10149,68.89%,4238,28.77%,14732,1
Wheeler,2087,90.50%,194,8.41%,2306,1
Wichita,27631,72.49%,8770,23.01%,38119,1
Wilbarger,3166,77.13%,809,19.71%,4105,1
Willacy,1547,30.36%,3422,67.16%,5095,2
Williamson,104175,51.30%,84468,41.59%,203081,1
Wilson,13998,72.04%,4790,24.65%,19432,1
Winkler,1403,74.79%,420,22.39%,1876,1
Wise,20670,83.43%,3412,13.77%,24776,1
Wood,15700,83.84%,2630,14.04%,18727,1
Yoakum,1797,78.03%,426,18.50%,2303,1
Young,6601,85.65%,876,11.37%,7707,1
Zapata,1029,32.75%,2063,65.66%,3142,2
Zavala,694,20.44%,2636,77.62%,3396,2
