County,Hutchison,%,Radnofsky,%,Jameson,%,Total,Winner
Morris,1416,49.63%,1393,48.83%,44,1.54%,2853,1
Motley,302,78.85%,73,19.06%,8,2.09%,383,1
Nacogdoches,8452,69.83%,3432,28.35%,220,1.82%,12104,1
Navarro,7368,68.76%,3147,29.37%,201,1.88%,10716,1
Newton,1503,52.22%,1326,46.07%,49,1.70%,2878,1
Nolan,2097,67.08%,960,30.71%,69,2.21%,3126,1
Nueces,39223,59.56%,25181,38.24%,1449,2.20%,65853,1
Ochiltree,1546,90.67%,131,7.68%,28,1.64%,1705,1
Oldham,451,83.36%,77,14.23%,13,2.40%,541,1
Orange,10437,60.64%,6490,37.71%,284,1.65%,17211,1
Palo Pinto,4310,68.89%,1807,28.88%,139,2.22%,6256,1
Panola,3921,67.62%,1791,30.88%,87,1.50%,5799,1
Parker,20045,75.98%,5753,21.81%,585,2.22%,26383,1
Parmer,1471,82.36%,284,15.90%,31,1.74%,1786,1
Pecos,1879,61.95%,1091,35.97%,63,2.08%,3033,1
Polk,7488,64.06%,3899,33.36%,302,2.58%,11689,1
Potter,11762,69.95%,4600,27.35%,454,2.70%,16816,1
Presidio,332,37.05%,544,60.71%,20,2.23%,896,2
Rains,1873,68.28%,799,29.13%,71,2.59%,2743,1
Randall,24556,80.71%,5241,17.23%,628,2.06%,30425,1
Reagan,510,83.33%,88,14.38%,14,2.29%,612,1
Real,797,76.20%,207,19.79%,42,4.02%,1046,1
Red River,1826,58.47%,1244,39.83%,53,1.70%,3123,1
Reeves,943,47.70%,996,50.38%,38,1.92%,1977,2
Refugio,1245,66.01%,605,32.08%,36,1.91%,1886,1
Roberts,267,90.51%,25,8.47%,3,1.02%,295,1
Robertson,2579,52.41%,2277,46.27%,65,1.32%,4921,1
Rockwall,12054,77.87%,3159,20.41%,267,1.72%,15480,1
Runnels,1839,77.76%,475,20.08%,51,2.16%,2365,1
Rusk,8281,72.12%,2980,25.95%,222,1.93%,11483,1
Sabine,1942,64.69%,1006,33.51%,54,1.80%,3002,1
San Augustine,1361,56.80%,994,41.49%,41,1.71%,2396,1
San Jacinto,4006,62.37%,2254,35.09%,163,2.54%,6423,1
San Patricio,7488,59.26%,4920,38.94%,227,1.80%,12635,1
San Saba,1139,75.73%,332,22.07%,33,2.19%,1504,1
Schleicher,481,70.42%,190,27.82%,12,1.76%,683,1
Scurry,2090,76.50%,580,21.23%,62,2.27%,2732,1
Shackelford,738,81.01%,156,17.12%,17,1.87%,911,1
Shelby,3901,66.30%,1902,32.32%,81,1.38%,5884,1
Sherman,509,84.97%,79,13.19%,11,1.84%,599,1
Smith,31499,74.07%,10359,24.36%,667,1.57%,42525,1
Somervell,1853,74.51%,577,23.20%,57,2.29%,2487,1
Starr,1235,20.49%,4717,78.26%,75,1.24%,6027,2
Stephens,1559,74.95%,486,23.37%,35,1.68%,2080,1
Sterling,270,87.10%,39,12.58%,1,0.32%,310,1
Stonewall,298,55.91%,225,42.21%,10,1.88%,533,1
Sutton,791,72.84%,281,25.87%,14,1.29%,1086,1
Swisher,955,58.77%,634,39.02%,36,2.22%,1625,1
Tarrant,203994,63.20%,112324,34.80%,6442,2.00%,322760,1
Taylor,21917,78.67%,5411,19.42%,531,1.91%,27859,1
Terrell,283,57.99%,191,39.14%,14,2.87%,488,1
Terry,1770,71.49%,675,27.26%,31,1.25%,2476,1
Throckmorton,315,69.69%,128,28.32%,9,1.99%,452,1
Titus,3489,60.42%,2180,37.75%,106,1.84%,5775,1
Tom Green,15864,74.75%,4887,23.03%,472,2.22%,21223,1
Travis,95754,42.80%,119087,53.22%,8909,3.98%,223750,2
Trinity,2496,59.19%,1635,38.77%,86,2.04%,4217,1
Tyler,3159,61.04%,1892,36.56%,124,2.40%,5175,1
Upshur,6490,68.94%,2746,29.17%,178,1.89%,9414,1
Upton,491,81.02%,107,17.66%,8,1.32%,606,1
Uvalde,3387,64.25%,1780,33.76%,105,1.99%,5272,1
Val Verde,3718,52.99%,3161,45.05%,137,1.95%,7016,1
Van Zandt,8868,72.08%,3189,25.92%,246,2.00%,12303,1
Victoria,12829,69.59%,5286,28.67%,320,1.74%,18435,1
Walker,7356,66.98%,3337,30.38%,290,2.64%,10983,1
Waller,5119,64.80%,2609,33.03%,172,2.18%,7900,1
Ward,1411,70.27%,539,26.84%,58,2.89%,2008,1
Washington,6928,74.20%,2150,23.03%,259,2.77%,9337,1
Webb,7117,39.77%,10522,58.80%,255,1.43%,17894,2
Wharton,5710,66.04%,2794,32.32%,142,1.64%,8646,1
Wheeler,996,78.80%,235,18.59%,33,2.61%,1264,1
Wichita,18884,70.22%,7465,27.76%,545,2.03%,26894,1
Wilbarger,2392,72.05%,863,25.99%,65,1.96%,3320,1
Willacy,932,47.89%,976,50.15%,38,1.95%,1946,2
Williamson,53215,63.78%,27289,32.71%,2933,3.52%,83437,1
Wilson,7190,67.14%,3275,30.58%,244,2.28%,10709,1
Winkler,1075,73.53%,353,24.15%,34,2.33%,1462,1
Wise,8908,73.25%,2995,24.63%,258,2.12%,12161,1
Wood,8256,73.68%,2739,24.44%,210,1.87%,11205,1
Yoakum,1257,80.42%,282,18.04%,24,1.54%,1563,1
Young,3496,76.07%,1026,22.32%,74,1.61%,4596,1
Zapata,409,36.00%,703,61.88%,24,2.11%,1136,2
Zavala,445,27.13%,1173,71.52%,22,1.34%,1640,2
ALL COUNTIES,2661789,61.69%,1555202,36.04%,97672,2.26%,4314663,1
