County,Watson,%,Sheppard,%,Wilson,%,Starr,%,Total,Winner
Childress,100,4.34%,2201,95.45%,0,0.00%,5,0.22%,2306,2
Clay,85,3.59%,2276,96.20%,5,0.21%,0,0.00%,2366,2
Cochran,31,4.19%,700,94.72%,0,0.00%,8,1.08%,739,2
Coke,37,3.83%,923,95.45%,1,0.10%,6,0.62%,967,2
Coleman,155,4.81%,3063,95.09%,0,0.00%,3,0.09%,3221,2
Collin,341,5.67%,5638,93.79%,4,0.07%,28,0.47%,6011,2
Collingsworth,119,5.46%,2057,94.44%,0,0.00%,2,0.09%,2178,2
Colorado,198,55.00%,157,43.61%,1,0.28%,4,1.11%,360,1
Comal,293,14.07%,1784,85.69%,5,0.24%,0,0.00%,2082,2
Comanche,0,0.00%,2587,100.00%,0,0.00%,0,0.00%,2587,2
Concho,58,4.96%,1112,95.04%,0,0.00%,0,0.00%,1170,2
Cooke,360,8.16%,4042,91.61%,5,0.11%,5,0.11%,4412,2
Coryell,69,3.11%,2144,96.71%,4,0.18%,0,0.00%,2217,2
Cottle,53,3.97%,1272,95.35%,5,0.37%,4,0.30%,1334,2
Crane,8,1.24%,638,98.76%,0,0.00%,0,0.00%,646,2
Crockett,29,9.63%,272,90.37%,0,0.00%,0,0.00%,301,2
Crosby,82,4.39%,1784,95.61%,0,0.00%,0,0.00%,1866,2
Culberson,13,4.80%,258,95.20%,0,0.00%,0,0.00%,271,2
Dallam,127,7.54%,1518,90.14%,38,2.26%,1,0.06%,1684,2
Dallas,5305,10.70%,44032,88.84%,119,0.24%,110,0.22%,49566,2
Dawson,89,4.47%,1897,95.37%,2,0.10%,1,0.05%,1989,2
Deaf Smith,80,5.75%,1306,93.82%,6,0.43%,0,0.00%,1392,2
Delta,43,2.80%,1495,97.20%,0,0.00%,0,0.00%,1538,2
Denton,283,5.07%,5284,94.61%,11,0.20%,7,0.13%,5585,2
DeWitt,225,8.94%,2288,90.87%,2,0.08%,3,0.12%,2518,2
Dickens,61,3.76%,1559,96.18%,0,0.00%,1,0.06%,1621,2
Dimmit,155,15.24%,852,83.78%,10,0.98%,0,0.00%,1017,2
Donley,75,4.49%,1583,94.73%,12,0.72%,1,0.06%,1671,2
Duval,129,4.23%,2920,95.71%,2,0.07%,0,0.00%,3051,2
Eastland,398,7.33%,5010,92.27%,6,0.11%,16,0.29%,5430,2
Ector,31,3.37%,886,96.30%,3,0.33%,0,0.00%,920,2
Edwards,75,14.31%,446,85.11%,3,0.57%,0,0.00%,524,2
Ellis,214,3.58%,5759,96.27%,3,0.05%,6,0.10%,5982,2
El Paso,1050,7.72%,12458,91.64%,67,0.49%,19,0.14%,13594,2
Erath,178,5.88%,2843,93.92%,3,0.10%,3,0.10%,3027,2
Falls,83,2.30%,3521,97.64%,1,0.03%,1,0.03%,3606,2
Fannin,270,4.83%,5314,95.08%,0,0.00%,5,0.09%,5589,2
Fayette,279,7.99%,3210,91.87%,3,0.09%,2,0.06%,3494,2
Fisher,60,2.72%,2140,97.10%,0,0.00%,4,0.18%,2204,2
Floyd,124,5.92%,1963,93.74%,6,0.29%,1,0.05%,2094,2
Foard,52,5.18%,950,94.62%,1,0.10%,1,0.10%,1004,2
Fort Bend,80,2.87%,2705,97.02%,0,0.00%,3,0.11%,2788,2
Franklin,52,5.18%,950,94.72%,0,0.00%,1,0.10%,1003,2
Freestone,84,4.07%,1979,95.84%,0,0.00%,2,0.10%,2065,2
Frio,117,9.86%,1070,90.14%,0,0.00%,0,0.00%,1187,2
Gaines,21,2.90%,701,96.82%,0,0.00%,2,0.28%,724,2
Galveston,963,8.70%,10074,90.97%,25,0.23%,12,0.11%,11074,2
Garza,81,8.54%,863,91.03%,3,0.32%,1,0.11%,948,2
Gillespie,1204,49.63%,1170,48.23%,46,1.90%,6,0.25%,2426,1
Glasscock,20,6.90%,269,92.76%,0,0.00%,1,0.34%,290,2
Goliad,281,18.55%,1234,81.45%,0,0.00%,0,0.00%,1515,2
Gonzales,138,4.52%,2914,95.48%,0,0.00%,0,0.00%,3052,2
Gray,320,6.57%,4528,92.98%,18,0.37%,4,0.08%,4870,2
Grayson,593,5.11%,10990,94.76%,4,0.03%,11,0.09%,11598,2
Gregg,341,4.85%,6688,95.08%,1,0.01%,4,0.06%,7034,2
Grimes,48,2.41%,1941,97.44%,1,0.05%,2,0.10%,1992,2
Guadalupe,996,23.11%,3305,76.68%,4,0.09%,5,0.12%,4310,2
Hale,244,7.01%,3229,92.81%,2,0.06%,4,0.11%,3479,2
Hall,66,2.87%,2222,96.48%,10,0.43%,5,0.22%,2303,2
Hamilton,95,4.40%,2062,95.51%,1,0.05%,1,0.05%,2159,2
Hansford,46,4.97%,865,93.51%,8,0.86%,6,0.65%,925,2
Hardeman,113,5.16%,2075,94.75%,0,0.00%,2,0.09%,2190,2
Hardin,0,0.00%,2375,100.00%,0,0.00%,0,0.00%,2375,2
Harris,4134,6.13%,63167,93.68%,53,0.08%,75,0.11%,67429,2
Harrison,101,2.75%,3570,97.12%,0,0.00%,5,0.14%,3676,2
Hartley,34,5.50%,583,94.34%,1,0.16%,0,0.00%,618,2
Haskell,89,3.10%,2776,96.62%,2,0.07%,6,0.21%,2873,2
Hays,100,4.47%,2127,95.00%,12,0.54%,0,0.00%,2239,2
Hemphill,77,6.55%,1094,93.03%,5,0.43%,0,0.00%,1176,2
Henderson,125,3.54%,3407,96.38%,0,0.00%,3,0.08%,3535,2
Hidalgo,2018,20.17%,7818,78.16%,155,1.55%,12,0.12%,10003,2
Hill,147,2.94%,4853,97.06%,0,0.00%,0,0.00%,5000,2
Hockley,55,3.06%,1730,96.38%,1,0.06%,9,0.50%,1795,2
Hood,58,5.24%,1048,94.76%,0,0.00%,0,0.00%,1106,2
Hopkins,159,5.25%,2869,94.69%,0,0.00%,2,0.07%,3030,2
Houston,68,2.68%,2469,97.28%,0,0.00%,1,0.04%,2538,2
Howard,105,3.25%,3123,96.57%,3,0.09%,3,0.09%,3234,2
Hudspeth,10,2.54%,384,97.46%,0,0.00%,0,0.00%,394,2
Hunt,232,3.76%,5924,96.11%,5,0.08%,3,0.05%,6164,2
Hutchinson,272,9.39%,2617,90.37%,1,0.03%,6,0.21%,2896,2
Irion,18,3.31%,521,95.95%,0,0.00%,4,0.74%,543,2
Jack,103,7.30%,1303,92.35%,2,0.14%,3,0.21%,1411,2
Jackson,100,9.05%,1002,90.68%,3,0.27%,0,0.00%,1105,2
Jasper,63,3.95%,1531,95.93%,0,0.00%,2,0.13%,1596,2
Jeff Davis,6,1.80%,327,98.20%,0,0.00%,0,0.00%,333,2
Jefferson,1369,6.58%,19387,93.19%,18,0.09%,30,0.14%,20804,2
Jim Hogg,28,3.69%,730,96.31%,0,0.00%,0,0.00%,758,2
Jim Wells,152,7.35%,1910,92.36%,4,0.19%,2,0.10%,2068,2
Johnson,180,3.88%,4452,95.87%,9,0.19%,3,0.06%,4644,2
Jones,176,4.74%,3531,95.12%,0,0.00%,5,0.13%,3712,2
Karnes,153,6.08%,2363,93.84%,2,0.08%,0,0.00%,2518,2
Kaufman,149,3.57%,4028,96.43%,0,0.00%,0,0.00%,4177,2
Kendall,606,55.70%,477,43.84%,4,0.37%,1,0.09%,1088,1
Kenedy,7,5.56%,119,94.44%,0,0.00%,0,0.00%,126,2
Kent,9,1.60%,554,98.23%,0,0.00%,1,0.18%,564,2
Kerr,656,25.44%,1917,74.33%,5,0.19%,1,0.04%,2579,2
Kimble,55,6.93%,739,93.07%,0,0.00%,0,0.00%,794,2
King,13,5.80%,211,94.20%,0,0.00%,0,0.00%,224,2
Kinney,127,22.36%,441,77.64%,0,0.00%,0,0.00%,568,2
Kleberg,71,4.16%,1596,93.44%,39,2.28%,2,0.12%,1708,2
Knox,96,4.83%,1888,95.02%,0,0.00%,3,0.15%,1987,2
Lamar,197,3.31%,5741,96.47%,6,0.10%,7,0.12%,5951,2
Lamb,192,7.36%,2408,92.30%,4,0.15%,5,0.19%,2609,2
Lampasas,50,3.18%,1520,96.82%,0,0.00%,0,0.00%,1570,2
La Salle,46,5.84%,742,94.16%,0,0.00%,0,0.00%,788,2
Lavaca,185,6.94%,2478,92.91%,2,0.07%,2,0.07%,2667,2
Lee,110,7.61%,1334,92.32%,0,0.00%,1,0.07%,1445,2
Leon,62,3.40%,1764,96.60%,0,0.00%,0,0.00%,1826,2
Liberty,151,4.94%,2895,94.73%,0,0.00%,10,0.33%,3056,2
Limestone,97,2.40%,3943,97.55%,1,0.02%,1,0.02%,4042,2
Lipscomb,225,17.81%,1032,81.71%,3,0.24%,3,0.24%,1263,2
Live Oak,123,10.38%,1047,88.35%,13,1.10%,2,0.17%,1185,2
Llano,56,4.23%,1269,95.77%,0,0.00%,0,0.00%,1325,2
Loving,9,6.38%,132,93.62%,0,0.00%,0,0.00%,141,2
Lubbock,616,7.94%,7139,91.96%,4,0.05%,4,0.05%,7763,2
Lynn,93,4.25%,2083,95.29%,4,0.18%,6,0.27%,2186,2
Madison,24,2.02%,1162,97.98%,0,0.00%,0,0.00%,1186,2
Marion,96,9.11%,958,90.89%,0,0.00%,0,0.00%,1054,2
Martin,44,5.09%,814,94.21%,5,0.58%,1,0.12%,864,2
Mason,115,10.48%,981,89.43%,0,0.00%,1,0.09%,1097,2
Matagorda,272,12.69%,1871,87.27%,0,0.00%,1,0.05%,2144,2
Maverick,98,9.00%,959,88.06%,31,2.85%,1,0.09%,1089,2
McCulloch,147,6.89%,1979,92.74%,2,0.09%,6,0.28%,2134,2
McLennan,643,4.72%,12896,94.57%,69,0.51%,28,0.21%,13636,2
McMullen,19,6.27%,284,93.73%,0,0.00%,0,0.00%,303,2
Medina,708,23.24%,2338,76.73%,1,0.03%,0,0.00%,3047,2
Menard,80,8.94%,811,90.61%,4,0.45%,0,0.00%,895,2
Midland,90,6.29%,1337,93.50%,3,0.21%,0,0.00%,1430,2
Milam,123,3.34%,3546,96.28%,4,0.11%,10,0.27%,3683,2
Mills,85,7.50%,1048,92.50%,0,0.00%,0,0.00%,1133,2
Mitchell,141,6.32%,2087,93.50%,1,0.04%,3,0.13%,2232,2
Montague,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Montgomery,63,2.40%,2565,97.57%,0,0.00%,1,0.04%,2629,2
Moore,33,5.20%,601,94.65%,0,0.00%,1,0.16%,635,2
Morris,31,2.46%,1231,97.54%,0,0.00%,0,0.00%,1262,2
Motley,37,3.99%,891,96.01%,0,0.00%,0,0.00%,928,2
Nacogdoches,88,2.05%,4198,97.90%,0,0.00%,2,0.05%,4288,2
Navarro,153,2.51%,5943,97.46%,1,0.02%,1,0.02%,6098,2
Newton,66,5.38%,1160,94.62%,0,0.00%,0,0.00%,1226,2
Nolan,147,4.59%,3046,95.16%,7,0.22%,1,0.03%,3201,2
Nueces,497,6.35%,7254,92.74%,64,0.82%,7,0.09%,7822,2
Ochiltree,53,4.23%,1164,92.82%,36,2.87%,1,0.08%,1254,2
Oldham,12,2.54%,455,96.40%,5,1.06%,0,0.00%,472,2
Orange,85,3.58%,2283,96.21%,2,0.08%,3,0.13%,2373,2
Palo Pinto,181,5.83%,2911,93.72%,4,0.13%,10,0.32%,3106,2
Panola,95,3.74%,2425,95.36%,1,0.04%,22,0.87%,2543,2
Parker,187,6.51%,2671,92.94%,5,0.17%,11,0.38%,2874,2
Parmer,98,8.98%,989,90.65%,2,0.18%,2,0.18%,1091,2
Pecos,90,5.90%,1432,93.90%,2,0.13%,1,0.07%,1525,2
Polk,60,3.40%,1703,96.60%,0,0.00%,0,0.00%,1763,2
Potter,597,7.86%,6891,90.71%,100,1.32%,9,0.12%,7597,2
Presidio,33,3.11%,1024,96.51%,3,0.28%,1,0.09%,1061,2
Rains,41,5.41%,715,94.33%,0,0.00%,2,0.26%,758,2
Randall,61,3.35%,1757,96.43%,3,0.16%,1,0.05%,1822,2
Reagan,30,5.56%,510,94.44%,0,0.00%,0,0.00%,540,2
Real,39,14.55%,229,85.45%,0,0.00%,0,0.00%,268,2
Red River,93,3.22%,2796,96.78%,0,0.00%,0,0.00%,2889,2
Reeves,46,3.70%,1197,96.22%,0,0.00%,1,0.08%,1244,2
Refugio,193,14.76%,1115,85.24%,0,0.00%,0,0.00%,1308,2
Roberts,23,5.03%,434,94.97%,0,0.00%,0,0.00%,457,2
Robertson,46,1.68%,2686,98.32%,0,0.00%,0,0.00%,2732,2
Rockwall,14,1.18%,1177,98.82%,0,0.00%,0,0.00%,1191,2
Runnels,159,4.79%,3147,94.90%,6,0.18%,4,0.12%,3316,2
Rusk,248,4.14%,5737,95.81%,2,0.03%,1,0.02%,5988,2
Sabine,45,3.39%,1281,96.53%,0,0.00%,1,0.08%,1327,2
San Augustine,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
San Jacinto,20,3.19%,606,96.81%,0,0.00%,0,0.00%,626,2
San Patricio,218,8.20%,2422,91.16%,15,0.56%,2,0.08%,2657,2
San Saba,71,4.29%,1585,95.71%,0,0.00%,0,0.00%,1656,2
Schleicher,35,6.21%,528,93.62%,0,0.00%,1,0.18%,564,2
Scurry,69,3.57%,1863,96.38%,0,0.00%,1,0.05%,1933,2
Shackelford,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Shelby,71,2.14%,3241,97.62%,0,0.00%,8,0.24%,3320,2
Sherman,24,3.97%,581,96.03%,0,0.00%,0,0.00%,605,2
Smith,379,4.84%,7450,95.09%,1,0.01%,5,0.06%,7835,2
Somervell,35,9.23%,341,89.97%,1,0.26%,2,0.53%,379,2
Starr,290,11.10%,2315,88.63%,2,0.08%,5,0.19%,2612,2
Stephens,145,5.43%,2518,94.24%,5,0.19%,4,0.15%,2672,2
Sterling,9,2.22%,397,97.78%,0,0.00%,0,0.00%,406,2
Stonewall,34,3.20%,1028,96.71%,0,0.00%,1,0.09%,1063,2
Sutton,37,8.01%,425,91.99%,0,0.00%,0,0.00%,462,2
Swisher,80,5.00%,1517,94.87%,2,0.13%,0,0.00%,1599,2
Tarrant,2207,6.55%,31445,93.31%,7,0.02%,41,0.12%,33700,2
Taylor,315,4.61%,6515,95.30%,3,0.04%,3,0.04%,6836,2
Terrell,44,10.60%,371,89.40%,0,0.00%,0,0.00%,415,2
Terry,51,2.99%,1648,96.66%,5,0.29%,1,0.06%,1705,2
Throckmorton,44,4.10%,1028,95.90%,0,0.00%,0,0.00%,1072,2
Titus,52,2.66%,1903,97.19%,1,0.05%,2,0.10%,1958,2
Tom Green,382,6.91%,5101,92.31%,30,0.54%,13,0.24%,5526,2
Travis,515,3.93%,12457,95.03%,113,0.86%,23,0.18%,13108,2
Trinity,56,4.09%,1313,95.84%,0,0.00%,1,0.07%,1370,2
Tyler,44,3.67%,1150,95.83%,6,0.50%,0,0.00%,1200,2
Upshur,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,0
Upton,47,5.61%,791,94.39%,0,0.00%,0,0.00%,838,2
Uvalde,200,9.56%,1891,90.39%,1,0.05%,0,0.00%,2092,2
Val Verde,274,15.41%,1500,84.36%,3,0.17%,1,0.06%,1778,2
Van Zandt,160,4.52%,3357,94.94%,8,0.23%,11,0.31%,3536,2
Victoria,190,7.93%,2206,92.03%,1,0.04%,0,0.00%,2397,2
Walker,22,1.26%,1719,98.51%,2,0.11%,2,0.11%,1745,2
Waller,45,4.54%,944,95.26%,1,0.10%,1,0.10%,991,2
Ward,83,6.80%,1136,93.04%,2,0.16%,0,0.00%,1221,2
Washington,74,3.41%,2095,96.45%,0,0.00%,3,0.14%,2172,2
Webb,398,9.16%,3945,90.84%,0,0.00%,0,0.00%,4343,2
Wharton,181,5.32%,3211,94.41%,4,0.12%,5,0.15%,3401,2
Wheeler,175,6.55%,2490,93.22%,1,0.04%,5,0.19%,2671,2
Wichita,744,6.97%,9906,92.74%,11,0.10%,20,0.19%,10681,2
Wilbarger,119,3.30%,3474,96.29%,12,0.33%,3,0.08%,3608,2
Willacy,220,15.91%,1152,83.30%,11,0.80%,0,0.00%,1383,2
Williamson,185,3.41%,5238,96.46%,4,0.07%,3,0.06%,5430,2
Wilson,150,5.24%,2710,94.66%,0,0.00%,3,0.10%,2863,2
Winkler,54,5.40%,939,93.90%,3,0.30%,4,0.40%,1000,2
Wise,209,6.77%,2872,93.10%,1,0.03%,3,0.10%,3085,2
Wood,138,4.63%,2837,95.14%,1,0.03%,6,0.20%,2982,2
Yoakum,15,5.84%,237,92.22%,3,1.17%,2,0.78%,257,2
Young,171,5.09%,3181,94.76%,3,0.09%,2,0.06%,3357,2
Zapata,27,8.49%,291,91.51%,0,0.00%,0,0.00%,318,2
Zavala,112,10.96%,906,88.65%,2,0.20%,2,0.20%,1022,2
Total,59384,7.11%,773574,92.57%,1773,0.21%,958,0.11%,835689,
