County,Hutchison,%,Fisher,%,Blondeau,%,Total,Winner
Coleman,1871,61.14%,1176,38.43%,13,0.42%,3060,1
Collin,67442,74.82%,21866,24.26%,828,0.92%,90136,1
Collingsworth,820,64.67%,444,35.02%,4,0.32%,1268,1
Colorado,3538,62.14%,2122,37.27%,34,0.60%,5694,1
Comal,14032,73.13%,4950,25.80%,205,1.07%,19187,1
Comanche,2051,53.78%,1753,45.96%,10,0.26%,3814,1
Concho,562,63.72%,316,35.83%,4,0.45%,882,1
Cooke,6915,68.54%,3113,30.86%,61,0.60%,10089,1
Coryell,5699,63.86%,3157,35.38%,68,0.76%,8924,1
Cottle,346,50.81%,331,48.60%,4,0.59%,681,1
Crane,1100,73.73%,381,25.54%,11,0.74%,1492,1
Crockett,860,68.97%,379,30.39%,8,0.64%,1247,1
Crosby,950,59.90%,628,39.60%,8,0.50%,1586,1
Culberson,320,65.84%,163,33.54%,3,0.62%,486,1
Dallam,866,76.10%,265,23.29%,7,0.62%,1138,1
Dallas,267962,58.82%,183437,40.26%,4197,0.92%,455596,1
Dawson,2449,70.23%,1025,29.39%,13,0.37%,3487,1
Deaf Smith,2984,75.91%,936,23.81%,11,0.28%,3931,1
Delta,746,51.13%,704,48.25%,9,0.62%,1459,1
Denton,52259,70.55%,20975,28.32%,842,1.14%,74076,1
DeWitt,3390,70.19%,1415,29.30%,25,0.52%,4830,1
Dickens,534,54.49%,442,45.10%,4,0.41%,980,1
Dimmit,737,31.12%,1626,68.67%,5,0.21%,2368,2
Donley,1050,74.31%,359,25.41%,4,0.28%,1413,1
Duval,621,18.39%,2745,81.31%,10,0.30%,3376,2
Eastland,3656,62.74%,2145,36.81%,26,0.45%,5827,1
Ector,16837,73.33%,5947,25.90%,176,0.77%,22960,1
Edwards,529,72.37%,195,26.68%,7,0.96%,731,1
Ellis,15772,64.47%,8500,34.75%,191,0.78%,24463,1
El Paso,49029,54.23%,40620,44.93%,757,0.84%,90406,1
Erath,4802,61.00%,3029,38.48%,41,0.52%,7872,1
Falls,1991,52.92%,1757,46.70%,14,0.37%,3762,1
Fannin,3842,53.68%,3272,45.72%,43,0.60%,7157,1
Fayette,4551,64.84%,2438,34.73%,30,0.43%,7019,1
Fisher,637,39.49%,973,60.32%,3,0.19%,1613,2
Floyd,1793,64.71%,976,35.22%,2,0.07%,2771,1
Foard,248,49.01%,256,50.59%,2,0.40%,506,2
Fort Bend,43374,65.30%,22650,34.10%,400,0.60%,66424,1
Franklin,1524,59.35%,1037,40.38%,7,0.27%,2568,1
Freestone,2942,59.31%,2000,40.32%,18,0.36%,4960,1
Frio,1478,48.08%,1579,51.37%,17,0.55%,3074,2
Gaines,2067,76.16%,634,23.36%,13,0.48%,2714,1
Galveston,35501,56.20%,27086,42.88%,582,0.92%,63169,1
Garza,952,73.91%,331,25.70%,5,0.39%,1288,1
Gillespie,5450,80.36%,1266,18.67%,66,0.97%,6782,1
Glasscock,351,83.77%,68,16.23%,0,0.00%,419,1
Goliad,1311,63.98%,723,35.29%,15,0.73%,2049,1
Gonzales,2749,61.84%,1668,37.53%,28,0.63%,4445,1
Gray,6597,79.73%,1630,19.70%,47,0.57%,8274,1
Grayson,17004,62.67%,9917,36.55%,211,0.78%,27132,1
Gregg,21272,69.52%,9150,29.90%,177,0.58%,30599,1
Grimes,2505,57.19%,1852,42.28%,23,0.53%,4380,1
Guadalupe,12314,68.92%,5357,29.98%,196,1.10%,17867,1
Hale,5852,75.13%,1906,24.47%,31,0.40%,7789,1
Hall,743,61.51%,463,38.33%,2,0.17%,1208,1
Hamilton,1523,58.99%,1043,40.40%,16,0.62%,2582,1
Hansford,1558,88.42%,200,11.35%,4,0.23%,1762,1
Hardeman,742,56.13%,577,43.65%,3,0.23%,1322,1
Hardin,6742,59.24%,4536,39.86%,102,0.90%,11380,1
Harris,372540,60.07%,241989,39.02%,5598,0.90%,620127,1
Harrison,9703,59.82%,6433,39.66%,85,0.52%,16221,1
Hartley,1136,78.83%,300,20.82%,5,0.35%,1441,1
Haskell,1056,49.72%,1063,50.05%,5,0.24%,2124,2
Hays,10573,58.34%,7277,40.15%,273,1.51%,18123,1
Hemphill,1128,80.92%,260,18.65%,6,0.43%,1394,1
Henderson,11553,59.18%,7854,40.23%,116,0.59%,19523,1
Hidalgo,23851,41.15%,33853,58.41%,257,0.44%,57961,2
Hill,4430,56.49%,3376,43.05%,36,0.46%,7842,1
Hockley,4028,75.12%,1306,24.36%,28,0.52%,5362,1
Hood,7322,62.81%,4247,36.43%,88,0.75%,11657,1
Hopkins,4388,56.74%,3314,42.86%,31,0.40%,7733,1
Houston,3697,56.86%,2773,42.65%,32,0.49%,6502,1
Howard,4775,64.07%,2629,35.27%,49,0.66%,7453,1
Hudspeth,441,65.43%,218,32.34%,15,2.23%,674,1
Hunt,11217,62.53%,6586,36.72%,135,0.75%,17938,1
Hutchinson,6541,78.73%,1737,20.91%,30,0.36%,8308,1
Irion,384,69.44%,162,29.29%,7,1.27%,553,1
Jack,1420,62.09%,858,37.52%,9,0.39%,2287,1
Jackson,2308,65.74%,1197,34.09%,6,0.17%,3511,1
Jasper,4315,53.99%,3624,45.35%,53,0.66%,7992,1
Jeff Davis,456,66.57%,212,30.95%,17,2.48%,685,1
Jefferson,31056,48.22%,32819,50.96%,526,0.82%,64401,2
Jim Hogg,389,26.27%,1086,73.33%,6,0.41%,1481,2
Jim Wells,3191,38.65%,5037,61.01%,28,0.34%,8256,2
Johnson,16284,61.76%,9865,37.41%,218,0.83%,26367,1
Jones,2569,58.20%,1824,41.32%,21,0.48%,4414,1
Karnes,2423,60.21%,1579,39.24%,22,0.55%,4024,1
Kaufman,7769,60.40%,4986,38.77%,107,0.83%,12862,1
Kendall,4575,77.86%,1242,21.14%,59,1.00%,5876,1
Kenedy,61,50.00%,61,50.00%,0,0.00%,122,0
Kent,263,59.23%,177,39.86%,4,0.90%,444,1
Kerr,10353,77.40%,2885,21.57%,138,1.03%,13376,1
Kimble,1200,75.24%,391,24.51%,4,0.25%,1595,1
King,110,71.43%,42,27.27%,2,1.30%,154,1
Kinney,773,61.89%,463,37.07%,13,1.04%,1249,1
Kleberg,3876,49.60%,3896,49.86%,42,0.54%,7814,2
Knox,788,56.17%,614,43.76%,1,0.07%,1403,1
Lamar,6733,58.95%,4624,40.48%,65,0.57%,11422,1
Lamb,2566,71.78%,1003,28.06%,6,0.17%,3575,1
Lampasas,2718,67.56%,1281,31.84%,24,0.60%,4023,1
La Salle,566,36.38%,984,63.24%,6,0.39%,1556,2
Lavaca,3500,62.63%,2052,36.72%,36,0.64%,5588,1
Lee,2374,59.71%,1578,39.69%,24,0.60%,3976,1
Leon,2846,63.47%,1617,36.06%,21,0.47%,4484,1
Liberty,7951,59.69%,5282,39.65%,87,0.65%,13320,1
Limestone,2828,49.47%,2859,50.01%,30,0.52%,5717,2
Lipscomb,983,80.84%,230,18.91%,3,0.25%,1216,1
Live Oak,2009,67.33%,957,32.07%,18,0.60%,2984,1
Llano,4300,66.94%,2083,32.43%,41,0.64%,6424,1
Loving,64,71.11%,24,26.67%,2,2.22%,90,1
Lubbock,42721,76.17%,13000,23.18%,367,0.65%,56088,1
Lynn,1232,68.52%,563,31.31%,3,0.17%,1798,1
Madison,1720,57.62%,1248,41.81%,17,0.57%,2985,1
Marion,1474,50.31%,1440,49.15%,16,0.55%,2930,1
Martin,997,79.00%,254,20.13%,11,0.87%,1262,1
Mason,1039,68.99%,451,29.95%,16,1.06%,1506,1
Matagorda,5667,59.73%,3770,39.74%,50,0.53%,9487,1
Maverick,1768,34.93%,3223,63.68%,70,1.38%,5061,2
McCulloch,1618,65.59%,842,34.13%,7,0.28%,2467,1
McLennan,29359,58.70%,20354,40.69%,303,0.61%,50016,1
McMullen,307,79.74%,73,18.96%,5,1.30%,385,1
Medina,5559,67.41%,2635,31.95%,53,0.64%,8247,1
Menard,550,59.65%,368,39.91%,4,0.43%,922,1
Midland,25195,81.40%,5480,17.70%,277,0.89%,30952,1
Milam,3116,50.82%,2990,48.76%,26,0.42%,6132,1
Mills,901,55.62%,712,43.95%,7,0.43%,1620,1
Mitchell,1096,53.94%,931,45.82%,5,0.25%,2032,1
Montague,3259,61.61%,1996,37.73%,35,0.66%,5290,1
Montgomery,42967,74.34%,14379,24.88%,452,0.78%,57798,1
Moore,3419,79.42%,856,19.88%,30,0.70%,4305,1
Morris,1741,46.12%,2019,53.48%,15,0.40%,3775,2
Motley,422,76.87%,125,22.77%,2,0.36%,549,1
Nacogdoches,9288,65.85%,4687,33.23%,129,0.91%,14104,1
Navarro,5752,54.49%,4753,45.02%,52,0.49%,10557,1
Newton,1468,41.79%,2016,57.39%,29,0.83%,3513,2
Nolan,2338,56.90%,1725,41.98%,46,1.12%,4109,1
Nueces,37086,55.00%,29892,44.33%,455,0.67%,67433,1
Ochiltree,2367,88.06%,304,11.31%,17,0.63%,2688,1
Oldham,543,78.35%,145,20.92%,5,0.72%,693,1
Orange,11454,52.54%,10159,46.60%,186,0.85%,21799,1
Palo Pinto,3708,55.34%,2942,43.90%,51,0.76%,6701,1
Panola,4150,60.19%,2725,39.52%,20,0.29%,6895,1
Parker,13778,65.30%,7163,33.95%,157,0.74%,21098,1
Parmer,2040,82.66%,422,17.10%,6,0.24%,2468,1
Pecos,2097,63.37%,1184,35.78%,28,0.85%,3309,1
Polk,6273,58.40%,4395,40.92%,73,0.68%,10741,1
Potter,14667,71.70%,5624,27.49%,166,0.81%,20457,1
Presidio,518,49.86%,512,49.28%,9,0.87%,1039,1
Rains,1385,54.98%,1122,44.54%,12,0.48%,2519,1
Randall,24489,80.92%,5573,18.42%,201,0.66%,30263,1
Reagan,749,80.02%,186,19.87%,1,0.11%,936,1
Real,849,74.08%,293,25.57%,4,0.35%,1146,1
Red River,2082,53.48%,1801,46.26%,10,0.26%,3893,1
Reeves,1317,44.61%,1602,54.27%,33,1.12%,2952,2
Refugio,1351,62.78%,795,36.94%,6,0.28%,2152,1
Roberts,448,82.05%,93,17.03%,5,0.92%,546,1
Robertson,1908,44.13%,2408,55.69%,8,0.19%,4324,2
Rockwall,7756,73.87%,2647,25.21%,96,0.91%,10499,1
Runnels,2196,67.95%,1016,31.44%,20,0.62%,3232,1
Rusk,6915,67.52%,3255,31.78%,71,0.69%,10241,1
Sabine,1688,53.72%,1449,46.12%,5,0.16%,3142,1
San Augustine,1393,51.82%,1280,47.62%,15,0.56%,2688,1
San Jacinto,2680,53.78%,2270,45.55%,33,0.66%,4983,1
San Patricio,7862,57.81%,5658,41.60%,80,0.59%,13600,1
San Saba,963,62.53%,574,37.27%,3,0.19%,1540,1
Schleicher,630,65.76%,324,33.82%,4,0.42%,958,1
Scurry,3164,68.89%,1386,30.18%,43,0.94%,4593,1
Shackelford,764,65.69%,393,33.79%,6,0.52%,1163,1
Shelby,3845,58.57%,2699,41.11%,21,0.32%,6565,1
Sherman,923,83.99%,175,15.92%,1,0.09%,1099,1
Smith,30270,67.97%,14003,31.44%,260,0.58%,44533,1
Somervell,1296,60.99%,810,38.12%,19,0.89%,2125,1
Starr,882,22.01%,3104,77.46%,21,0.52%,4007,2
Stephens,2103,66.40%,1056,33.34%,8,0.25%,3167,1
Sterling,463,73.38%,166,26.31%,2,0.32%,631,1
Stonewall,400,46.51%,455,52.91%,5,0.58%,860,2
Sutton,693,72.87%,256,26.92%,2,0.21%,951,1
Swisher,1229,56.02%,964,43.94%,1,0.05%,2194,1
Tarrant,209051,62.24%,124229,36.99%,2599,0.77%,335879,1
Taylor,21911,69.90%,9216,29.40%,220,0.70%,31347,1
Terrell,273,61.35%,168,37.75%,4,0.90%,445,1
Terry,2113,72.09%,812,27.70%,6,0.20%,2931,1
Throckmorton,445,59.49%,298,39.84%,5,0.67%,748,1
Titus,3591,56.08%,2791,43.59%,21,0.33%,6403,1
Tom Green,17753,70.32%,7330,29.03%,164,0.65%,25247,1
Travis,104202,49.95%,100669,48.25%,3749,1.80%,208620,1
Trinity,2331,49.60%,2341,49.81%,28,0.60%,4700,2
Tyler,2547,51.37%,2392,48.25%,19,0.38%,4958,1
Upshur,5685,58.21%,4005,41.01%,77,0.79%,9767,1
Upton,894,75.89%,273,23.17%,11,0.93%,1178,1
Uvalde,3836,59.80%,2526,39.38%,53,0.83%,6415,1
Val Verde,3571,52.55%,3174,46.71%,50,0.74%,6795,1
Van Zandt,7777,61.61%,4759,37.70%,86,0.68%,12622,1
Victoria,12222,69.91%,5077,29.04%,183,1.05%,17482,1
Walker,7225,62.01%,4343,37.28%,83,0.71%,11651,1
Waller,3601,57.82%,2590,41.59%,37,0.59%,6228,1
Ward,1994,70.61%,810,28.68%,20,0.71%,2824,1
Washington,6296,67.12%,3033,32.33%,51,0.54%,9380,1
Webb,5208,31.09%,11432,68.24%,112,0.67%,16752,2
Wharton,5885,60.60%,3784,38.96%,43,0.44%,9712,1
Wheeler,1488,72.55%,555,27.06%,8,0.39%,2051,1
Wichita,20027,64.23%,10874,34.88%,278,0.89%,31179,1
Wilbarger,2451,65.82%,1261,33.86%,12,0.32%,3724,1
Willacy,1377,42.58%,1841,56.93%,16,0.49%,3234,2
Williamson,32653,66.43%,15930,32.41%,571,1.16%,49154,1
Wilson,4724,58.81%,3238,40.31%,70,0.87%,8032,1
Winkler,1236,66.99%,595,32.25%,14,0.76%,1845,1
Wise,6108,60.59%,3885,38.54%,88,0.87%,10081,1
Wood,6187,63.54%,3472,35.66%,78,0.80%,9737,1
Yoakum,1492,80.78%,341,18.46%,14,0.76%,1847,1
Young,3857,66.12%,1939,33.24%,37,0.63%,5833,1
Zapata,767,30.41%,1746,69.23%,9,0.36%,2522,2
Zavala,529,21.74%,1893,77.81%,11,0.45%,2433,2
ALL COUNTIES,2661789,61.69%,1555202,36.04%,97672,2.26%,4314663,1
