County,Hutchison,%,Fisher,%,Total,Winner
Hardeman,353,59.63%,239,40.37%,592,1
Hardin,2438,65.27%,1297,34.73%,3735,1
Harris,185822,69.19%,82743,30.81%,268565,1
Harrison,4090,70.25%,1732,29.75%,5822,1
Hartley,528,81.48%,120,18.52%,648,1
Haskell,531,53.91%,454,46.09%,985,1
Hays,4776,65.89%,2472,34.11%,7248,1
Hemphill,491,83.79%,95,16.21%,586,1
Henderson,4662,67.75%,2219,32.25%,6881,1
Hidalgo,11142,52.63%,10028,47.37%,21170,1
Hill,1864,62.11%,1137,37.89%,3001,1
Hockley,1460,78.75%,394,21.25%,1854,1
Hood,3105,69.40%,1369,30.60%,4474,1
Hopkins,2007,60.13%,1331,39.87%,3338,1
Houston,1612,58.30%,1153,41.70%,2765,1
Howard,2005,72.72%,752,27.28%,2757,1
Hudspeth,152,72.38%,58,27.62%,210,1
Hunt,4293,72.44%,1633,27.56%,5926,1
Hutchinson,2914,82.97%,598,17.03%,3512,1
Irion,192,67.84%,91,32.16%,283,1
Jack,625,68.31%,290,31.69%,915,1
Jackson,1283,72.16%,495,27.84%,1778,1
Jasper,1755,57.84%,1279,42.16%,3034,1
Jeff Davis,218,66.87%,108,33.13%,326,1
Jefferson,15329,53.98%,13071,46.02%,28400,1
Jim Hogg,167,24.63%,511,75.37%,678,2
Jim Wells,1430,43.97%,1822,56.03%,3252,2
Johnson,5298,69.62%,2312,30.38%,7610,1
Jones,1016,67.33%,493,32.67%,1509,1
Karnes,892,70.74%,369,29.26%,1261,1
Kaufman,3159,69.72%,1372,30.28%,4531,1
Kendall,2358,84.40%,436,15.60%,2794,1
Kenedy,41,58.57%,29,41.43%,70,1
Kent,149,64.50%,82,35.50%,231,1
Kerr,5958,83.38%,1188,16.62%,7146,1
Kimble,449,73.61%,161,26.39%,610,1
King,45,71.43%,18,28.57%,63,1
Kinney,334,77.86%,95,22.14%,429,1
Kleberg,1570,60.48%,1026,39.52%,2596,1
Knox,302,55.11%,246,44.89%,548,1
Lamar,3202,65.59%,1680,34.41%,4882,1
Lamb,1143,76.71%,347,23.29%,1490,1
Lampasas,1214,72.26%,466,27.74%,1680,1
La Salle,305,40.83%,442,59.17%,747,2
Lavaca,1758,70.97%,719,29.03%,2477,1
Lee,914,69.35%,404,30.65%,1318,1
Leon,1165,73.22%,426,26.78%,1591,1
Liberty,3114,68.05%,1462,31.95%,4576,1
Limestone,1282,54.74%,1060,45.26%,2342,1
Lipscomb,435,85.13%,76,14.87%,511,1
Live Oak,912,78.96%,243,21.04%,1155,1
Llano,2375,73.76%,845,26.24%,3220,1
Loving,27,75.00%,9,25.00%,36,1
Lubbock,19715,80.19%,4869,19.81%,24584,1
Lynn,475,74.33%,164,25.67%,639,1
Madison,761,68.31%,353,31.69%,1114,1
Marion,665,60.62%,432,39.38%,1097,1
Martin,392,84.48%,72,15.52%,464,1
Mason,475,71.86%,186,28.14%,661,1
Matagorda,2382,66.72%,1188,33.28%,3570,1
Maverick,389,32.42%,811,67.58%,1200,2
McCulloch,608,64.75%,331,35.25%,939,1
McLennan,13792,62.79%,8175,37.21%,21967,1
McMullen,207,87.71%,29,12.29%,236,1
Medina,2517,75.25%,828,24.75%,3345,1
Menard,225,58.44%,160,41.56%,385,1
Midland,12212,86.74%,1867,13.26%,14079,1
Milam,1587,57.77%,1160,42.23%,2747,1
Mills,447,60.49%,292,39.51%,739,1
Mitchell,541,66.71%,270,33.29%,811,1
Montague,1295,66.62%,649,33.38%,1944,1
Montgomery,15358,82.69%,3216,17.31%,18574,1
Moore,1309,86.86%,198,13.14%,1507,1
Morris,791,52.31%,721,47.69%,1512,1
Motley,237,81.44%,54,18.56%,291,1
Nacogdoches,3761,72.45%,1430,27.55%,5191,1
Navarro,2616,62.42%,1575,37.58%,4191,1
Newton,628,46.14%,733,53.86%,1361,2
Nolan,1091,67.01%,537,32.99%,1628,1
Nueces,17997,60.64%,11679,39.36%,29676,1
Ochiltree,1006,90.47%,106,9.53%,1112,1
Oldham,247,76.23%,77,23.77%,324,1
Orange,4465,53.80%,3834,46.20%,8299,1
Palo Pinto,1640,60.83%,1056,39.17%,2696,1
Panola,2011,68.94%,906,31.06%,2917,1
Parker,5076,72.46%,1929,27.54%,7005,1
Parmer,963,87.47%,138,12.53%,1101,1
Pecos,920,76.60%,281,23.40%,1201,1
Polk,2499,63.70%,1424,36.30%,3923,1
Potter,5965,75.71%,1914,24.29%,7879,1
Presidio,223,58.07%,161,41.93%,384,1
Rains,515,61.68%,320,38.32%,835,1
Randall,10573,85.42%,1805,14.58%,12378,1
Reagan,245,79.55%,63,20.45%,308,1
Real,364,80.18%,90,19.82%,454,1
Red River,825,60.57%,537,39.43%,1362,1
Reeves,613,63.46%,353,36.54%,966,1
Refugio,720,70.94%,295,29.06%,1015,1
Roberts,250,85.91%,41,14.09%,291,1
Robertson,882,49.27%,908,50.73%,1790,2
Rockwall,3040,82.12%,662,17.88%,3702,1
Runnels,831,69.25%,369,30.75%,1200,1
Rusk,3886,78.33%,1075,21.67%,4961,1
Sabine,791,66.08%,406,33.92%,1197,1
San Augustine,664,62.29%,402,37.71%,1066,1
San Jacinto,1207,68.00%,568,32.00%,1775,1
San Patricio,3344,70.12%,1425,29.88%,4769,1
San Saba,454,62.62%,271,37.38%,725,1
Schleicher,245,66.58%,123,33.42%,368,1
Scurry,1356,76.22%,423,23.78%,1779,1
Shackelford,319,78.96%,85,21.04%,404,1
Shelby,1570,67.73%,748,32.27%,2318,1
Sherman,439,89.05%,54,10.95%,493,1
Smith,15364,77.16%,4547,22.84%,19911,1
Somervell,450,72.23%,173,27.77%,623,1
Starr,289,19.93%,1161,80.07%,1450,2
Stephens,874,77.76%,250,22.24%,1124,1
Sterling,181,75.73%,58,24.27%,239,1
Stonewall,181,56.04%,142,43.96%,323,1
Sutton,300,75.19%,99,24.81%,399,1
Swisher,429,60.42%,281,39.58%,710,1
Tarrant,85167,68.56%,39052,31.44%,124219,1
Taylor,10118,77.96%,2861,22.04%,12979,1
Terrell,116,66.67%,58,33.33%,174,1
Terry,869,79.22%,228,20.78%,1097,1
Throckmorton,202,68.01%,95,31.99%,297,1
Titus,1463,60.31%,963,39.69%,2426,1
Tom Green,7214,66.00%,3717,34.00%,10931,1
Travis,49330,51.25%,46928,48.75%,96258,1
Trinity,860,58.66%,606,41.34%,1466,1
Tyler,1143,54.74%,945,45.26%,2088,1
Upshur,1945,67.98%,916,32.02%,2861,1
Upton,378,80.25%,93,19.75%,471,1
Uvalde,1930,63.57%,1106,36.43%,3036,1
Val Verde,1559,60.54%,1016,39.46%,2575,1
Van Zandt,2894,70.52%,1210,29.48%,4104,1
Victoria,6321,78.03%,1780,21.97%,8101,1
Walker,2913,68.67%,1329,31.33%,4242,1
Waller,1414,63.78%,803,36.22%,2217,1
Ward,951,78.27%,264,21.73%,1215,1
Washington,2415,76.02%,762,23.98%,3177,1
Webb,2120,29.96%,4955,70.04%,7075,2
Wharton,2540,72.20%,978,27.80%,3518,1
Wheeler,729,77.80%,208,22.20%,937,1
Wichita,8999,68.29%,4178,31.71%,13177,1
Wilbarger,892,67.02%,439,32.98%,1331,1
Willacy,752,65.85%,390,34.15%,1142,1
Williamson,10376,73.12%,3815,26.88%,14191,1
Wilson,1713,71.29%,690,28.71%,2403,1
Winkler,576,79.67%,147,20.33%,723,1
Wise,2417,67.34%,1172,32.66%,3589,1
Wood,2607,73.92%,920,26.08%,3527,1
Yoakum,748,84.71%,135,15.29%,883,1
Young,1499,72.59%,566,27.41%,2065,1
Zapata,346,48.12%,373,51.88%,719,2
Zavala,301,22.99%,1008,77.01%,1309,2
Total,1188716,67.34%,576538,32.66%,1765254,1
