County,Blakley,%,Gonzalez,%,Maverick,%,Tower,%,Wilson,%,Wright,%,Total,Winner
Comal,383,19.91%,267,13.88%,133,6.91%,967,50.26%,118,6.13%,56,2.91%,1924,4
Comanche,388,22.41%,7,0.40%,79,4.56%,426,24.61%,145,8.38%,686,39.63%,1731,6
Concho,158,28.57%,20,3.62%,15,2.71%,126,22.78%,89,16.09%,145,26.22%,553,1
Cooke,1631,32.72%,109,2.19%,489,9.81%,1319,26.46%,758,15.21%,679,13.62%,4985,1
Coryell,623,34.14%,19,1.04%,106,5.81%,291,15.95%,242,13.26%,544,29.81%,1825,1
Cottle,164,28.32%,10,1.73%,24,4.15%,78,13.47%,69,11.92%,234,40.41%,579,6
Crane,150,24.71%,13,2.14%,86,14.17%,215,35.42%,74,12.19%,69,11.37%,607,4
Crockett,134,38.73%,22,6.36%,7,2.02%,108,31.21%,43,12.43%,32,9.25%,346,1
Crosby,97,10.39%,20,2.14%,72,7.71%,222,23.77%,176,18.84%,347,37.15%,934,6
Culberson,61,21.71%,15,5.34%,3,1.07%,116,41.28%,61,21.71%,25,8.90%,281,4
Dallam,140,18.62%,8,1.06%,84,11.17%,250,33.24%,116,15.43%,154,20.48%,752,4
Dallas,36284,32.81%,4138,3.74%,7120,6.44%,40296,36.44%,11802,10.67%,10955,9.91%,110595,4
Dawson,445,21.87%,179,8.80%,63,3.10%,519,25.50%,323,15.87%,506,24.86%,2035,4
Deaf Smith,219,14.94%,28,1.91%,27,1.84%,610,41.61%,170,11.60%,412,28.10%,1466,4
Delta,250,38.17%,1,0.15%,16,2.44%,54,8.24%,206,31.45%,128,19.54%,655,1
Denton,1103,22.62%,177,3.63%,328,6.73%,1359,27.87%,496,10.17%,1413,28.98%,4876,6
DeWitt,512,22.20%,179,7.76%,171,7.42%,1015,44.02%,173,7.50%,256,11.10%,2306,4
Dickens,103,16.64%,14,2.26%,31,5.01%,122,19.71%,124,20.03%,225,36.35%,619,6
Dimmit,76,10.80%,268,38.07%,43,6.11%,220,31.25%,66,9.38%,31,4.40%,704,2
Donley,122,19.49%,9,1.44%,19,3.04%,196,31.31%,87,13.90%,193,30.83%,626,4
Duval,49,1.57%,283,9.05%,14,0.45%,177,5.66%,2585,82.67%,19,0.61%,3127,5
Eastland,718,23.15%,31,1.00%,127,4.10%,725,23.38%,191,6.16%,1309,42.21%,3101,6
Ector,1307,21.14%,175,2.83%,426,6.89%,3109,50.28%,445,7.20%,721,11.66%,6183,4
Edwards,52,21.05%,0,0.00%,15,6.07%,157,63.56%,23,9.31%,0,0.00%,247,4
Ellis,1189,29.21%,67,1.65%,542,13.32%,725,17.81%,543,13.34%,1004,24.67%,4070,1
El Paso,2808,9.23%,7312,24.04%,1945,6.40%,10920,35.91%,5206,17.12%,2220,7.30%,30411,4
Erath,582,22.25%,27,1.03%,88,3.36%,646,24.69%,146,5.58%,1127,43.08%,2616,6
Falls,644,35.52%,59,3.25%,93,5.13%,246,13.57%,378,20.85%,393,21.68%,1813,1
Fannin,552,21.43%,21,0.82%,217,8.42%,288,11.18%,455,17.66%,1043,40.49%,2576,6
Fayette,595,25.74%,189,8.17%,275,11.89%,616,26.64%,363,15.70%,274,11.85%,2312,4
Fisher,230,18.93%,16,1.32%,42,3.46%,129,10.62%,64,5.27%,734,60.41%,1215,6
Floyd,256,18.23%,35,2.49%,33,2.35%,432,30.77%,174,12.39%,474,33.76%,1404,6
Foard,80,21.00%,4,1.05%,26,6.82%,54,14.17%,82,21.52%,135,35.43%,381,6
Fort Bend,457,14.05%,367,11.29%,459,14.11%,1292,39.73%,494,15.19%,183,5.63%,3252,4
Franklin,149,22.34%,9,1.35%,56,8.40%,94,14.09%,274,41.08%,85,12.74%,667,5
Freestone,620,39.47%,31,1.97%,257,16.36%,291,18.52%,221,14.07%,151,9.61%,1571,1
Frio,187,15.39%,435,35.80%,73,6.01%,274,22.55%,152,12.51%,94,7.74%,1215,2
Gaines,250,24.22%,10,0.97%,53,5.14%,304,29.46%,175,16.96%,240,23.26%,1032,4
Galveston,1238,8.03%,2313,15.01%,2916,18.93%,5663,36.75%,1948,12.64%,1330,8.63%,15408,4
Garza,108,16.72%,39,6.04%,45,6.97%,183,28.33%,109,16.87%,162,25.08%,646,4
Gillespie,106,7.90%,39,2.91%,22,1.64%,923,68.78%,168,12.52%,84,6.26%,1342,4
Glasscock,69,34.16%,3,1.49%,5,2.48%,55,27.23%,40,19.80%,30,14.85%,202,1
Goliad,74,14.07%,60,11.41%,35,6.65%,265,50.38%,46,8.75%,46,8.75%,526,4
Gonzales,476,28.42%,89,5.31%,123,7.34%,420,25.07%,291,17.37%,276,16.48%,1675,1
Gray,549,15.17%,26,0.72%,160,4.42%,2014,55.64%,344,9.50%,527,14.56%,3620,4
Grayson,2079,27.76%,89,1.19%,1473,19.67%,1523,20.34%,696,9.29%,1628,21.74%,7488,1
Gregg,2567,39.38%,159,2.44%,371,5.69%,1985,30.45%,987,15.14%,450,6.90%,6519,1
Grimes,429,35.40%,17,1.40%,111,9.16%,285,23.51%,185,15.26%,185,15.26%,1212,1
Guadalupe,345,11.88%,363,12.50%,283,9.75%,1349,46.45%,393,13.53%,171,5.89%,2904,4
Hale,465,16.04%,50,1.72%,106,3.66%,1060,36.56%,314,10.83%,904,31.18%,2899,4
Hall,216,25.78%,2,0.24%,18,2.15%,136,16.23%,91,10.86%,375,44.75%,838,6
Hamilton,302,26.84%,8,0.71%,55,4.89%,393,34.93%,83,7.38%,284,25.24%,1125,4
Hansford,118,18.04%,2,0.31%,11,1.68%,384,58.72%,79,12.08%,60,9.17%,654,4
Hardeman,371,36.27%,11,1.08%,90,8.80%,325,31.77%,68,6.65%,158,15.44%,1023,1
Hardin,256,11.40%,95,4.23%,739,32.92%,326,14.52%,372,16.57%,457,20.36%,2245,3
Harris,13458,10.20%,10250,7.77%,21421,16.24%,60016,45.50%,17519,13.28%,9233,7.00%,131897,4
Harrison,2030,44.42%,31,0.68%,344,7.53%,619,13.54%,1425,31.18%,121,2.65%,4570,1
Hartley,86,26.71%,2,0.62%,12,3.73%,111,34.47%,50,15.53%,61,18.94%,322,4
Haskell,303,21.35%,12,0.85%,67,4.72%,115,8.10%,212,14.94%,710,50.04%,1419,6
Hays,581,23.83%,503,20.63%,204,8.37%,522,21.41%,323,13.25%,305,12.51%,2438,1
Hemphill,93,16.58%,4,0.71%,24,4.28%,274,48.84%,77,13.73%,89,15.86%,561,4
Henderson,599,21.97%,94,3.45%,270,9.90%,733,26.88%,411,15.07%,620,22.74%,2727,4
Hidalgo,2451,17.52%,3733,26.69%,301,2.15%,5422,38.76%,1086,7.76%,996,7.12%,13989,4
Hill,1078,34.19%,47,1.49%,153,4.85%,403,12.78%,292,9.26%,1180,37.42%,3153,6
Hockley,308,16.14%,115,6.03%,73,3.83%,564,29.56%,243,12.74%,605,31.71%,1908,6
Hood,41,4.60%,1,0.11%,8,0.90%,114,12.79%,25,2.81%,702,78.79%,891,6
Hopkins,345,15.92%,19,0.88%,62,2.86%,369,17.03%,1047,48.32%,325,15.00%,2167,5
Houston,501,28.78%,25,1.44%,342,19.64%,378,21.71%,185,10.63%,310,17.81%,1741,1
Howard,538,17.44%,85,2.76%,535,17.34%,817,26.48%,343,11.12%,767,24.86%,3085,4
Hudspeth,46,15.28%,13,4.32%,12,3.99%,72,23.92%,44,14.62%,114,37.87%,301,6
Hunt,855,29.74%,56,1.95%,341,11.86%,691,24.03%,327,11.37%,605,21.04%,2875,1
Hutchinson,607,14.73%,26,0.63%,748,18.15%,1885,45.74%,256,6.21%,599,14.54%,4121,4
Irion,114,40.57%,10,3.56%,14,4.98%,83,29.54%,16,5.69%,44,15.66%,281,1
Jack,241,18.31%,19,1.44%,32,2.43%,437,33.21%,77,5.85%,510,38.75%,1316,6
Jackson,210,14.49%,203,14.01%,171,11.80%,432,29.81%,310,21.39%,123,8.49%,1449,4
Jasper,274,15.39%,27,1.52%,188,10.56%,384,21.57%,251,14.10%,656,36.85%,1780,6
Jeff Davis,46,27.54%,7,4.19%,11,6.59%,61,36.53%,20,11.98%,22,13.17%,167,4
Jefferson,3237,11.63%,1532,5.51%,7468,26.84%,7352,26.42%,1721,6.19%,6514,23.41%,27824,3
Jim Hogg,17,5.31%,168,52.50%,3,0.94%,32,10.00%,89,27.81%,11,3.44%,320,2
Jim Wells,199,5.64%,1440,40.80%,109,3.09%,725,20.54%,486,13.77%,570,16.15%,3529,2
Johnson,485,12.31%,25,0.63%,279,7.08%,1025,26.02%,63,1.60%,2063,52.36%,3940,6
Jones,631,30.21%,16,0.77%,61,2.92%,415,19.87%,167,7.99%,799,38.25%,2089,6
Karnes,219,13.44%,383,23.51%,87,5.34%,477,29.28%,293,17.99%,170,10.44%,1629,4
Kaufman,1060,40.33%,31,1.18%,132,5.02%,482,18.34%,370,14.08%,553,21.04%,2628,1
Kendall,86,11.08%,24,3.09%,44,5.67%,545,70.23%,46,5.93%,31,3.99%,776,4
Kenedy,20,14.60%,7,5.11%,0,0.00%,19,13.87%,90,65.69%,1,0.73%,137,5
Kent,98,27.37%,10,2.79%,15,4.19%,39,10.89%,103,28.77%,93,25.98%,358,5
Kerr,442,18.86%,99,4.23%,110,4.69%,1300,55.48%,210,8.96%,182,7.77%,2343,4
Kimble,182,28.35%,13,2.02%,18,2.80%,265,41.28%,94,14.64%,70,10.90%,642,4
King,28,27.18%,1,0.97%,1,0.97%,19,18.45%,21,20.39%,33,32.04%,103,6
Kinney,28,14.81%,31,16.40%,5,2.65%,69,36.51%,38,20.11%,18,9.52%,189,4
Kleberg,202,8.53%,782,33.01%,300,12.66%,580,24.48%,287,12.11%,218,9.20%,2369,2
Knox,248,26.47%,14,1.49%,31,3.31%,169,18.04%,111,11.85%,364,38.85%,937,6
Lamar,1281,30.37%,25,0.59%,199,4.72%,744,17.64%,1563,37.06%,406,9.63%,4218,5
Lamb,399,19.81%,44,2.18%,104,5.16%,680,33.76%,320,15.89%,467,23.19%,2014,4
Lampasas,251,25.72%,8,0.82%,50,5.12%,259,26.54%,107,10.96%,301,30.84%,976,6
La Salle,76,16.41%,75,16.20%,22,4.75%,84,18.14%,184,39.74%,22,4.75%,463,5
Lavaca,455,20.44%,130,5.84%,166,7.46%,471,21.16%,895,40.21%,109,4.90%,2226,5
Lee,267,26.13%,15,1.47%,83,8.12%,361,35.32%,127,12.43%,169,16.54%,1022,4
Leon,394,43.39%,21,2.31%,115,12.67%,111,12.22%,163,17.95%,104,11.45%,908,1
Liberty,647,23.24%,63,2.26%,544,19.54%,969,34.81%,302,10.85%,259,9.30%,2784,4
Limestone,792,39.50%,34,1.70%,208,10.37%,321,16.01%,255,12.72%,395,19.70%,2005,1
Lipscomb,72,15.42%,2,0.43%,28,6.00%,273,58.46%,60,12.85%,32,6.85%,467,4
Live Oak,162,15.41%,168,15.98%,71,6.76%,437,41.58%,142,13.51%,71,6.76%,1051,4
Llano,285,28.41%,10,1.00%,65,6.48%,225,22.43%,70,6.98%,348,34.70%,1003,6
Loving,5,15.15%,0,0.00%,0,0.00%,14,42.42%,5,15.15%,9,27.27%,33,4
Lubbock,1632,13.34%,621,5.08%,1171,9.57%,5034,41.16%,1308,10.70%,2464,20.15%,12230,4
Lynn,313,28.40%,32,2.90%,23,2.09%,198,17.97%,273,24.77%,263,23.87%,1102,1
Madison,295,44.03%,21,3.13%,53,7.91%,110,16.42%,151,22.54%,40,5.97%,670,1
Marion,353,58.25%,14,2.31%,36,5.94%,119,19.64%,75,12.38%,9,1.49%,606,1
Martin,149,35.22%,10,2.36%,23,5.44%,44,10.40%,64,15.13%,133,31.44%,423,1
Mason,119,16.78%,10,1.41%,22,3.10%,309,43.58%,48,6.77%,201,28.35%,709,4
Matagorda,318,14.91%,248,11.63%,142,6.66%,781,36.62%,378,17.72%,266,12.47%,2133,4
Maverick,54,7.39%,368,50.34%,19,2.60%,184,25.17%,90,12.31%,16,2.19%,731,2
McCulloch,291,23.54%,52,4.21%,26,2.10%,282,22.82%,157,12.70%,428,34.63%,1236,6
McLennan,4827,32.16%,499,3.32%,2522,16.80%,2843,18.94%,2238,14.91%,2082,13.87%,15011,1
McMullen,46,22.01%,29,13.88%,9,4.31%,65,31.10%,19,9.09%,41,19.62%,209,4
Medina,448,14.66%,428,14.01%,563,18.42%,1049,34.33%,387,12.66%,181,5.92%,3056,4
Menard,83,17.22%,12,2.49%,23,4.77%,210,43.57%,62,12.86%,92,19.09%,482,4
Midland,1098,14.34%,230,3.00%,214,2.80%,4320,56.43%,790,10.32%,1003,13.10%,7655,4
Milam,622,29.46%,56,2.65%,233,11.04%,372,17.62%,381,18.05%,447,21.17%,2111,1
Mills,197,30.21%,8,1.23%,28,4.29%,182,27.91%,34,5.21%,203,31.13%,652,6
Mitchell,337,23.80%,11,0.78%,143,10.10%,254,17.94%,163,11.51%,508,35.88%,1416,6
Montague,704,31.80%,30,1.36%,159,7.18%,525,23.71%,304,13.73%,492,22.22%,2214,1
Montgomery,550,24.90%,47,2.13%,325,14.71%,689,31.19%,267,12.09%,331,14.98%,2209,4
Moore,264,16.24%,14,0.86%,281,17.28%,673,41.39%,139,8.55%,255,15.68%,1626,4
Morris,870,47.52%,13,0.71%,473,25.83%,237,12.94%,124,6.77%,114,6.23%,1831,1
Motley,169,41.73%,3,0.74%,18,4.44%,76,18.77%,39,9.63%,100,24.69%,405,1
Nacogdoches,885,39.72%,40,1.80%,240,10.77%,471,21.14%,251,11.27%,341,15.31%,2228,1
Navarro,1452,32.43%,56,1.25%,880,19.66%,798,17.82%,673,15.03%,618,13.80%,4477,1
Newton,112,15.51%,30,4.16%,92,12.74%,93,12.88%,202,27.98%,193,26.73%,722,5
Nolan,461,20.39%,44,1.95%,222,9.82%,497,21.98%,257,11.37%,780,34.50%,2261,6
Nueces,2885,11.26%,7543,29.45%,2644,10.32%,6295,24.58%,3591,14.02%,2653,10.36%,25611,2
Ochiltree,126,11.16%,9,0.80%,16,1.42%,759,67.23%,82,7.26%,137,12.13%,1129,4
Oldham,71,20.52%,8,2.31%,15,4.34%,96,27.75%,94,27.17%,62,17.92%,346,4
Orange,637,14.58%,78,1.79%,1239,28.36%,1035,23.69%,388,8.88%,992,22.71%,4369,3
Palo Pinto,395,13.90%,19,0.67%,142,5.00%,658,23.15%,87,3.06%,1541,54.22%,2842,6
Panola,1047,65.68%,17,1.07%,81,5.08%,244,15.31%,140,8.78%,65,4.08%,1594,1
Parker,227,5.89%,11,0.29%,71,1.84%,716,18.57%,69,1.79%,2761,71.62%,3855,6
Parmer,257,20.45%,16,1.27%,110,8.75%,417,33.17%,314,24.98%,143,11.38%,1257,4
Pecos,633,38.02%,344,20.66%,29,1.74%,376,22.58%,127,7.63%,156,9.37%,1665,1
Polk,269,27.04%,28,2.81%,147,14.77%,202,20.30%,168,16.88%,181,18.19%,995,1
Potter,1832,17.21%,266,2.50%,1429,13.43%,4468,41.98%,1221,11.47%,1426,13.40%,10642,4
Presidio,116,20.00%,185,31.90%,16,2.76%,142,24.48%,90,15.52%,31,5.34%,580,2
Rains,77,21.39%,4,1.11%,51,14.17%,60,16.67%,29,8.06%,139,38.61%,360,6
Randall,1045,21.18%,88,1.78%,405,8.21%,2310,46.83%,491,9.95%,594,12.04%,4933,4
Reagan,299,55.37%,23,4.26%,11,2.04%,85,15.74%,52,9.63%,70,12.96%,540,1
Real,44,18.97%,9,3.88%,14,6.03%,102,43.97%,45,19.40%,18,7.76%,232,4
Red River,725,47.05%,10,0.65%,34,2.21%,187,12.13%,300,19.47%,285,18.49%,1541,1
Reeves,481,30.73%,120,7.67%,76,4.86%,553,35.34%,197,12.59%,138,8.82%,1565,4
Refugio,228,18.28%,255,20.45%,72,5.77%,312,25.02%,234,18.77%,146,11.71%,1247,4
Roberts,56,26.17%,0,0.00%,0,0.00%,115,53.74%,21,9.81%,22,10.28%,214,4
Robertson,453,28.31%,81,5.06%,338,21.13%,152,9.50%,218,13.63%,358,22.38%,1600,1
Rockwall,326,42.17%,3,0.39%,34,4.40%,104,13.45%,88,11.38%,218,28.20%,773,1
Runnels,618,31.43%,49,2.49%,30,1.53%,523,26.60%,277,14.09%,469,23.86%,1966,1
Rusk,1302,31.73%,104,2.53%,246,6.00%,1721,41.94%,488,11.89%,242,5.90%,4103,4
Sabine,96,17.94%,10,1.87%,49,9.16%,89,16.64%,129,24.11%,162,30.28%,535,6
San Augustine,173,23.70%,11,1.51%,60,8.22%,226,30.96%,96,13.15%,164,22.47%,730,4
San Jacinto,175,23.24%,15,1.99%,89,11.82%,122,16.20%,199,26.43%,153,20.32%,753,5
San Patricio,331,8.71%,1139,29.97%,391,10.29%,778,20.47%,715,18.82%,446,11.74%,3800,2
San Saba,194,19.52%,31,3.12%,37,3.72%,157,15.79%,134,13.48%,441,44.37%,994,6
Schleicher,81,16.74%,13,2.69%,6,1.24%,221,45.66%,44,9.09%,119,24.59%,484,4
Scurry,300,15.96%,22,1.17%,88,4.68%,505,26.86%,182,9.68%,783,41.65%,1880,6
Shackelford,217,36.23%,6,1.00%,32,5.34%,131,21.87%,48,8.01%,165,27.55%,599,1
Shelby,527,40.98%,23,1.79%,99,7.70%,76,5.91%,210,16.33%,351,27.29%,1286,1
Sherman,134,33.25%,1,0.25%,9,2.23%,203,50.37%,24,5.96%,32,7.94%,403,4
Smith,1809,18.59%,209,2.15%,879,9.03%,4379,45.00%,1280,13.15%,1175,12.07%,9731,4
Somervell,72,18.90%,0,0.00%,14,3.67%,85,22.31%,18,4.72%,192,50.39%,381,6
Starr,34,1.88%,417,23.01%,6,0.33%,55,3.04%,1291,71.25%,9,0.50%,1812,5
Stephens,254,22.28%,16,1.40%,64,5.61%,408,35.79%,147,12.89%,251,22.02%,1140,4
Sterling,100,48.08%,7,3.37%,8,3.85%,49,23.56%,17,8.17%,27,12.98%,208,1
Stonewall,83,24.13%,3,0.87%,21,6.10%,40,11.63%,72,20.93%,125,36.34%,344,6
Sutton,128,27.95%,86,18.78%,3,0.66%,164,35.81%,29,6.33%,48,10.48%,458,4
Swisher,174,14.43%,9,0.75%,14,1.16%,296,24.54%,113,9.37%,600,49.75%,1206,6
Tarrant,4830,7.39%,1278,1.95%,3211,4.91%,19714,30.14%,1467,2.24%,34901,53.36%,65401,6
Taylor,2351,28.36%,131,1.58%,479,5.78%,2423,29.23%,663,8.00%,2242,27.05%,8289,4
Terrell,54,26.47%,23,11.27%,19,9.31%,80,39.22%,22,10.78%,6,2.94%,204,4
Terry,528,29.03%,63,3.46%,57,3.13%,583,32.05%,185,10.17%,403,22.16%,1819,4
Throckmorton,132,29.33%,5,1.11%,26,5.78%,91,20.22%,49,10.89%,147,32.67%,450,6
Titus,757,38.88%,15,0.77%,264,13.56%,272,13.97%,315,16.18%,324,16.64%,1947,1
Tom Green,1141,16.40%,495,7.12%,432,6.21%,2643,38.00%,713,10.25%,1532,22.02%,6956,4
Travis,6478,21.26%,2563,8.41%,3559,11.68%,7774,25.51%,4299,14.11%,5804,19.04%,30477,4
Trinity,178,27.86%,8,1.25%,72,11.27%,162,25.35%,118,18.47%,101,15.81%,639,1
Tyler,166,16.77%,22,2.22%,141,14.24%,305,30.81%,126,12.73%,230,23.23%,990,4
Upshur,527,29.15%,14,0.77%,303,16.76%,310,17.15%,352,19.47%,302,16.70%,1808,1
Upton,194,27.87%,15,2.16%,23,3.30%,201,28.88%,86,12.36%,177,25.43%,696,4
Uvalde,191,12.24%,151,9.67%,90,5.77%,842,53.94%,214,13.71%,73,4.68%,1561,4
Val Verde,196,14.30%,414,30.20%,86,6.27%,478,34.87%,64,4.67%,133,9.70%,1371,4
Van Zandt,515,25.10%,17,0.83%,191,9.31%,472,23.00%,422,20.57%,435,21.20%,2052,1
Victoria,386,7.65%,661,13.10%,541,10.73%,1706,33.82%,872,17.29%,878,17.41%,5044,4
Walker,344,24.55%,31,2.21%,158,11.28%,413,29.48%,275,19.63%,180,12.85%,1401,4
Waller,176,17.87%,38,3.86%,91,9.24%,441,44.77%,162,16.45%,77,7.82%,985,4
Ward,401,27.13%,45,3.04%,63,4.26%,548,37.08%,171,11.57%,250,16.91%,1478,4
Washington,302,20.77%,26,1.79%,46,3.16%,775,53.30%,113,7.77%,192,13.20%,1454,4
Webb,235,4.17%,4573,81.21%,91,1.62%,389,6.91%,295,5.24%,48,0.85%,5631,2
Wharton,560,13.99%,621,15.51%,496,12.39%,1417,35.39%,627,15.66%,283,7.07%,4004,4
Wheeler,264,27.53%,2,0.21%,21,2.19%,348,36.29%,124,12.93%,200,20.86%,959,4
Wichita,2857,21.06%,476,3.51%,1437,10.59%,4964,36.59%,1650,12.16%,2182,16.08%,13566,4
Wilbarger,546,33.15%,26,1.58%,107,6.50%,416,25.26%,303,18.40%,249,15.12%,1647,1
Willacy,716,39.65%,206,11.41%,46,2.55%,521,28.85%,224,12.40%,93,5.15%,1806,1
Williamson,1203,29.37%,225,5.49%,444,10.84%,685,16.72%,659,16.09%,880,21.48%,4096,1
Wilson,170,12.47%,319,23.40%,89,6.53%,330,24.21%,256,18.78%,199,14.60%,1363,4
Winkler,227,17.80%,26,2.04%,97,7.61%,518,40.63%,184,14.43%,223,17.49%,1275,4
Wise,287,14.43%,14,0.70%,91,4.58%,508,25.54%,94,4.73%,995,50.03%,1989,6
Wood,634,27.71%,26,1.14%,178,7.78%,612,26.75%,374,16.35%,464,20.28%,2288,1
Yoakum,107,12.06%,8,0.90%,49,5.52%,318,35.85%,194,21.87%,211,23.79%,887,4
Young,405,21.49%,10,0.53%,98,5.20%,540,28.65%,140,7.43%,692,36.71%,1885,6
Zapata,1,0.25%,367,90.62%,7,1.73%,23,5.68%,7,1.73%,0,0.00%,405,2
Zavala,77,11.70%,247,37.54%,31,4.71%,241,36.63%,56,8.51%,6,0.91%,658,2
Total,190818,18.82%,97659,9.63%,104992,10.35%,327308,32.28%,121961,12.03%,171328,16.90%,1014066,
